mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
20078,1k1i,78,0,20,0.16650390625,-1,-611395.79402314,-556907.8299575793,-54479.363008249275,-198.34509352452392,,1
10073,4hge,73,0,10,0.66650390625,0,-598286.6435305326,-556907.8299575793,-41370.811005910335,-184.5435800629311,,2
7051,4jia,51,0,7,0.66650390625,1,-593262.512855007,-556907.8299575793,-36347.63821998515,-162.4541211152276,,3
12047,1nc1,47,0,12,0.265380859375,0,-592549.7319948259,-556907.8299575793,-35634.95986057153,-160.09039726450405,,4
19045,3gy4,45,0,19,0.16650390625,0,-568812.4625693503,-556907.8299575793,-11897.844862788521,-156.52921007264266,,5
17032,1o3f,32,0,17,0.16650390625,0,-585518.6975253301,-556907.8299575793,-28604.45501160332,-147.87705775681943,,6
11098,1y6r,98,0,11,0.265380859375,1,-592041.6919247059,-556907.8299575793,-35127.81477506926,-139.45156167939615,,7
13054,4f2w,54,0,13,0.258544921875,1,-591043.155508275,-556907.8299575793,-34129.4351996631,-135.83472172787503,,8
9028,4gfm,28,0,9,0.66650390625,0,-601621.3602877688,-556907.8299575793,-44707.82755652372,-131.50908488700068,,9
8085,4f09,85,1,8,0.66650390625,1,-579183.3623296313,-556907.8299575793,-22270.1489546787,-124.14455383104328,,10
6079,4e6q,79,1,6,0.66650390625,1,-585474.3719827798,-556907.8299575793,-28561.276000247686,-121.43742030291011,,11
5037,4ivc,37,1,5,0.95263671875,0,-585434.0824129232,-556907.8299575793,-28521.38664801383,-112.2081826709633,,12
1007,4k77,7,1,1,0.95263671875,0,-578668.4163968721,-556907.8299575793,-21755.724313234874,-112.12329051909849,,13
14096,4f3c,96,0,14,0.257080078125,1,-594274.554117628,-556907.8299575793,-37361.90130632877,-111.21764888991359,,14
4060,4ivd,60,1,4,0.95263671875,0,-586507.0667085394,-556907.8299575793,-29594.585103878202,-107.26953002366348,,15
2057,4e5w,57,1,2,0.95263671875,1,-590158.4552907224,-556907.8299575793,-33246.069828755906,-105.05242681498396,,16
16024,3pyy,24,0,16,0.17333984375,0,-588578.0739913989,-556907.8299575793,-31665.863592774185,-101.01537024806791,,17
15059,1nc3,59,0,15,0.207275390625,0,-583143.5367577876,-556907.8299575793,-26231.540292765032,-96.0819441823547,,18
3031,4ivb,31,1,3,0.95263671875,0,-584352.2334536469,-556907.8299575793,-27440.59481300956,-87.83031783209393,,19
18043,1uto,43,0,18,0.16650390625,1,-566893.4175156332,-556907.8299575793,-9982.092012095047,-80.60920477825067,,20
