mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,4e6q,1,1,1,0.78271484375,1,-507550.20572427916,-478995.354989011,-28561.95247219631,163.7699441123461,
1002,4e6q,2,1,1,0.78271484375,1,-507556.3669010203,-478995.354989011,-28560.56855981178,-10.223944556021968,
1003,4e6q,3,1,1,0.78271484375,1,-507560.16520584637,-478995.354989011,-28561.918365464895,-66.68767684743472,
1004,4e6q,4,1,1,0.78271484375,1,-507520.07054803806,-478995.354989011,-28561.985932932585,859.4752401138342,
1005,4e6q,5,1,1,0.78271484375,1,-507551.1345082028,-478995.354989011,-28561.675442145537,135.96321328102536,
1006,4e6q,6,1,1,0.78271484375,1,-507550.49911228847,-478995.354989011,-28561.14185367651,138.3109487425956,
1007,4e6q,7,1,1,0.78271484375,1,-507550.2589903276,-478995.354989011,-28561.92206107208,161.84030266987014,
1008,4e6q,8,1,1,0.78271484375,1,-507553.78942977893,-478995.354989011,-28556.935023890226,-34.57737462601311,
1009,4e6q,9,1,1,0.78271484375,1,-507553.01364512276,-478995.354989011,-28561.73433248825,93.98733002253422,
1010,4e6q,10,1,1,0.78271484375,1,-507552.8817516072,-478995.354989011,-28561.679433093756,95.76285663467274,
1011,4e6q,11,1,1,0.78271484375,1,-507550.3376137417,-478995.354989011,-28561.961520360186,160.93715646918488,
1012,4e6q,12,1,1,0.78271484375,1,-507541.3254115383,-478995.354989011,-28561.871516512125,366.6879383965166,
1013,4e6q,13,1,1,0.78271484375,1,-507557.2456145983,-478995.354989011,-28560.00335352251,-43.52152771852815,
1014,4e6q,14,1,1,0.78271484375,1,-507555.96639938164,-478995.354989011,-28561.849217282008,28.544505485121103,
1015,4e6q,15,1,1,0.78271484375,1,-507557.70888201427,-478995.354989011,-28561.939707623198,-9.551341767474291,
1016,4e6q,16,1,1,0.78271484375,1,-507555.23819080996,-478995.354989011,-28559.74664811918,-3.149002663726165,
1017,4e6q,17,1,1,0.78271484375,1,-507532.3570335312,-478995.354989011,-28561.48770104475,564.6526534492484,
1018,4e6q,18,1,1,0.78271484375,1,-507522.9845820768,-478995.354989011,-28561.22950987644,774.8324887174017,
1019,4e6q,19,1,1,0.78271484375,1,-507548.47787481063,-478995.354989011,-28561.617227659895,195.88417675856832,
1020,4e6q,20,1,1,0.78271484375,1,-507531.0542095403,-478995.354989011,-28557.819786177366,510.1123621677641,
1021,4e6q,21,1,1,0.78271484375,1,-507533.4515861673,-478995.354989011,-28561.52022253103,540.1616333201978,
1022,4e6q,22,1,1,0.78271484375,1,-507558.5091618551,-478995.354989011,-28561.239640758722,-44.15015872762449,
1023,4e6q,23,1,1,0.78271484375,1,-507529.12640110665,-478995.354989011,-28561.120799349024,630.6918528948582,
1024,4e6q,24,1,1,0.78271484375,1,-507560.4342977209,-478995.354989011,-28561.945512102335,-72.26706655987594,
1025,4e6q,25,1,1,0.78271484375,1,-507537.711404423,-478995.354989011,-28561.909384713857,450.9021838165399,
1026,4e6q,26,1,1,0.78271484375,1,-507555.71593515086,-478995.354989011,-28557.160967455595,-73.79326150510376,
1027,4e6q,27,1,1,0.78271484375,1,-507555.69466356473,-478995.354989011,-28560.724134312346,8.865852652800967,
1028,4e6q,28,1,1,0.78271484375,1,-507549.33631485235,-478995.354989011,-28556.936022864058,68.13693201751087,
1029,4e6q,29,1,1,0.78271484375,1,-507519.3249349396,-478995.354989011,-28561.522918091487,865.992110744019,
1030,4e6q,30,1,1,0.78271484375,1,-507561.37673131656,-478995.354989011,-28561.537128494452,-103.41765129253123,
1031,4e6q,31,1,1,0.78271484375,1,-507557.32799623447,-478995.354989011,-28560.42124812433,-35.78441492690429,
