mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,2v7a,1,1,1,0.434326171875,1,-627273.1218660696,-584706.3306279865,-42567.641024358774,19.59653705472494,
1002,2v7a,2,1,1,0.434326171875,1,-627275.7537176823,-584706.3306279865,-42567.84555482509,-36.37881834182478,
1003,2v7a,3,1,1,0.434326171875,1,-627272.8988888187,-584706.3306279865,-42567.752042897264,27.29866293188039,
1004,2v7a,4,1,1,0.434326171875,1,-627270.5962446406,-584706.3306279865,-42567.48674169941,74.28090817378693,
1005,2v7a,5,1,1,0.434326171875,1,-627274.4125108047,-584706.3306279865,-42567.320333548094,-17.56174336987153,
1006,2v7a,6,1,1,0.434326171875,1,-627276.6863578175,-584706.3306279865,-42567.78563768434,-59.26773287789678,
1007,2v7a,7,1,1,0.434326171875,1,-627274.1027333214,-584706.3306279865,-42567.32986172869,-10.198379833927772,
1008,2v7a,8,1,1,0.434326171875,1,-627275.8072610125,-584706.3306279865,-42567.804461695385,-38.56118695137406,
1009,2v7a,9,1,1,0.434326171875,1,-627273.9084422215,-584706.3306279865,-42567.67067756338,2.141479225737958,
1010,2v7a,10,1,1,0.434326171875,1,-627273.5040008492,-584706.3306279865,-42567.214428570296,0.946767107722908,
1011,2v7a,11,1,1,0.434326171875,1,-627276.2690712136,-584706.3306279865,-42566.9057197573,-69.93626463214818,
1012,2v7a,12,1,1,0.434326171875,1,-627263.6759493874,-584706.3306279865,-42567.31839910908,229.98463550776512,
1013,2v7a,13,1,1,0.434326171875,1,-627273.2103453204,-584706.3306279865,-42567.85919105282,22.58720054303377,
1014,2v7a,14,1,1,0.434326171875,1,-627256.9837433315,-584706.3306279865,-42570.16907586923,450.0487411282977,
1015,2v7a,15,1,1,0.434326171875,1,-627272.3127927404,-584706.3306279865,-42569.93605244925,91.17881631438674,
1016,2v7a,16,1,1,0.434326171875,1,-627273.8926147446,-584706.3306279865,-42570.04617436988,57.28672724081973,
1017,2v7a,17,1,1,0.434326171875,1,-627276.056581832,-584706.3306279865,-42569.42493701742,-6.941612962636555,
1018,2v7a,18,1,1,0.434326171875,1,-627265.9479347683,-584706.3306279865,-42569.50952190925,228.11990009689478,
1019,2v7a,19,1,1,0.434326171875,1,-627247.2592567723,-584706.3306279865,-42570.137356758336,673.5692684802458,
1020,2v7a,20,1,1,0.434326171875,1,-627235.9955219702,-584706.3306279865,-42570.138611748946,933.346104407338,
1021,2v7a,21,1,1,0.434326171875,1,-627272.5939144715,-584706.3306279865,-42570.06750155261,87.72728352479463,
1022,2v7a,22,1,1,0.434326171875,1,-627265.592423997,-584706.3306279865,-42570.30590588617,254.68322403351564,
1023,2v7a,23,1,1,0.434326171875,1,-627269.221445657,-584706.3306279865,-42569.476186193744,151.8622058125034,
1024,2v7a,24,1,1,0.434326171875,1,-627272.145371996,-584706.3306279865,-42569.44804022474,83.78580115395235,
1025,2v7a,25,1,1,0.434326171875,1,-627264.872712545,-584706.3306279865,-42566.487402118946,183.22337563171897,
1026,2v7a,26,1,1,0.434326171875,1,-627270.1790409897,-584706.3306279865,-42570.28198269772,148.36164166075645,
1027,2v7a,27,1,1,0.434326171875,1,-627198.5326968055,-584706.3306279865,-42570.237364895846,1799.5366776547128,
1028,2v7a,28,1,1,0.434326171875,1,-627241.2153803633,-584706.3306279865,-42570.209637344014,814.6111993971034,
1029,2v7a,29,1,1,0.434326171875,1,-627274.3899898304,-584706.3306279865,-42567.307101451064,-17.34753677178366,
1030,2v7a,30,1,1,0.434326171875,1,-627274.9969875728,-584706.3306279865,-42570.27362478542,37.06441600096082,
1031,2v7a,31,1,1,0.434326171875,1,-627272.6263469825,-584706.3306279865,-42570.052569248,86.63502492672247,
1032,2v7a,32,1,1,0.434326171875,1,-627275.3671703265,-584706.3306279865,-42570.07585031552,23.967011278784522,
1033,2v7a,33,1,1,0.434326171875,1,-627273.3218181058,-584706.3306279865,-42569.29134178927,53.042757603096874,
1034,2v7a,34,1,1,0.434326171875,1,-627274.8175186579,-584706.3306279865,-42570.123026587244,37.730190544118265,
1035,2v7a,35,1,1,0.434326171875,1,-627268.8511932414,-584706.3306279865,-42569.98595038823,172.15587093975543,
1036,2v7a,36,1,1,0.434326171875,1,-627257.9657281266,-584706.3306279865,-42569.99292292459,423.3414503872988,
1037,2v7a,37,1,1,0.434326171875,1,-627274.2000769897,-584706.3306279865,-42570.09977015873,51.43242768364956,
1038,2v7a,38,1,1,0.434326171875,1,-627275.8250629519,-584706.3306279865,-42567.49548876489,-46.09679446821091,
1039,2v7a,39,1,1,0.434326171875,1,-627269.8727963786,-584706.3306279865,-42569.93520451359,147.42691526244823,
1040,2v7a,40,1,1,0.434326171875,1,-627244.9196605161,-584706.3306279865,-42569.5166672842,713.2082005459519,
1041,2v7a,41,1,1,0.434326171875,1,-627272.4033108874,-584706.3306279865,-42570.08721057346,92.57720740956944,
1042,2v7a,42,1,1,0.434326171875,1,-627278.2884074812,-584706.3306279865,-42570.30406109261,-38.13565230966427,
1043,2v7a,43,1,1,0.434326171875,1,-627260.848524816,-584706.3306279865,-42570.28125267496,363.5116214448355,
1044,2v7a,44,1,1,0.434326171875,1,-627274.5180100129,-584706.3306279865,-42569.928587027025,40.153141198464525,
1045,2v7a,45,1,1,0.434326171875,1,-627277.8706023766,-584706.3306279865,-42570.04376467338,-34.50341573896547,
1046,2v7a,46,1,1,0.434326171875,1,-627257.4456158791,-584706.3306279865,-42570.142034396704,438.7741159814349,
1047,2v7a,47,1,1,0.434326171875,1,-627269.3535874706,-584706.3306279865,-42569.93638021521,159.42726944205117,
1048,2v7a,48,1,1,0.434326171875,1,-627250.7514395044,-584706.3306279865,-42569.961045362186,588.9717841695355,
1049,2v7a,49,1,1,0.434326171875,1,-627274.4373108073,-584706.3306279865,-42567.193892196025,-21.04945186261399,
1050,2v7a,50,1,1,0.434326171875,1,-627267.4187106405,-584706.3306279865,-42570.1830942111,209.73594903126713,
1051,2v7a,51,1,1,0.434326171875,1,-627275.1748520206,-584706.3306279865,-42569.15268822781,7.113353292900448,
1052,2v7a,52,1,1,0.434326171875,1,-627273.436164044,-584706.3306279865,-42570.0277174042,67.38710271534356,
1053,2v7a,53,1,1,0.434326171875,1,-627272.2206653132,-584706.3306279865,-42570.08440566828,96.7244317597626,
1054,2v7a,54,1,1,0.434326171875,1,-627273.6285717849,-584706.3306279865,-42570.21481312829,67.26460469580607,
1055,2v7a,55,1,1,0.434326171875,1,-627274.5459420605,-584706.3306279865,-42570.20818424992,45.95667801033849,
1056,2v7a,56,1,1,0.434326171875,1,-627273.1250075923,-584706.3306279865,-42570.209668539595,78.75843381328292,
1057,2v7a,57,1,1,0.434326171875,1,-627275.4611559882,-584706.3306279865,-42570.15495900085,23.623940055159448,
1058,2v7a,58,1,1,0.434326171875,1,-627252.3729198937,-584706.3306279865,-42569.636985428806,544.1065585027668,
1059,2v7a,59,1,1,0.434326171875,1,-627268.656221725,-584706.3306279865,-42570.15427405409,180.533656866353,
1060,2v7a,60,1,1,0.434326171875,1,-627255.7313842104,-584706.3306279865,-42570.23166525377,480.37217403762264,
1061,2v7a,61,1,1,0.434326171875,1,-627256.2566592618,-584706.3306279865,-42569.17876773348,443.97864996408174,
1062,2v7a,62,1,1,0.434326171875,1,-627280.509690008,-584706.3306279865,-42570.119060956116,-93.62584876172869,
1063,2v7a,63,1,1,0.434326171875,1,-627255.3143400323,-584706.3306279865,-42570.047487594406,485.7422035314625,
1064,2v7a,64,1,1,0.434326171875,1,-627270.7245175616,-584706.3306279865,-42570.10293681933,131.65375704162534,
1065,2v7a,65,1,1,0.434326171875,1,-627270.8754390253,-584706.3306279865,-42570.18232894709,130.004251368241,
1066,2v7a,66,1,1,0.434326171875,1,-627276.1047761057,-584706.3306279865,-42567.394157361414,-54.8838907078418,
1067,2v7a,67,1,1,0.434326171875,1,-627275.0071317325,-584706.3306279865,-42569.48342607192,18.608070890855544,
1068,2v7a,68,1,1,0.434326171875,1,-627259.2812475191,-584706.3306279865,-42570.050888575744,394.34157218564906,
1069,2v7a,69,1,1,0.434326171875,1,-627275.2081036492,-584706.3306279865,-42569.41098210981,12.302950940623862,
1070,2v7a,70,1,1,0.434326171875,1,-627265.6490294848,-584706.3306279865,-42569.04391203093,224.2756008132955,
1071,2v7a,71,1,1,0.434326171875,1,-627250.8183610959,-584706.3306279865,-42570.084403060595,590.2732317143639,
1072,2v7a,72,1,1,0.434326171875,1,-627271.8101214097,-584706.3306279865,-42569.72863832874,97.98760933237952,
1073,2v7a,73,1,1,0.434326171875,1,-627275.7684380333,-584706.3306279865,-42570.11172250683,15.540790517456445,
1074,2v7a,74,1,1,0.434326171875,1,-627246.6368201739,-584706.3306279865,-42570.050287641716,685.9151359009957,
1075,2v7a,75,1,1,0.434326171875,1,-627233.6788193802,-584706.3306279865,-42570.06979797057,985.1836518651997,
1076,2v7a,76,1,1,0.434326171875,1,-627273.9338845834,-584706.3306279865,-42569.28913933797,38.877379586057174,
1077,2v7a,77,1,1,0.434326171875,1,-627259.8979801907,-584706.3306279865,-42570.12137163451,381.7447568608278,
1078,2v7a,78,1,1,0.434326171875,1,-627230.6334472363,-584706.3306279865,-42570.18248491752,1058.0102245831506,
1079,2v7a,79,1,1,0.434326171875,1,-627233.3524136614,-584706.3306279865,-42569.12814117245,970.9956249227444,
1080,2v7a,80,1,1,0.434326171875,1,-627265.1095929818,-584706.3306279865,-42569.26985663934,241.9257085433922,
1081,2v7a,81,1,1,0.434326171875,1,-627273.4800647422,-584706.3306279865,-42569.464129232074,53.378076564872636,
1082,2v7a,82,1,1,0.434326171875,1,-627233.1786374961,-584706.3306279865,-42569.94407061506,993.8187784334399,
1083,2v7a,83,1,1,0.434326171875,1,-627274.3321502134,-584706.3306279865,-42569.942272939006,44.75477462250489,
1084,2v7a,84,1,1,0.434326171875,1,-627264.7700289265,-584706.3306279865,-42569.62324497862,257.90557038076645,
1085,2v7a,85,1,1,0.434326171875,1,-627270.3580618574,-584706.3306279865,-42570.09506824633,139.9229727323331,
1086,2v7a,86,1,1,0.434326171875,1,-627277.2499763881,-584706.3306279865,-42570.031256042595,-20.479896322820768,
1087,2v7a,87,1,1,0.434326171875,1,-627274.8021553232,-584706.3306279865,-42568.85957983903,8.948703289694146,
