mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
16039,1o5b,39,0,16,0.2783203125,0,-616107.1051439292,-584706.3306279865,-31390.61986538409,-234.17180491202464,,1
5008,1a30,8,0,5,0.388916015625,-2,-621517.9979970308,-584706.3306279865,-36802.72846971445,-206.135915551083,,2
10094,2xbv,94,0,10,0.347900390625,1,-644250.3702599577,-584706.3306279865,-59536.505865894724,-173.73277295299502,,3
12070,1c5z,70,0,12,0.2783203125,0,-595104.3899714792,-584706.3306279865,-10390.639043525374,-171.11618231471599,,4
9043,2y5h,43,0,9,0.347900390625,2,-643471.2338989179,-584706.3306279865,-58757.987056906735,-159.49168432370485,,5
13001,1sqa,1,0,13,0.2783203125,1,-621434.3439427696,-584706.3306279865,-36721.203342312314,-157.04169588793405,,6
8091,1lpg,91,0,8,0.347900390625,1,-632141.9484051309,-584706.3306279865,-47428.96904484862,-153.32340912023693,,7
15024,1owh,24,0,15,0.2783203125,1,-612761.1053346862,-584706.3306279865,-28048.888264539597,-135.74458098681887,,8
18002,4eor,2,0,18,0.273193359375,0,-629675.0339465612,-584706.3306279865,-44962.81897008783,-135.69629973350297,,9
6010,1z6e,10,0,6,0.347900390625,1,-636846.4245747202,-584706.3306279865,-52134.8275636022,-121.44568009933525,,10
17019,2xnb,19,0,17,0.273193359375,1,-626626.0952372139,-584706.3306279865,-41914.72174889287,-116.29112194801964,,11
14047,3kgp,47,0,14,0.2783203125,0,-598744.4140377744,-584706.3306279865,-14033.598368165003,-103.42751686875683,,12
19011,1pxn,11,0,19,0.273193359375,0,-620861.6116192424,-584706.3306279865,-36150.81082193011,-103.0845535481426,,13
4042,3mss,42,1,4,0.424072265625,1,-609766.7613653098,-584706.3306279865,-25056.091150742046,-100.07324392351556,,14
1099,2v7a,99,1,1,0.434326171875,1,-627278.1741751505,-584706.3306279865,-42567.52275498233,-99.6398347714441,,15
7056,1mq6,56,0,7,0.347900390625,0,-672960.3631882768,-584706.3306279865,-88249.86291533297,-96.15429697533575,,16
20011,2fvd,11,1,20,0.273193359375,0,-635652.8606916454,-584706.3306279865,-50942.45793950022,-93.90541393462917,,17
11012,1eby,12,0,11,0.27880859375,0,-644162.9826540593,-584706.3306279865,-59452.929763266744,-85.83741947818065,,18
3014,3k5v,14,1,3,0.424072265625,0,-621817.8200984653,-584706.3306279865,-37108.19464329556,-75.980519853803,,19
2032,4twp,32,1,2,0.434326171875,0,-626679.6882975195,-584706.3306279865,-41970.17411669582,-73.41447247295201,,20
