mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,3jya,1,1,1,0.72314453125,0,-635713.3557763894,-584354.2218407614,-51359.03390695994,-2.3067158840018,
1002,3jya,2,1,1,0.72314453125,0,-635713.9267980075,-584354.2218407614,-51359.11494913047,-13.605910370574236,
1003,3jya,3,1,1,0.72314453125,0,-635714.8287489911,-584354.2218407614,-51359.11525961106,-34.398234317994294,
1004,3jya,4,1,1,0.72314453125,0,-635714.5882571104,-584354.2218407614,-51359.109998785905,-28.973677310724096,
1005,3jya,5,1,1,0.72314453125,0,-635714.2215407689,-584354.2218407614,-51359.11096363609,-20.49474760152767,
1006,3jya,6,1,1,0.72314453125,0,-635714.2643026328,-584354.2218407614,-51359.115591102294,-21.37414770381912,
1007,3jya,7,1,1,0.72314453125,0,-635713.0037510892,-584354.2218407614,-51359.11242624467,7.621878108679073,
1008,3jya,8,1,1,0.72314453125,0,-635713.8657689308,-584354.2218407614,-51359.11245124882,-12.256148947731281,
1009,3jya,9,1,1,0.72314453125,0,-635716.232702126,-584354.2218407614,-51359.113696389846,-66.81021147486392,
1010,3jya,10,1,1,0.72314453125,0,-635714.3026935374,-584354.2218407614,-51359.113448076896,-22.30888233680561,
1011,3jya,11,1,1,0.72314453125,0,-635713.95772325,-584354.2218407614,-51359.11296408718,-14.364839591925367,
1012,3jya,12,1,1,0.72314453125,0,-635713.4659596744,-584354.2218407614,-51359.11292599981,-3.02538045137161,
1013,3jya,13,1,1,0.72314453125,0,-635713.711911415,-584354.2218407614,-51359.11376132911,-8.67789917690205,
1014,3jya,14,1,1,0.72314453125,0,-635714.6143485522,-584354.2218407614,-51359.113624894075,-29.491740210170022,
1015,3jya,15,1,1,0.72314453125,0,-635706.7989449104,-584354.2218407614,-51359.115415685825,150.77704592557984,
1016,3jya,16,1,1,0.72314453125,0,-635713.3006744894,-584354.2218407614,-51359.11117752736,0.7458657326104077,
1017,3jya,17,1,1,0.72314453125,0,-635713.8856817682,-584354.2218407614,-51359.11176734512,-12.731121081405643,
1018,3jya,18,1,1,0.72314453125,0,-635713.813110373,-584354.2218407614,-51359.1124895448,-11.040930631082617,
1019,3jya,19,1,1,0.72314453125,0,-635713.9019498726,-584354.2218407614,-51359.11408834999,-13.052748837991961,
1020,3jya,20,1,1,0.72314453125,0,-635714.5250518831,-584354.2218407614,-51359.11428134983,-27.417371871536197,
1021,3jya,21,1,1,0.72314453125,0,-635713.3418728907,-584354.2218407614,-51359.10956617539,-0.24135063166136908,
1022,3jya,22,1,1,0.72314453125,0,-635713.9582674718,-584354.2218407614,-51359.11319773739,-14.372001541201884,
1023,3jya,23,1,1,0.72314453125,0,-635713.7879721125,-584354.2218407614,-51359.115229749135,-10.398037960540476,
1024,3jya,24,1,1,0.72314453125,0,-635713.0916594627,-584354.2218407614,-51359.11314158981,5.611159109004378,
1025,3jya,25,1,1,0.72314453125,0,-635714.3573814828,-584354.2218407614,-51359.112342649154,-23.595508086894167,
1026,3jya,26,1,1,0.72314453125,0,-635714.167442075,-584354.2218407614,-51359.11494093483,-19.155483395826366,
1027,3jya,27,1,1,0.72314453125,0,-635714.4461200734,-584354.2218407614,-51359.112628960065,-25.635266113277424,
1028,3jya,28,1,1,0.72314453125,0,-635712.3459652873,-584354.2218407614,-51359.11486109441,22.84692802492073,
1029,3jya,29,1,1,0.72314453125,0,-635712.7711780567,-584354.2218407614,-51359.11134135073,12.960121400017316,
1030,3jya,30,1,1,0.72314453125,0,-635714.2477715826,-584354.2218407614,-51359.112839036636,-21.056396771623476,
1031,3jya,31,1,1,0.72314453125,0,-635713.5654649189,-584354.2218407614,-51359.111843847684,-5.3449809202835645,
1032,3jya,32,1,1,0.72314453125,0,-635714.0205705677,-584354.2218407614,-51359.11223366206,-15.830977170300713,
1033,3jya,33,1,1,0.72314453125,0,-635713.1971344252,-584354.2218407614,-51359.11352344697,3.1876545264840073,
1034,3jya,34,1,1,0.72314453125,0,-635713.2753593838,-584354.2218407614,-51359.11025732105,1.308425473760167,
1035,3jya,35,1,1,0.72314453125,0,-635714.5719746252,-584354.2218407614,-51359.11155926531,-28.5622087716999,
1036,3jya,36,1,1,0.72314453125,0,-635714.3485513242,-584354.2218407614,-51359.1148648495,-23.333716469922315,
1037,3jya,37,1,1,0.72314453125,0,-635711.8915183146,-584354.2218407614,-51359.116440766506,33.36315227925718,
1038,3jya,38,1,1,0.72314453125,0,-635693.6984095788,-584354.2218407614,-51359.112244748525,452.80944399638344,
1039,3jya,39,1,1,0.72314453125,0,-635714.5061528286,-584354.2218407614,-51359.11628904288,-26.935250819639045,
1040,3jya,40,1,1,0.72314453125,0,-635712.8092774065,-584354.2218407614,-51359.11268776005,12.112578457590212,
1041,3jya,41,1,1,0.72314453125,0,-635713.4833087076,-584354.2218407614,-51359.11309572404,-3.421544726529494,
1042,3jya,42,1,1,0.72314453125,0,-635713.2992807841,-584354.2218407614,-51359.11049380248,0.7622382690529271,
1043,3jya,43,1,1,0.72314453125,0,-635713.698052754,-584354.2218407614,-51359.11329632347,-8.369034148161909,
1044,3jya,44,1,1,0.72314453125,0,-635712.8849477383,-584354.2218407614,-51359.11106070226,10.330058309675278,
1045,3jya,45,1,1,0.72314453125,0,-635714.4049145777,-584354.2218407614,-51359.11446126645,-24.642790819485903,
1046,3jya,46,1,1,0.72314453125,0,-635713.1704515731,-584354.2218407614,-51359.11514239853,3.8403096227398894,
1047,3jya,47,1,1,0.72314453125,0,-635696.4575786641,-584354.2218407614,-51359.11240535324,389.18519696476545,
1048,3jya,48,1,1,0.72314453125,0,-635696.2433978232,-584354.2218407614,-51359.11244707649,394.12528665126376,
1049,3jya,49,1,1,0.72314453125,0,-635714.1604764063,-584354.2218407614,-51359.11106073206,-19.08433086257605,
1050,3jya,50,1,1,0.72314453125,0,-635711.3476621425,-584354.2218407614,-51359.11426880305,45.85468688239727,
1051,3jya,51,1,1,0.72314453125,0,-635706.5519040724,-584354.2218407614,-51359.11577137654,156.48214540927626,
1052,3jya,52,1,1,0.72314453125,0,-635713.9527682873,-584354.2218407614,-51359.11389505213,-14.229106874554477,
1053,3jya,53,1,1,0.72314453125,0,-635713.4073477585,-584354.2218407614,-51359.11140402501,-1.7088551337465803,
1054,3jya,54,1,1,0.72314453125,0,-635708.9633758282,-584354.2218407614,-51358.323180072955,82.59469597536622,
1055,3jya,55,1,1,0.72314453125,0,-635711.2415272197,-584354.2218407614,-51358.333414458684,30.295287389674638,
1056,3jya,56,1,1,0.72314453125,0,-635713.4304732297,-584354.2218407614,-51358.31995012706,-20.493501637889437,
1057,3jya,57,1,1,0.72314453125,0,-635703.1455455322,-584354.2218407614,-51358.328029000215,216.86886870570288,
1058,3jya,58,1,1,0.72314453125,0,-635712.2366186893,-584354.2218407614,-51358.323946439676,7.12959525370135,
1059,3jya,59,1,1,0.72314453125,0,-635706.5823240628,-584354.2218407614,-51358.32624479478,137.57372826286206,
1060,3jya,60,1,1,0.72314453125,0,-635716.1681617709,-584354.2218407614,-51358.31570913737,-83.72389873257883,
1061,3jya,61,1,1,0.72314453125,0,-635711.8952397157,-584354.2218407614,-51358.326243215255,15.054946305050823,
1062,3jya,62,1,1,0.72314453125,0,-635704.4082651949,-584354.2218407614,-51358.30410324877,187.19812059338247,
1063,3jya,63,1,1,0.72314453125,0,-635703.4036904474,-584354.2218407614,-51358.32206203883,210.7783041426384,
1064,3jya,64,1,1,0.72314453125,0,-635716.9022102269,-584354.2218407614,-51358.323119365625,-100.48057433803828,
1065,3jya,65,1,1,0.72314453125,0,-635698.3624897201,-584354.2218407614,-51358.32872917598,327.18490247427997,
1066,3jya,66,1,1,0.72314453125,0,-635704.405775032,-584354.2218407614,-51358.316619896344,187.54418586301267,
1067,3jya,67,1,1,0.72314453125,0,-635716.193804135,-584354.2218407614,-51358.32481118386,-84.10532751688187,
1068,3jya,68,1,1,0.72314453125,0,-635710.8266530546,-584354.2218407614,-51358.31086158102,39.34243120322839,
1069,3jya,69,1,1,0.72314453125,0,-635675.6837994058,-584354.2218407614,-51358.31473212784,849.8451456047173,
1070,3jya,70,1,1,0.72314453125,0,-635700.0721221484,-584354.2218407614,-51358.32757898515,287.7333180592682,
1071,3jya,71,1,1,0.72314453125,0,-635703.4169147512,-584354.2218407614,-51358.327786588125,210.6053556969137,
1072,3jya,72,1,1,0.72314453125,0,-635705.5844557496,-584354.2218407614,-51358.32778959816,160.6207422408157,
1073,3jya,73,1,1,0.72314453125,0,-635688.4600475926,-584354.2218407614,-51358.355721169166,556.1630929446263,
1074,3jya,74,1,1,0.72314453125,0,-635708.3825990176,-584354.2218407614,-51358.32469990199,96.02277548633546,
1075,3jya,75,1,1,0.72314453125,0,-635710.9348498186,-584354.2218407614,-51358.30999546593,36.827381462886954,
1076,3jya,76,1,1,0.72314453125,0,-635704.4559660467,-584354.2218407614,-51358.3485802347,187.12377648017153,
