mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
8019,3ebp,19,1,8,0.312255859375,1,-630747.7063576024,-584354.2218407614,-46384.54285629717,-206.1995906563401,,1
1093,3jya,93,1,1,0.72314453125,0,-635721.2294900625,-584354.2218407614,-51358.323678367786,-200.25712706706656,,2
17098,4e5w,98,0,17,0.2354736328125,1,-617615.3927013624,-584354.2218407614,-33253.71445573095,-171.94878115038335,,3
20027,4ivc,27,0,20,0.2354736328125,0,-612886.5192884177,-584354.2218407614,-28525.574241980554,-155.04080606020347,,4
5027,4k18,27,1,5,0.72314453125,0,-620650.5489111723,-584354.2218407614,-36289.79586469249,-150.6131818620779,,5
2048,3bgz,48,1,2,0.72314453125,-1,-611971.4178290102,-584354.2218407614,-27611.094773879326,-140.69734579214284,,6
12097,2wca,97,0,12,0.295166015625,0,-621184.6535586006,-584354.2218407614,-36824.52683623692,-136.16980462378356,,7
6083,4eky,83,0,6,0.312255859375,0,-617569.1740182412,-584354.2218407614,-33209.23362649493,-131.8729185098026,,8
11051,2xj7,51,0,11,0.295166015625,1,-606214.7542604099,-584354.2218407614,-21854.909135020753,-129.6760241230535,,9
19021,4ivd,21,0,19,0.2354736328125,0,-613955.5565697615,-584354.2218407614,-29595.737320133867,-129.07931488755577,,10
9049,3l7b,49,0,9,0.312255859375,0,-612398.7633904951,-584354.2218407614,-28039.024494545672,-127.2263150482152,,11
16058,4k77,58,0,16,0.2354736328125,0,-606122.8024450871,-584354.2218407614,-21763.6607150789,-113.45534129829724,,12
14003,2w4x,3,0,14,0.295166015625,0,-611713.9978852575,-584354.2218407614,-27355.169116589368,-106.23828134545748,,13
15075,2vvn,75,0,15,0.295166015625,0,-615970.6412140349,-584354.2218407614,-31611.862867707317,-105.07551454943902,,14
7091,3g2n,91,0,7,0.312255859375,0,-611906.0181426982,-584354.2218407614,-27547.273309082768,-104.30269304904475,,15
3087,2c3i,87,1,3,0.72314453125,0,-611340.8812574502,-584354.2218407614,-26982.33821869747,-99.64919296552887,,16
13098,2w66,98,0,13,0.295166015625,1,-607224.9741168931,-584354.2218407614,-22866.455609444307,-99.0834876583974,,17
18021,4ivb,21,0,18,0.2354736328125,0,-611808.484288517,-584354.2218407614,-27450.68025251274,-82.60738473817358,,18
4060,5dwr,60,1,4,0.72314453125,1,-625816.5742499582,-584354.2218407614,-41459.050944424765,-76.13358628625343,,19
10078,3syr,78,0,10,0.312255859375,0,-614985.2629504487,-584354.2218407614,-30627.953283965995,-71.20695273875569,,20
