mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1079,2xnb:pose79,1,50,0,2xnb,79,1,0.647,-113.50871540457804,-41917.83860710701,-41920.6424211014,-41920.72158501324,64.65748672577111,1.8255631754386368,-47.025665503368295,239,224,6,0.0019073238363489509,True,,11.0
2059,4eor:pose59,0,50,0,4eor,59,2,0.647,-78.92434220001702,-44966.93550280104,-44967.88160740796,-44968.06332100112,21.817690540627055,4.1904150066158,-52.91623665277417,390,125,7,0.0019185708370059729,True,,9.0
3028,1pxn:pose28,0,37,0,1pxn,28,3,0.647,-81.06586076791291,-36151.22800795197,-36151.688336981584,-36151.889511155096,10.615439605247914,4.639186650544658,-65.81123451212034,395,131,7,0.0019494729349389672,True,,7.0
4004,2fvd:pose4,0,51,0,2fvd,4,4,0.647,-108.77637413339085,-50944.04848187631,-50944.79231846208,-50945.02539892926,17.15327916441168,5.374963261790089,-86.24813170718907,242,214,9,0.0017443597316741943,True,,3.0
5086,3pxf:pose86,0,33,0,3pxf,86,5,0.647,-117.523907195911,-35271.23817420893,-35272.06469908051,-35272.15837055061,19.06011633434494,2.1601154166511294,-96.30367544491493,253,86,3,0.001822172082029283,True,,2.0
6080,4eky:pose80,0,44,1,4eky,80,6,0.5522,-94.89751460760624,-33211.956749806996,-33212.888602778265,-33213.088117119594,21.489040015055718,4.6009100111264205,-68.8075645814241,449,141,8,0.0015182897914201021,True,,5.0
7095,3g2n:pose95,0,37,1,3g2n,95,7,0.5522,-83.38321393677631,-27549.079138011723,-27549.91105716515,-27550.103777584438,19.184511428841756,4.444238446906436,-59.754464061028116,306,68,8,0.0014616672415286303,True,,8.0
8081,3ebp:pose81,1,49,1,3ebp,81,8,0.5522,-83.21337603079111,-46386.113157591564,-46388.96727110061,-46389.25989664238,65.81742108944161,6.7481053024401945,-10.647849638909307,248,120,6,0.001971678575500846,True,,19.0
9033,3l7b:pose33,0,33,1,3l7b,33,9,0.5522,-46.083016477418425,-28039.36751766703,-28040.281800931276,-28040.29338458002,21.08387294589038,0.26712528595393326,-24.73201824557411,152,75,6,0.0017855274491012096,True,,16.0
10094,3syr:pose94,0,33,1,3syr,94,10,0.5522,-37.3658055539161,-30628.437724829128,-30629.432776083315,-30629.482210382528,22.946427041103057,1.1399820214818277,-13.279396491331212,113,69,6,0.0016638153465464711,True,,18.0
11035,4wiv:pose35,0,51,0,4wiv,35,11,0.4956,-163.5905198034813,-31682.626809427355,-31683.395606898142,-31683.518250921246,17.728890847161694,2.8282383609277315,-143.03339059539186,255,165,9,0.001714990008622408,True,,1.0
12097,4lzs:pose97,0,31,0,4lzs,97,12,0.4956,-40.40531349188076,-18755.516478800502,-18756.082847298534,-18756.21411717467,13.060767838618322,3.027155257348474,-24.317390395913964,186,133,8,0.0019558239728212357,True,,17.0
13054,3u5j:pose54,0,35,0,3u5j,54,13,0.4956,-65.2274376323049,-36341.085365906554,-36341.5694508791,-36341.619786994444,11.163264663439964,1.1607783955439681,-52.903394573320966,115,103,2,0.001823596190661192,True,,10.0
14087,3p5o:pose87,0,52,0,3p5o,87,14,0.4956,-45.987783504211365,-47264.83727831214,-47265.407547975316,-47265.66580128983,13.150730844064865,5.955462911853335,-26.881589748293163,277,79,9,0.0018184895161539316,True,,15.0
15099,4ogj:pose99,1,74,0,4ogj,99,15,0.4956,-100.9634021648663,-54544.71855715748,-54547.6198284229,-54547.89326566067,66.90490478586709,6.305612500203124,-27.75288487879608,714,234,15,0.001987771363928914,True,,14.0
16097,2wbg:pose97,0,50,0,2wbg,97,16,0.3853,-54.13010045922454,-29246.90166376097,-29247.49825732324,-29247.6007945606,13.757774378163143,2.364564866531548,-38.00776121452986,205,70,12,0.001958513632416725,True,,13.0
17032,2cet:pose32,0,42,0,2cet,32,17,0.3853,-88.08718762087891,-28105.209798203086,-28105.916187417984,-28106.173237463274,16.289722277190606,5.9277148642580935,-65.86975047943021,1000,166,8,0.0021702097728848457,False,,6.0
18015,2j7h:pose15,2,24,0,2j7h,15,18,0.3853,-221.6111454673431,-14524.741581159113,-14534.270213884785,-14534.305528009567,219.73549073077567,0.8143630636203996,-1.0612916729470412,103,59,4,0.0019772034138441086,True,,20.0
19065,2cbv:pose65,1,26,0,2cbv,65,19,0.3853,-106.24427416874164,-17170.718869122196,-17173.50180092627,-17173.633962429372,64.17593197722019,3.047716663629138,-39.020625527892314,95,67,4,0.0019803615286946297,True,,12.0
20088,2j78:pose88,0,25,0,2j78,88,20,0.3853,-94.88268356785534,-19644.031165386223,-19644.86452024502,-19645.10241876934,19.217619581189442,5.486070298902631,-70.17899368776327,126,105,6,0.0015944065526127815,True,,4.0
