target,pocket,pocket_atoms,unsupported_atomic_numbers,n_actives,actives,ef1,actives_top20,active_ranks
3ejr,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ejr/3ejr_pocket.pdb,478,30,5,"3ejr,3dx2,3d4z,3dx1,1ps3",57.0,5,"3ejr:5,3dx2:3,3d4z:4,3dx1:2,1ps3:1"
3ebp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ebp/3ebp_pocket.pdb,322,,5,"3ebp,3syr,3g2n,4eky,3l7b",0.0,5,"3ebp:8,3syr:10,3g2n:7,4eky:6,3l7b:9"
2vvn,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2vvn/2vvn_pocket.pdb,508,,5,"2vvn,2xj7,2wca,2w4x,2w66",57.0,5,"2vvn:5,2xj7:1,2wca:2,2w4x:4,2w66:3"
3arp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3arp/3arp_pocket.pdb,599,,5,"3arp,3arq,3ary,3arv,3aru",38.0,5,"3arp:2,3arq:6,3ary:3,3arv:5,3aru:4"
3gnw,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3gnw/3gnw_pocket.pdb,705,,5,"3gnw,4eo8,3cj4,4ih7,4ih5",57.0,5,"3gnw:1,4eo8:4,3cj4:5,4ih7:2,4ih5:3"
1e66,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1e66/1e66_pocket.pdb,554,,5,"1e66,1h22,1h23,1gpn,1gpk",57.0,5,"1e66:2,1h22:4,1h23:3,1gpn:1,1gpk:5"
3f3e,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3f3e/3f3e_pocket.pdb,409,,5,"3f3e,3f3d,4mme,3f3c,3f3a",57.0,5,"3f3e:2,3f3d:4,4mme:1,3f3c:3,3f3a:5"
2cet,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2cet/2cet_pocket.pdb,541,,5,"2cet,2j7h,2j78,2cbv,2wbg",57.0,5,"2cet:2,2j7h:3,2j78:5,2cbv:4,2wbg:1"
4gid,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4gid/4gid_pocket.pdb,747,,6,"4gid,2vkm,4djv,3rsx,3udh,2v00",47.5,6,"4gid:4,2vkm:3,4djv:5,3rsx:1,3udh:2,2v00:8"
4pcs,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4pcs/4pcs_pocket.pdb,386,,5,"4pcs,2xii,2wvt,4j28,4jfs",57.0,5,"4pcs:3,2xii:5,2wvt:4,4j28:1,4jfs:2"
3ge7,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ge7/3ge7_pocket.pdb,514,,5,"3ge7,3gc5,1r5y,1s38,3rr4",57.0,5,"3ge7:2,3gc5:1,1r5y:5,1s38:4,3rr4:3"
3e93,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3e93/3e93_pocket.pdb,631,,5,"3e93,3e92,4f9w,2zb1,4dli",57.0,5,"3e93:3,3e92:1,4f9w:4,2zb1:2,4dli:5"
3qqs,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3qqs/3qqs_pocket.pdb,377,,5,"3qqs,4gkm,3r88,3twp,4owm",57.0,5,"3qqs:2,4gkm:4,3r88:1,3twp:3,4owm:5"
2r9w,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2r9w/2r9w_pocket.pdb,439,,5,"2r9w,4jxs,4kz6,3gr2,3gv9",57.0,5,"2r9w:5,4jxs:2,4kz6:3,3gr2:4,3gv9:1"
2qbp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2qbp/2qbp_pocket.pdb,544,,5,"2qbp,2qbq,2qbr,1bzc,2hb1",57.0,5,"2qbp:1,2qbq:2,2qbr:5,1bzc:3,2hb1:4"
3ag9,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ag9/3ag9_pocket.pdb,752,,6,"3ag9,1ydt,1q8u,1ydr,1q8t,3ebp",47.5,5,"3ag9:5,1ydt:3,1q8u:4,1ydr:2,1q8t:1,3ebp:161"
5dwr,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/5dwr/5dwr_pocket.pdb,509,,6,"5dwr,4k18,2c3i,3jya,3bgz,3ebp",47.5,6,"5dwr:4,4k18:5,2c3i:3,3jya:1,3bgz:2,3ebp:8"
4tmn,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4tmn/4tmn_pocket.pdb,622,30,5,"4tmn,5tmn,1qf1,1z9g,3fcq",57.0,5,"4tmn:2,5tmn:3,1qf1:1,1z9g:4,3fcq:5"
3coy,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3coy/3coy_pocket.pdb,595,,5,"3coy,3coz,3ivg,4ddh,4ddk",57.0,5,"3coy:3,3coz:4,3ivg:1,4ddh:5,4ddk:2"
2fvd,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2fvd/2fvd_pocket.pdb,561,,7,"2fvd,1pxn,2xnb,4eor,3pxf,3ebp,2v7a",0.0,1,"2fvd:24,1pxn:23,2xnb:21,4eor:22,3pxf:25,3ebp:43,2v7a:12"
4ivc,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4ivc/4ivc_pocket.pdb,501,,9,"4ivc,4ivd,4ivb,4e5w,4k77,4ogj,4e6q,4f09,3e5a",31.666666666666664,7,"4ivc:5,4ivd:4,4ivb:3,4e5w:2,4k77:1,4ogj:114,4e6q:6,4f09:8,3e5a:135"
4jia,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4jia/4jia_pocket.pdb,415,,10,"4jia,4e6q,4hge,4gfm,4f09,4twp,4ogj,3ebp,4k77,3e5a",28.5,6,"4jia:2,4e6q:1,4hge:5,4gfm:4,4f09:3,4twp:32,4ogj:146,3ebp:78,4k77:6,3e5a:37"
4twp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4twp/4twp_pocket.pdb,499,,9,"4twp,2v7a,3pyy,3k5v,3mss,4ogj,2fvd,2wtv,3e5a",31.666666666666664,5,"4twp:2,2v7a:1,3pyy:22,3k5v:3,3mss:4,4ogj:208,2fvd:20,2wtv:31,3e5a:32"
1nvq,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1nvq/1nvq_pocket.pdb,531,,9,"1nvq,3jvs,3jvr,2br1,2brb,4ogj,4eor,3e5a,3myg",10.555555555555555,1,"1nvq:21,3jvs:25,3jvr:24,2br1:23,2brb:22,4ogj:259,4eor:2,3e5a:30,3myg:26"
2zcq,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2zcq/2zcq_pocket.pdb,506,12,5,"2zcq,2zy1,2zcr,4ea2,3acw",57.0,5,"2zcq:5,2zy1:2,2zcr:4,4ea2:3,3acw:1"
3utu,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3utu/3utu_pocket.pdb,578,11,10,"3utu,2zda,1oyt,3bv9,1bcu,1sqa,1mq6,1z6e,1o3f,1c5z",9.5,10,"3utu:10,2zda:6,1oyt:7,3bv9:8,1bcu:9,1sqa:17,1mq6:12,1z6e:11,1o3f:1,1c5z:16"
2p4y,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2p4y/2p4y_pocket.pdb,646,,9,"2p4y,3b1m,3fur,2yfe,3u9q,3ueu,3uev,3uex,3uew",31.666666666666664,5,"2p4y:1,3b1m:5,3fur:2,2yfe:4,3u9q:3,3ueu:92,3uev:94,3uex:95,3uew:91"
3myg,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3myg/3myg_pocket.pdb,427,,9,"3myg,2wtv,3e5a,3up2,3uo4,2v7a,4twp,4ogj,2brb",31.666666666666664,5,"3myg:1,2wtv:4,3e5a:5,3up2:2,3uo4:3,2v7a:36,4twp:37,4ogj:167,2brb:22"
1sqa,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1sqa/1sqa_pocket.pdb,472,,6,"1sqa,1owh,1o5b,1c5z,3kgp,1o3f",47.5,6,"1sqa:2,1owh:4,1o5b:5,1c5z:1,3kgp:3,1o3f:6"
3dd0,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3dd0/3dd0_pocket.pdb,444,30,6,"3dd0,3ryj,2weg,3kwa,4jsz,3twp",47.5,5,"3dd0:1,3ryj:3,2weg:4,3kwa:5,4jsz:2,3twp:208"
2yki,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2yki/2yki_pocket.pdb,628,,7,"2yki,3rlr,1yc1,3b27,2xdl,2yge,1o0h",40.714285714285715,6,"2yki:4,3rlr:1,1yc1:3,3b27:5,2xdl:2,2yge:8,1o0h:45"
3g0w,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3g0w/3g0w_pocket.pdb,556,,6,"3g0w,3b65,3b5r,3b68,1z95,1qkt",47.5,6,"3g0w:1,3b65:4,3b5r:5,3b68:3,1z95:2,1qkt:10"
2al5,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2al5/2al5_pocket.pdb,471,,5,"2al5,1p1n,1syi,1p1q,4u4s",57.0,5,"2al5:2,1p1n:5,1syi:1,1p1q:3,4u4s:4"
4de1,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4de1/4de1_pocket.pdb,464,,5,"4de1,4de3,4de2,3g31,3g2z",57.0,5,"4de1:5,4de3:2,4de2:3,3g31:4,3g2z:1"
3fv1,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3fv1/3fv1_pocket.pdb,529,,5,"3fv1,3fv2,3gbb,4dld,1vso",57.0,5,"3fv1:2,3fv2:1,3gbb:4,4dld:3,1vso:5"
2p15,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2p15/2p15_pocket.pdb,635,,5,"2p15,2pog,1qkt,2qe4,4mgd",0.0,5,"2p15:12,2pog:11,1qkt:15,2qe4:13,4mgd:14"
1mq6,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1mq6/1mq6_pocket.pdb,553,,6,"1mq6,1z6e,2xbv,1lpg,2y5h,1o3f",31.666666666666664,6,"1mq6:3,1z6e:2,2xbv:6,1lpg:4,2y5h:5,1o3f:18"
4f3c,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4f3c/4f3c_pocket.pdb,510,,5,"4f3c,4f2w,1y6r,1nc1,1nc3",57.0,5,"4f3c:3,4f2w:4,1y6r:1,1nc1:2,1nc3:5"
1o3f,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1o3f/1o3f_pocket.pdb,440,,5,"1o3f,1k1i,3gy4,4abg,1uto",57.0,5,"1o3f:1,1k1i:4,3gy4:3,4abg:5,1uto:2"
2vw5,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2vw5/2vw5_pocket.pdb,509,,5,"2vw5,2wer,2iwx,2fxs,2yge",0.0,5,"2vw5:9,2wer:7,2iwx:6,2fxs:10,2yge:8"
3kr8,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3kr8/3kr8_pocket.pdb,491,,5,"3kr8,4j3l,4j21,4kzu,4kzq",57.0,5,"3kr8:2,4j3l:4,4j21:3,4kzu:5,4kzq:1"
