mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
15062,3ag9,62,0,15,0.5791015625,1,-701907.8312983605,-613931.3315000507,-87963.40785797384,-301.9073163119744,,1
13046,1ydt,46,0,13,0.5791015625,1,-724470.2915927395,-613931.3315000507,-110530.58605342015,-193.1099330900696,,2
10068,4qd6,68,0,10,0.6220703125,0,-665797.0470703102,-613931.3315000507,-51857.94170285574,-179.2696410931518,,3
3024,1pxn,24,0,3,0.64697265625,0,-650088.4303252376,-613931.3315000507,-36149.82205222004,-167.80637105339093,,4
1028,2xnb,28,0,1,0.64697265625,1,-655853.6227891818,-613931.3315000507,-41916.11733693317,-142.37471996303591,,5
14031,1q8u,31,0,14,0.5791015625,1,-650282.6231924682,-613931.3315000507,-36345.19251543908,-140.65036243749958,,6
12087,1ydr,87,0,12,0.5791015625,1,-648154.8276563492,-613931.3315000507,-34217.6450492917,-134.92973299099236,,7
2068,4eor,68,1,2,0.64697265625,0,-658884.4398108192,-613931.3315000507,-44947.26067996385,-134.8495698663107,,8
19091,5dwr,91,0,19,0.54833984375,1,-655394.8540161052,-613931.3315000507,-41457.763817585605,-132.79874148293507,,9
4037,2fvd,37,0,4,0.64697265625,0,-664858.76130144,-613931.3315000507,-50922.083078975156,-123.29834796669282,,10
11001,1q8t,1,0,11,0.5791015625,1,-635339.0601673403,-613931.3315000507,-21402.470065798,-121.26623121923942,,11
18021,2c3i,21,0,18,0.54833984375,0,-640918.4227271188,-613931.3315000507,-26981.89261979716,-119.88273162412841,,12
8090,4rfm,90,0,8,0.6220703125,0,-670189.8693042303,-613931.3315000507,-56253.50113229672,-116.1484128621413,,13
16084,3jya,84,0,16,0.54833984375,0,-665294.5053917434,-613931.3315000507,-51358.333989107065,-111.61080507054878,,14
9001,4m0z,1,0,9,0.6220703125,0,-644384.0344098248,-613931.3315000507,-30447.889903278923,-110.99056648950416,,15
7089,3qgy,89,0,7,0.6220703125,0,-668758.7756422128,-613931.3315000507,-54822.81120232655,-106.8381306741259,,16
5038,3pxf,38,0,5,0.64697265625,0,-649204.8421281395,-613931.3315000507,-35269.06562633207,-102.5041756165508,,17
20067,4k18,67,0,20,0.54833984375,0,-650224.845434511,-613931.3315000507,-36289.658048561374,-88.91884120011056,,18
17019,3bgz,19,0,17,0.54833984375,-1,-641545.3578485483,-613931.3315000507,-27610.498438498056,-81.35553728664854,,19
6046,4m0y,46,0,6,0.6220703125,0,-641264.5506686833,-613931.3315000507,-27330.622479089943,-59.881083397954136,,20
