mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1003,2p4y:pose3,-1,61,1,2p4y,3,1,0.62158203125,-24.10062343897705,-65352.160176041754,-65355.126916278125,-65355.43612857799,68.4146551218379,7.1306050308331,51.444636713693946,624,108,12,0.0017669614171609282,True,,16.0
2049,3fur:pose49,0,43,1,3fur,49,2,0.62158203125,-35.06228389320027,-92048.22645141493,-92048.56810869767,-92049.26700077942,7.87880411032643,16.116834279705976,-11.066645503167859,952,246,5,0.0019519490888342261,True,,9.0
3053,3u9q:pose53,-1,31,1,3u9q,53,3,0.62158203125,-149.73745214183435,-14778.213754985034,-14781.43913318409,-14781.488495187188,74.37898823118164,1.1383148334447226,-74.22014907720799,1000,136,9,0.040601931512355804,False,,3.0
4024,2yfe:pose24,-1,48,1,2yfe,24,4,0.62158203125,-183.000563146738,-30362.27315358218,-30365.012360897923,-30365.896382347353,63.167621322662164,20.386018917880403,-99.44692290619541,518,159,11,0.0018794593634083867,True,,1.0
5079,3b1m:pose79,0,65,1,3b1m,79,5,0.62158203125,-4.350728768724896,-47401.06091147369,-47402.163609704134,-47402.725276043835,25.42882528595158,12.95233349153128,34.03043000875796,983,300,13,0.001981231151148677,True,,13.0
6075,3acw:pose75,1,43,0,3acw,75,6,0.41845703125,-52.73976581946767,-23609.337298870523,-23611.603926157648,-23611.611538364807,52.2696669689258,0.17554166727914502,-0.2945571832627285,94,57,3,0.0019691861234605312,True,,10.0
7073,2zy1:pose73,0,42,0,2zy1,73,7,0.41845703125,-67.99590491089886,-38955.4380746566,-38956.71624507217,-38957.03444027693,29.47531000396567,7.337755738837702,-31.182839168095484,626,100,9,0.0019574121106415987,True,,7.0
8017,4ea2:pose17,2,64,0,4ea2,17,8,0.41845703125,-84.47809832816468,-26450.331565185596,-26457.27202103715,-26457.46056128951,160.05071413111082,4.3478415075103305,79.92045731045647,401,227,12,0.0019801207818090916,True,,20.0
9027,2zcr:pose27,0,52,0,2zcr,27,9,0.41845703125,-106.58355319792828,-53562.29435373243,-53564.16029155846,-53564.44662833723,43.029548486061955,6.60308298254257,-56.95092172932376,829,201,11,0.001563429250381887,True,,4.0
10009,2zcq:pose9,0,41,0,2zcq,9,10,0.41845703125,-71.20349482086252,-51328.2313468466,-51329.99053089096,-51330.22963008864,40.56774779774522,5.513758484339776,-25.121988538777522,517,153,8,0.0019666485022753477,True,,8.0
11054,5aba:pose54,2,49,0,5aba,54,11,0.41552734375,-96.19921376079984,-107700.61050118442,-107707.80164441366,-107707.9512774908,165.83170239472028,3.450620732611446,73.08310936653189,304,110,5,0.00198005442507565,True,,19.0
12001,4agq:pose1,2,64,0,4agq,1,12,0.41552734375,-116.26649238096226,-41106.00080594091,-41113.29978265948,-41113.34673339791,168.31840173319938,1.082709749322258,53.13461910155937,251,172,10,0.0018855615053325891,True,,17.0
13094,5a7b:pose94,2,65,0,5a7b,94,13,0.41552734375,-119.4991558703669,-35633.70068259713,-35640.82724021726,-35640.891791050926,164.34232286657385,1.4885775872946507,46.331744583501596,705,251,10,0.0014202444581314921,True,,14.0
14067,4agn:pose67,2,53,0,4agn,67,14,0.41552734375,-112.5687198917091,-35355.80330006696,-35362.614754682654,-35362.73846841878,157.07587496130083,2.8529065291931333,47.36006159878487,609,261,9,0.0015894785756245255,True,,15.0
15050,4agp:pose50,2,63,0,4agp,50,15,0.41552734375,-100.07637190057814,-41646.958177369175,-41653.87987342091,-41654.26970111347,159.6181028700865,8.989640150004726,68.53137111951308,821,186,10,0.0018737263744696975,True,,18.0
16093,1z95:pose93,0,43,0,1z95,93,16,0.39453125,-79.95143681893614,-51793.90256026857,-51794.72784040675,-51795.08039397933,19.03141210004452,8.130078523469251,-52.789946195422374,526,202,9,0.0019822316244244576,True,,5.0
17093,3b68:pose93,0,49,0,3b68,93,17,0.39453125,-9.532341872005883,-44927.31246429267,-44928.09044771484,-44928.587989226304,17.940723918445382,11.473579822751955,19.881961869191453,1000,185,13,0.017066100612282753,False,,12.0
18099,3b65:pose99,0,39,0,3b65,99,18,0.39453125,-60.8735288139811,-37627.840676038424,-37628.80551410057,-37628.871749579186,22.249694280869456,1.5274264227585337,-37.09640811035312,427,218,8,0.0019441271433606744,True,,6.0
19053,3b5r:pose53,0,41,0,3b5r,53,19,0.39453125,-96.7564087833746,-51415.55507560573,-51416.02968764392,-51416.22451153021,10.944813607660265,4.492745548329983,-81.31884962738435,318,124,9,0.0019152737222611904,True,,2.0
20007,3zso:pose7,0,78,0,3zso,7,20,0.3779296875,-37.19442829145362,-54192.87609696198,-54194.83463477679,-54195.31401995122,45.164954956363744,11.054884744291144,19.02541140920127,1000,170,16,0.007242381107062101,False,,11.0
