mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
4024,2yfe,24,1,4,0.62158203125,-1,-778321.5796230152,-747967.5952721839,-30346.04869533476,-183.000563146738,,1
3053,3u9q,53,1,3,0.62158203125,-1,-762748.6569934144,-747967.5952721839,-14774.568490746928,-149.73745214183435,,2
13094,5a7b,94,0,13,0.41552734375,2,-783605.3897101227,-747967.5952721839,-35632.612464086866,-119.4991558703669,,3
12001,4agq,1,0,12,0.41552734375,2,-789077.7162097585,-747967.5952721839,-41105.07914527922,-116.26649238096226,,4
14067,4agn,67,0,14,0.41552734375,2,-783322.0790397881,-747967.5952721839,-35349.60232590047,-112.5687198917091,,5
9027,2zcr,27,0,9,0.41845703125,0,-801529.2826919263,-747967.5952721839,-53557.065519431126,-106.58355319792828,,6
15050,4agp,50,0,15,0.41552734375,2,-789617.9747484812,-747967.5952721839,-41646.03975407406,-100.07637190057814,,7
19053,3b5r,53,0,19,0.39453125,0,-799363.5205965758,-747967.5952721839,-51391.72956939538,-96.75640878337461,,8
11054,5aba,54,0,11,0.41552734375,2,-855666.1155431628,-747967.5952721839,-107694.34867824541,-96.19921376079985,,9
8017,4ea2,17,0,8,0.41845703125,2,-774419.0502174122,-747967.5952721839,-26447.791628166244,-84.47809832816468,,10
16093,1z95,93,0,16,0.39453125,0,-799761.6428122787,-747967.5952721839,-51790.58051765432,-79.95143681893614,,11
10009,2zcq,9,0,10,0.41845703125,0,-799293.8381431928,-747967.5952721839,-51323.15519523714,-71.20349482086252,,12
7073,2zy1,73,0,7,0.41845703125,0,-786924.2631407385,-747967.5952721839,-38953.71928704602,-67.99590491089886,,13
18099,3b65,99,0,18,0.39453125,0,-785595.7942475436,-747967.5952721839,-37625.559249310616,-60.8735288139811,,14
6075,3acw,75,0,6,0.41845703125,1,-771578.7026319577,-747967.5952721839,-23608.820347071145,-52.73976581946767,,15
20007,3zso,7,0,20,0.3779296875,0,-802159.9389163908,-747967.5952721839,-54190.73074114123,-37.19442829145362,,16
2049,3fur,49,1,2,0.62158203125,0,-839990.582714955,-747967.5952721839,-92021.46699823739,-35.06228389320027,,17
1003,2p4y,3,1,1,0.62158203125,-1,-813316.6324307421,-747967.5952721839,-65347.99205661116,-24.100623438977046,,18
17093,3b68,93,0,17,0.39453125,0,-792893.1560634702,-747967.5952721839,-44925.147429819684,-9.532341872005885,,19
5079,3b1m,79,1,5,0.62158203125,0,-795365.7117644586,-747967.5952721839,-47397.92782681883,-4.350728768724896,,20
