mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,2qbp,1,1,1,0.876953125,-2,-742301.3105839198,-606944.87006623,-135357.36728209758,21.371694953262047,
1002,2qbp,2,1,1,0.876953125,-2,-742300.4758157728,-606944.87006623,-135356.85488924885,28.805845937848137,
1003,2qbp,3,1,1,0.876953125,-2,-742303.060754702,-606944.87006623,-135357.00190476084,-27.41400363173596,
1004,2qbp,4,1,1,0.876953125,-2,-742302.9362640831,-606944.87006623,-135356.78431019688,-29.561031611830064,
1005,2qbp,5,1,1,0.876953125,-2,-742303.5598606323,-606944.87006623,-135356.7922024181,-43.75951071576683,
1006,2qbp,6,1,1,0.876953125,-2,-742302.3166190084,-606944.87006623,-135356.26373324305,-27.276466471818285,
1007,2qbp,7,1,1,0.876953125,-2,-742302.5449853544,-606944.87006623,-135356.92805037406,-17.223202541807876,
1008,2qbp,8,1,1,0.876953125,-2,-742300.6192845111,-606944.87006623,-135356.70955229318,22.14582841829641,
1009,2qbp,9,1,1,0.876953125,-2,-742303.8860629206,-606944.87006623,-135357.33091408515,-38.858928021705175,
1010,2qbp,10,1,1,0.876953125,-2,-742300.9136610028,-606944.87006623,-135356.87216762215,19.107343823256212,
1011,2qbp,11,1,1,0.876953125,-2,-742304.6828621482,-606944.87006623,-135357.26245227957,-58.81232146326286,
1012,2qbp,12,1,1,0.876953125,-2,-742298.5605691825,-606944.87006623,-135357.2715135268,82.58006562926236,
1013,2qbp,13,1,1,0.876953125,-2,-742304.2137492152,-606944.87006623,-135357.15457180643,-50.482103046580924,
1014,2qbp,14,1,1,0.876953125,-2,-742300.599576414,-606944.87006623,-135356.73815775418,23.259965535766995,
1015,2qbp,15,1,1,0.876953125,-2,-742266.7627777313,-606944.87006623,-135357.15214419866,813.1018341970262,
1016,2qbp,16,1,1,0.876953125,-2,-742283.166835219,-606944.87006623,-135357.38131785893,440.1001520393939,
1017,2qbp,17,1,1,0.876953125,-2,-742279.5738917444,-606944.87006623,-135355.44123697781,478.2160689349705,
1018,2qbp,18,1,1,0.876953125,-2,-742241.7508604673,-606944.87006623,-135357.8714040568,1406.476874959327,
1019,2qbp,19,1,1,0.876953125,-2,-742304.3651282494,-606944.87006623,-135356.10892671847,-78.08613506898082,
1020,2qbp,20,1,1,0.876953125,-2,-742293.3629451547,-606944.87006623,-135357.18774050975,200.50827146246144,
1021,2qbp,21,1,1,0.876953125,-2,-742302.2531829033,-606944.87006623,-135357.1861679604,-4.541745214574175,
1022,2qbp,22,1,1,0.876953125,-2,-742260.1722116623,-606944.87006623,-135357.6970064094,977.648719334261,
1023,2qbp,23,1,1,0.876953125,-2,-742293.7849297528,-606944.87006623,-135356.84144044423,182.79120622826642,
1024,2qbp,24,1,1,0.876953125,-2,-742301.7432757317,-606944.87006623,-135356.6688900938,-4.7117174793073024,
1025,2qbp,25,1,1,0.876953125,-2,-742302.9264967146,-606944.87006623,-135357.16695833707,-20.511715002955288,
