mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,2xj7,1,1,1,0.720703125,1,-616858.2517380522,-595004.690580724,-21855.894055105236,53.79790077145405,
1002,2xj7,2,1,1,0.720703125,1,-616857.7221559694,-595004.690580724,-21855.892987526444,65.98573477204593,
1003,2xj7,3,1,1,0.720703125,1,-616854.7939231208,-595004.690580724,-21855.88924959996,133.4261898022598,
1004,2xj7,4,1,1,0.720703125,1,-616844.2565239025,-595004.690580724,-21855.893762625245,376.5284613216421,
1005,2xj7,5,1,1,0.720703125,1,-616854.9796509105,-595004.690580724,-21855.894795394925,129.27109429561068,
1006,2xj7,6,1,1,0.720703125,1,-616851.5592686196,-595004.690580724,-21855.626716531304,201.96493825575652,
1007,2xj7,7,1,1,0.720703125,1,-616853.7063614833,-595004.690580724,-21855.894143141297,158.61880470690235,
1008,2xj7,8,1,1,0.720703125,1,-616860.1683552965,-595004.690580724,-21855.893028892067,9.575992099585578,
1009,2xj7,9,1,1,0.720703125,1,-616859.0206868758,-595004.690580724,-21856.817826486615,57.36819377121372,
1010,2xj7,10,1,1,0.720703125,1,-616847.6135250588,-595004.690580724,-21855.89126507142,299.05658062958526,
1011,2xj7,11,1,1,0.720703125,1,-616847.7302933442,-595004.690580724,-21855.6233979533,290.1866775093745,
1012,2xj7,12,1,1,0.720703125,1,-616847.8658544376,-595004.690580724,-21855.62540782192,287.10691310395174,
1013,2xj7,13,1,1,0.720703125,1,-616837.3798295219,-595004.690580724,-21855.892839170483,535.0875056305874,
1014,2xj7,14,1,1,0.720703125,1,-616853.9062786212,-595004.690580724,-21856.814624584702,175.23541234006305,
1015,2xj7,15,1,1,0.720703125,1,-616859.6214645016,-595004.690580724,-21855.890804804352,22.136304751943726,
1016,2xj7,16,1,1,0.720703125,1,-616859.5995663061,-595004.690580724,-21855.892835176972,22.688110641509944,
1017,2xj7,17,1,1,0.720703125,1,-616859.426036905,-595004.690580724,-21855.62417638996,20.49437488694779,
1018,2xj7,18,1,1,0.720703125,1,-616857.4926261713,-595004.690580724,-21856.81676361659,92.58160036966228,
1019,2xj7,19,1,1,0.720703125,1,-616859.3562496859,-595004.690580724,-21855.626872069624,22.165870242350458,
1020,2xj7,20,1,1,0.720703125,1,-616859.6944404794,-595004.690580724,-21855.893400109795,20.513287890939207,
1021,2xj7,21,1,1,0.720703125,1,-616859.6365324666,-595004.690580724,-21855.89080200293,21.788764621448028,
1022,2xj7,22,1,1,0.720703125,1,-616859.6639982125,-595004.690580724,-21855.894425309685,21.238944912610663,
1023,2xj7,23,1,1,0.720703125,1,-616859.6040121574,-595004.690580724,-21855.896764553574,22.676200451695802,
1024,2xj7,24,1,1,0.720703125,1,-616860.4963914257,-595004.690580724,-21856.814055479554,23.25067692503258,
1025,2xj7,25,1,1,0.720703125,1,-616859.5738581526,-595004.690580724,-21855.893336273217,23.29251029873515,
1026,2xj7,26,1,1,0.720703125,1,-616860.4602013192,-595004.690580724,-21856.81420431235,24.08867277359995,
1027,2xj7,27,1,1,0.720703125,1,-616859.6533884812,-595004.690580724,-21855.890135265377,21.384680357024106,
1028,2xj7,28,1,1,0.720703125,1,-616860.4701358629,-595004.690580724,-21856.817085124043,23.926009848112777,
1029,2xj7,29,1,1,0.720703125,1,-616859.3892567863,-595004.690580724,-21855.625185794615,21.365821998004126,
1030,2xj7,30,1,1,0.720703125,1,-616859.3172749244,-595004.690580724,-21855.62307662466,22.977124553882057,
1031,2xj7,31,1,1,0.720703125,1,-616859.3997977633,-595004.690580724,-21855.62676755288,21.15921750573416,
1032,2xj7,32,1,1,0.720703125,1,-616859.6031311405,-595004.690580724,-21855.892575896767,22.59992446463551,
1033,2xj7,33,1,1,0.720703125,1,-616859.622157197,-595004.690580724,-21855.89168468812,22.140621418693566,
1034,2xj7,34,1,1,0.720703125,1,-616860.447287496,-595004.690580724,-21856.81558070281,24.418212930168895,
1035,2xj7,35,1,1,0.720703125,1,-616854.3371986258,-595004.690580724,-21856.50012037852,158.04552167298334,
1036,2xj7,36,1,1,0.720703125,1,-616859.6125959709,-595004.690580724,-21855.893349147824,22.39949188362713,
1037,2xj7,37,1,1,0.720703125,1,-616859.6259745616,-595004.690580724,-21855.893273509526,22.089229992421796,
1038,2xj7,38,1,1,0.720703125,1,-616860.4019345455,-595004.690580724,-21856.814766801384,25.445307800769374,
1039,2xj7,39,1,1,0.720703125,1,-616859.3980656076,-595004.690580724,-21855.627842254427,21.22394517110061,
1040,2xj7,40,1,1,0.720703125,1,-616859.6177975936,-595004.690580724,-21855.89008615115,22.20429312306444,
1041,2xj7,41,1,1,0.720703125,1,-616859.6191851157,-595004.690580724,-21855.890845156693,22.189799187163217,
1042,2xj7,42,1,1,0.720703125,1,-616859.3651504032,-595004.690580724,-21855.626249141482,21.94624975956751,
1043,2xj7,43,1,1,0.720703125,1,-616859.5400061716,-595004.690580724,-21855.893451250573,24.075806967642254,
1044,2xj7,44,1,1,0.720703125,1,-616859.6343861175,-595004.690580724,-21855.89059714177,21.83353639860332,
