mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,3g0w,1,0,1,0.529296875,0,-771285.6462524558,-726270.7184341244,-45026.811822563,274.05164800210326,
1002,3g0w,2,0,1,0.529296875,0,-771277.0914578188,-726270.7184341244,-45026.762571423846,470.19414066000604,
1003,3g0w,3,0,1,0.529296875,0,-771297.2761112032,-726270.7184341244,-45026.644252746904,1.996482333542988,
1004,3g0w,4,0,1,0.529296875,0,-771283.1461916744,-726270.7184341244,-45026.563346325944,325.9744210808974,
1005,3g0w,5,0,1,0.529296875,0,-771264.1474264587,-726270.7184341244,-45024.85172823031,724.6255040990716,
1006,3g0w,6,0,1,0.529296875,0,-771243.334421267,-726270.7184341244,-45026.606020867424,1245.0397550865607,
1007,3g0w,7,0,1,0.529296875,0,-771286.9289184096,-726270.7184341244,-45026.514890044535,237.62524187793323,
1008,3g0w,8,0,1,0.529296875,0,-771250.1918342883,-726270.7184341244,-45026.402246772835,1082.2049118604496,
1009,3g0w,9,0,1,0.529296875,0,-771286.0646243418,-726270.7184341244,-45025.119841962645,225.38576355065615,
1010,3g0w,10,0,1,0.529296875,0,-771283.7606594611,-726270.7184341244,-45026.512334018546,310.62808553966545,
1011,3g0w,11,0,1,0.529296875,0,-771232.9602027419,-726270.7184341244,-45026.60854515394,1484.3331290206015,
1012,3g0w,12,0,1,0.529296875,0,-771278.337978366,-726270.7184341244,-45026.66861087043,439.28191212332035,
1013,3g0w,13,0,1,0.529296875,0,-771299.5829758073,-726270.7184341244,-45026.60766485293,-52.04481608495613,
1014,3g0w,14,0,1,0.529296875,0,-771288.7312362688,-726270.7184341244,-45025.12304648717,163.96612975391673,
1015,3g0w,15,0,1,0.529296875,0,-771292.294021356,-726270.7184341244,-45026.71812549194,118.58974952187403,
1016,3g0w,16,0,1,0.529296875,0,-771283.56672782,-726270.7184341244,-45026.5610539015,316.2237626180693,
1017,3g0w,17,0,1,0.529296875,0,-771297.5105007315,-726270.7184341244,-45026.660495429824,-3.0341034280643995,
1018,3g0w,18,0,1,0.529296875,0,-771275.7572513421,-726270.7184341244,-45026.43011379202,493.2950178112776,
1019,3g0w,19,0,1,0.529296875,0,-771288.4384582816,-726270.7184341244,-45026.256129592264,196.8472676725258,
1020,3g0w,20,0,1,0.529296875,0,-771272.4011256719,-726270.7184341244,-45020.7050936218,438.66701288642065,
1021,3g0w,21,0,1,0.529296875,0,-771293.1229318553,-726270.7184341244,-45026.67285174091,98.43058180588542,
1022,3g0w,22,0,1,0.529296875,0,-771287.77899911,-726270.7184341244,-45026.37860742172,214.87916328554422,
1023,3g0w,23,0,1,0.529296875,0,-771284.7789485927,-726270.7184341244,-45026.40804529149,284.7408251371254,
1024,3g0w,24,0,1,0.529296875,0,-771297.609224233,-726270.7184341244,-45026.61065417488,-6.4600880983939035,
1025,3g0w,25,0,1,0.529296875,0,-771283.8868769879,-726270.7184341244,-45026.529047309945,308.1028578830999,
1026,3g0w,26,0,1,0.529296875,0,-771286.1433906455,-726270.7184341244,-45026.680953889685,259.5694656987525,
1027,3g0w,27,0,1,0.529296875,0,-771298.4805923434,-726270.7184341244,-45026.53141176661,-28.381687432728025,
1028,3g0w,28,0,1,0.529296875,0,-771270.8917465233,-726270.7184341244,-45026.37405410368,604.2034572795739,
1029,3g0w,29,0,1,0.529296875,0,-771272.1163605029,-726270.7184341244,-45020.71211740334,445.39582593731274,
1030,3g0w,30,0,1,0.529296875,0,-771276.203897764,-726270.7184341244,-45025.12829205354,452.97438416814106,
1031,3g0w,31,0,1,0.529296875,0,-771287.1476823866,-726270.7184341244,-45026.68337988814,236.46589282156455,
1032,3g0w,32,0,1,0.529296875,0,-771280.5206731437,-726270.7184341244,-45025.01297411282,350.7678841627894,
1033,3g0w,33,0,1,0.529296875,0,-771295.0337567056,-726270.7184341244,-45020.541609823296,-87.02388355295417,
1034,3g0w,34,0,1,0.529296875,0,-771252.021596079,-726270.7184341244,-45026.53822788556,1043.145401521593,
1035,3g0w,35,0,1,0.529296875,0,-771257.4885123254,-726270.7184341244,-45026.670841425264,920.1334588095133,
1036,3g0w,36,0,1,0.529296875,0,-771241.3963565407,-726270.7184341244,-45026.43636205752,1285.8201643055336,
1037,3g0w,37,0,1,0.529296875,0,-771287.1730496759,-726270.7184341244,-45025.12234488089,199.88258678293477,
1038,3g0w,38,0,1,0.529296875,0,-771305.9900834162,-726270.7184341244,-45025.12306377252,-234.0319417818367,
1039,3g0w,39,0,1,0.529296875,0,-771293.5127519551,-726270.7184341244,-45026.64486381372,88.79569981541677,
1040,3g0w,40,0,1,0.529296875,0,-771305.0781026656,-726270.7184341244,-45026.37437954504,-184.14513883798344,
1041,3g0w,41,0,1,0.529296875,0,-771266.5066398258,-726270.7184341244,-45026.53632631857,709.0685061941139,
1042,3g0w,42,0,1,0.529296875,0,-771293.7505276997,-726270.7184341244,-45026.61468490918,82.6165188116076,
1043,3g0w,43,0,1,0.529296875,0,-771256.3499222277,-726270.7184341244,-45025.12182304224,910.668757706478,
1044,3g0w,44,0,1,0.529296875,0,-771260.7468885505,-726270.7184341244,-45026.66565871198,844.874001814826,
1045,3g0w,45,0,1,0.529296875,0,-771286.7396995747,-726270.7184341244,-45025.01430794556,207.38448660510866,
1046,3g0w,46,0,1,0.529296875,0,-771247.7919335563,-726270.7184341244,-45026.564705758894,1141.2943306975244,
1047,3g0w,47,0,1,0.529296875,0,-771297.9178404087,-726270.7184341244,-45026.37482902367,-19.015203360511045,
1048,3g0w,48,0,1,0.529296875,0,-771283.6086980581,-726270.7184341244,-45024.85693320592,275.95794912548695,
1049,3g0w,49,0,1,0.529296875,0,-771255.4716974819,-726270.7184341244,-45026.513423204015,963.0121635534351,
1050,3g0w,50,0,1,0.529296875,0,-771270.1489088882,-726270.7184341244,-45026.430332392054,622.6315082550423,
1051,3g0w,51,0,1,0.529296875,0,-771272.2566279651,-726270.7184341244,-45026.60230982264,577.9922454322559,
1052,3g0w,52,0,1,0.529296875,0,-771292.7005890333,-726270.7184341244,-45026.38594683964,101.55385445402713,
1053,3g0w,53,0,1,0.529296875,0,-771279.084416988,-726270.7184341244,-45026.515474885295,418.53722886804184,
1054,3g0w,54,0,1,0.529296875,0,-771264.0972095628,-726270.7184341244,-45026.59265360196,765.9302260309261,
1055,3g0w,55,0,1,0.529296875,0,-771278.8569448623,-726270.7184341244,-45026.611980378235,426.00833023802943,
1056,3g0w,56,0,1,0.529296875,0,-771280.778471219,-726270.7184341244,-45026.061435967276,369.001024059381,
1057,3g0w,57,0,1,0.529296875,0,-771277.8688592935,-726270.7184341244,-45026.14946201403,438.12819789700166,
1058,3g0w,58,0,1,0.529296875,0,-771279.6644592333,-726270.7184341244,-45026.16305497249,397.03414067001285,
1059,3g0w,59,0,1,0.529296875,0,-771283.2833818081,-726270.7184341244,-45025.73739734253,303.76390540350127,
1060,3g0w,60,0,1,0.529296875,0,-771291.732117179,-726270.7184341244,-45026.62677881081,129.44106316398785,
1061,3g0w,61,0,1,0.529296875,0,-771295.9147006149,-726270.7184341244,-45026.138438433,21.72700114470837,
1062,3g0w,62,0,1,0.529296875,0,-771267.7353006203,-726270.7184341244,-45026.07929947932,670.1956258872458,
1063,3g0w,63,0,1,0.529296875,0,-771279.7244483414,-726270.7184341244,-45026.14319357237,395.19274420539693,
1064,3g0w,64,0,1,0.529296875,0,-771271.913851502,-726270.7184341244,-45025.64921989996,563.9180827067044,
1065,3g0w,65,0,1,0.529296875,0,-771290.2666440778,-726270.7184341244,-45025.60728749592,139.72564747709336,
1066,3g0w,66,0,1,0.529296875,0,-771274.8624538977,-726270.7184341244,-45026.12651440462,506.92836888079313,
1067,3g0w,67,0,1,0.529296875,0,-771282.3743202413,-726270.7184341244,-45026.14971378405,334.23560616695835,
1068,3g0w,68,0,1,0.529296875,0,-771288.5413749396,-726270.7184341244,-45025.56564202865,178.55093166995675,
1069,3g0w,69,0,1,0.529296875,0,-771294.6828717018,-726270.7184341244,-45025.61352071125,38.028760484702566,
1070,3g0w,70,0,1,0.529296875,0,-771295.8248144139,-726270.7184341244,-45026.14679095109,23.992439824236378,
1071,3g0w,71,0,1,0.529296875,0,-771286.2256227019,-726270.7184341244,-45025.701059192026,235.07624088417217,
1072,3g0w,72,0,1,0.529296875,0,-771296.8102727854,-726270.7184341244,-45026.14575329382,1.243300968981653,
1073,3g0w,73,0,1,0.529296875,0,-771287.3510582471,-726270.7184341244,-45025.2268218096,198.18690682270375,
1074,3g0w,74,0,1,0.529296875,0,-771300.7401644038,-726270.7184341244,-45026.135122865046,-89.62729617833249,
1075,3g0w,75,0,1,0.529296875,0,-771263.7846640522,-726270.7184341244,-45026.0356502231,760.2928936671187,
1076,3g0w,76,0,1,0.529296875,0,-771255.4219497024,-726270.7184341244,-45026.05272349675,953.5353869671793,
1077,3g0w,77,0,1,0.529296875,0,-771288.634834888,-726270.7184341244,-45025.89243385155,183.9316925216109,
1078,3g0w,78,0,1,0.529296875,0,-771261.2195342828,-726270.7184341244,-45026.01255133708,818.9135184398363,
1079,3g0w,79,0,1,0.529296875,0,-771285.4978335681,-726270.7184341244,-45026.00781291684,258.933365957757,
1080,3g0w,80,0,1,0.529296875,0,-771283.2184321905,-726270.7184341244,-45026.70513328869,327.578200240777,
1081,3g0w,81,0,1,0.529296875,0,-771268.081112432,-726270.7184341244,-45026.11528822739,663.0509363110209,
1082,3g0w,82,0,1,0.529296875,0,-771273.0508116533,-726270.7184341244,-45026.7989513572,564.2125960192227,
1083,3g0w,83,0,1,0.529296875,0,-771284.0418249994,-726270.7184341244,-45026.13029274305,295.334173089977,
1084,3g0w,84,0,1,0.529296875,0,-771296.4219454998,-726270.7184341244,-45025.587507873366,-2.67510430874486,
1085,3g0w,85,0,1,0.529296875,0,-771276.2296999717,-726270.7184341244,-45026.1431287225,475.78206066676216,
