mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
2040,3arp,40,1,2,0.3359375,0,-764002.4437870436,-726270.7184341244,-37710.49834756645,-489.5063722378127,,1
3083,3ary,83,1,3,0.3359375,0,-756241.8270514095,-726270.7184341244,-29955.57009478496,-358.3268413328249,,2
11059,3uew,59,0,11,0.1689453125,-1,-747493.7556196621,-726270.7184341244,-21208.88973471363,-326.24796641084265,,3
5095,3arv,95,1,5,0.3359375,0,-756956.0223839284,-726270.7184341244,-30672.44181403214,-296.60789717194797,,4
17038,3wtj,38,0,17,0.165283203125,0,-766131.1657475961,-726270.7184341244,-39847.89976485898,-289.3533449405993,,5
1088,3g0w,88,0,1,0.529296875,0,-771309.3942610204,-726270.7184341244,-45026.176924556086,-288.231535239401,,6
9062,3b65,62,0,9,0.1878662109375,0,-763899.5564788178,-726270.7184341244,-37616.5145825733,-284.1857876608341,,7
12005,3ueu,5,0,12,0.1689453125,-1,-743209.7040585673,-726270.7184341244,-16926.96918236383,-277.10573731879606,,8
20056,4qac,56,0,20,0.165283203125,0,-758353.3764145087,-726270.7184341244,-32071.25796605454,-262.89057572125336,,9
15051,3uex,51,0,15,0.1689453125,-1,-749614.6738273846,-726270.7184341244,-23332.809745849936,-257.0247352082636,,10
18043,3u8n,43,0,18,0.165283203125,1,-815600.0577844294,-726270.7184341244,-89318.42758059815,-251.63138724236353,,11
14093,3uev,93,0,14,0.1689453125,-1,-745348.2823680026,-726270.7184341244,-19067.7922197531,-225.3410809691206,,12
16003,3zdg,3,0,16,0.165283203125,1,-743034.5768140428,-726270.7184341244,-16754.482939212805,-216.20279882412564,,13
13034,3nq9,34,0,13,0.1689453125,-1,-738922.1556641215,-726270.7184341244,-12642.464970812152,-206.90521208386798,,14
19004,3u8k,4,0,19,0.165283203125,1,-745572.4015636173,-726270.7184341244,-19292.836358874294,-204.01137699720624,,15
4085,3aru,85,1,4,0.3359375,0,-752172.8755922446,-726270.7184341244,-25893.787496800272,-193.00897519394877,,16
6082,3arq,82,1,6,0.3359375,1,-773635.7434926351,-726270.7184341244,-47356.88425196379,-187.73145875511685,,17
8028,3b68,28,0,8,0.1878662109375,0,-771201.7443135071,-726270.7184341244,-44923.474707539644,-174.1341594648804,,18
7099,1z95,99,0,7,0.1878662109375,0,-778070.3101119333,-726270.7184341244,-51792.84631717675,-155.55171149248218,,19
10003,3b5r,3,0,10,0.1878662109375,0,-777693.687561937,-726270.7184341244,-51416.28938986861,-154.03841635469166,,20
