mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1026,4mme:pose26,0,34,1,4mme,26,1,0.83544921875,239.6433784277549,-34385.46470940266,-34386.0155912305,-34386.03169380407,12.70363673991105,0.37133416806297215,252.7183493357289,174,150,2,0.0019963225349783897,True,,17.0
2073,3f3e:pose73,0,22,1,3f3e,73,2,0.83544921875,-119.99273341260516,-12026.072705841712,-12027.327255320042,-12027.429136100971,28.930598250903937,2.3494266216269977,-88.71270854007422,142,93,6,0.0017889266600832343,True,,2.0
3016,3f3c:pose16,0,23,1,3f3c,16,3,0.83544921875,-31.589981775811456,-17808.399478046533,-17809.756919252864,-17809.956951404452,31.303337865865647,4.6128509993555,4.3262070894096905,135,105,4,0.0018829110777005553,True,,4.0
4038,3f3d:pose38,0,20,1,3f3d,38,4,0.83544921875,-150.29812496357712,-21792.151217748695,-21793.737671440296,-21793.92151142785,36.58449123623828,4.239450826131287,-109.47418290120756,218,112,6,0.0016398924635723233,True,,1.0
5002,3f3a:pose2,0,27,1,3f3a,2,5,0.83544921875,22.955845027965765,-18689.35540438669,-18690.853453520212,-18690.905659752276,34.545833696218196,1.203904311552742,58.7055830357367,240,115,4,0.0019325671019032598,True,,9.0
6094,3pww:pose94,1,100,0,3pww,94,6,0.66455078125,350.678776002454,-59452.31113259139,-59454.51806520012,-59454.77975768129,50.89307498255717,6.034771978850947,407.6066229638621,309,175,21,0.0019944976083934307,True,,19.0
7080,3prs:pose80,0,98,0,3prs,80,7,0.66455078125,42.10824075274318,-80044.20188293481,-80044.94730965208,-80045.24036452462,17.189948467883653,6.75800590524356,66.05619512587039,631,173,28,0.0015251582954078913,True,,10.0
8005,2v00:pose5,0,29,0,2v00,5,8,0.66455078125,127.76579957379208,-19187.25763511391,-19187.868075620267,-19187.877014037764,14.077092494572101,0.20612480422237983,142.04901687258658,121,134,4,0.0019667502492666245,True,,14.0
9075,3uri:pose75,1,130,0,3uri,75,9,0.66455078125,-14.332169804315624,-92842.90868015817,-92849.22602447007,-92850.06755034631,145.6814206670877,19.406047719730484,150.75529858250258,998,279,39,0.0019695209339261055,True,,15.0
10086,3wz8:pose86,0,58,0,3wz8,86,10,0.66455078125,167.07195054104037,-47834.197244364485,-47834.755358609786,-47835.002586577786,12.870420248716131,5.701212381142639,185.64358317089915,436,247,11,0.0019619863014668226,True,,16.0
11091,1ps3:pose91,0,28,0,1ps3,91,11,0.420654296875,52.046463610135866,-23769.79154413753,-23770.970708796813,-23771.13919046769,27.192183025567324,3.8852796298334753,83.12392626553667,388,145,5,0.001542168203741312,True,,11.0
12081,3dx1:pose81,1,21,0,3dx1,81,12,0.420654296875,-45.12182966758685,-13013.697328634265,-13016.845504665884,-13017.116822260392,72.5986639563416,6.256732365445263,33.733566654200004,324,70,4,0.0018494479591026902,True,,7.0
13097,3dx2:pose97,1,26,0,3dx2,97,13,0.420654296875,-34.91434986158022,-26968.390430309006,-26972.01563689897,-26972.297976310816,83.59924996374842,6.510901511341131,55.19580161350933,324,112,6,0.0019973141606897116,True,,8.0
14095,3d4z:pose95,0,26,0,3d4z,95,14,0.420654296875,87.25507899144235,-19672.607926011726,-19673.33171049187,-19673.374610660278,16.690866623459527,0.9893013854693143,104.93524700037119,110,94,5,0.0017353295115754008,True,,12.0
15092,3ejr:pose92,1,55,0,3ejr,92,15,0.420654296875,73.96327479180006,-30923.22765022197,-30925.498816132033,-30925.714524975916,52.37433010030579,4.97436411186243,131.31196900396827,592,92,10,0.001981310546398163,True,,13.0
16080,1g2k:pose80,0,82,0,1g2k,80,16,0.393310546875,813.9693715141897,-65534.07934928879,-65534.889624180185,-65535.09999454268,18.685382888969507,4.8512558064877735,837.5060102096469,548,300,15,0.001989479176700115,True,,20.0
17066,2qnq:pose66,1,71,0,2qnq,66,17,0.391357421875,317.7575441909636,-90999.08045388761,-91001.83687243788,-91002.08031662546,63.56452181972087,5.613956331802214,386.9360223424867,277,272,10,0.0016920570051297545,True,,18.0
18094,1syi:pose94,0,30,0,1syi,94,18,0.36865234375,-13.444277589028932,-23256.724297125278,-23258.42010853432,-23258.60689959916,39.106340109903954,4.307504285070025,29.969566805945046,264,123,4,0.001813109265640378,True,,6.0
19096,2al5:pose96,0,23,0,2al5,96,19,0.36865234375,-43.06413215037478,-22779.073253577677,-22781.220611989072,-22781.319099528293,49.51926135546898,2.271176608914628,8.726305814008823,387,114,4,0.0016028322279453278,True,,5.0
20007,1p1q:pose7,0,23,0,1p1q,7,20,0.36865234375,-129.77256150148347,-18600.565801448094,-18602.544496037335,-18602.682818870155,45.62978121738045,3.189800302301719,-80.9529799818013,199,108,5,0.0018240748904645443,True,,3.0
