mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1029,3gnw:pose29,0,76,1,3gnw,29,1,0.72021484375,-201.9016290287426,-64074.889726822745,-64075.724003875715,-64076.03882731774,19.23888588401914,7.26000104295573,-175.40274210176773,559,300,10,0.001931570703163743,True,,1.0
2043,4ih7:pose43,0,34,1,4ih7,43,2,0.5830078125,-83.69334500636346,-19382.168219458745,-19382.483130279797,-19382.48895821842,7.26201605126674,0.13439545732863487,-76.29693349776808,139,123,5,0.001916930777952075,True,,10.0
3031,4ih5:pose31,0,27,1,4ih5,31,3,0.5830078125,-73.66660439718261,-20522.054317566446,-20522.849769369586,-20523.15726944616,18.343554353265965,7.091120223772118,-48.23192982014453,208,159,3,0.0019272139761596918,True,,18.0
4015,4eo8:pose15,0,57,1,4eo8,15,4,0.5830078125,-75.20918390938941,-42244.063829298655,-42245.08095906013,-42245.2117909753,23.45556951438178,3.0170556375992263,-48.7365587574084,613,192,11,0.001843973994255066,True,,17.0
5042,3cj4:pose42,-1,47,1,3cj4,42,5,0.5830078125,-128.67376850917185,-100264.27155765648,-100266.72722296939,-100266.90292327454,56.62898740437957,4.051745290677496,-67.99303581411478,160,162,9,0.0017529793549329042,True,,12.0
6013,4owm:pose13,-1,16,0,4owm,13,6,0.3544921875,-226.4364494480305,-15653.986309333728,-15656.564042646813,-15656.596891614538,59.443942360965934,0.7575151914072276,-166.23499189565732,83,66,2,0.001979995518922806,True,,3.0
7009,3zso:pose9,0,78,0,3zso,9,7,0.35107421875,-217.24803840355185,-54192.93200945664,-54194.81047052075,-54195.21148706784,43.31834121683427,9.247661265037848,-164.68203592167976,406,119,16,0.0017191297374665737,True,,4.0
8004,3zsx:pose4,0,60,0,3zsx,4,8,0.35107421875,-153.57661900342006,-41665.794662550165,-41666.884349299486,-41667.17999541672,25.128773403111367,6.817761427461587,-121.63008417284712,860,126,11,0.001563718542456627,True,,6.0
9094,3zt2:pose94,-1,34,0,3zt2,94,9,0.35107421875,-88.08466509451914,-29101.249660451445,-29103.9755792861,-29104.027892616843,62.861181668930556,1.2063740657859088,-24.017109359802674,217,81,2,0.0019671584013849497,True,,19.0
10027,4cig:pose27,0,67,0,4cig,27,10,0.35107421875,-98.292889234578,-44844.40072519147,-44845.93232667812,-44846.30818859567,35.31956934028322,8.667581727361368,-54.30573816693341,461,289,14,0.0019298818660899997,True,,14.0
11012,3r88:pose12,-1,24,0,3r88,12,11,0.315185546875,-126.84372445656189,-19187.944387130712,-19190.923902226623,-19191.179366938726,68.70925038130135,5.891156212492905,-52.24331786276764,294,114,6,0.0014987706672400236,True,,15.0
12047,4gkm:pose47,-2,31,0,4gkm,47,12,0.313720703125,-278.4995991271576,-25431.271024229107,-25438.949697772943,-25439.008060755634,177.0744185333466,1.3458823538740838,-100.07929823993689,326,82,5,0.0017105297883972526,True,,8.0
13059,3qqs:pose59,-2,28,0,3qqs,59,13,0.30419921875,-336.58878771224533,-24360.391031809446,-24368.38219587747,-24368.482280057076,184.28062121303014,2.3079960108668676,-150.00017048834832,275,94,4,0.0019891727715730667,True,,5.0
14026,3twp:pose26,-1,15,0,3twp,26,14,0.30419921875,-242.0047132278006,-13492.102333149896,-13495.121925701269,-13495.14635707714,69.63345845990929,0.5634009118257054,-171.8078538560656,148,34,2,0.0016506676329299808,True,,2.0
15079,3gc5:pose79,1,36,0,3gc5,79,15,0.252685546875,-166.96743882997112,-25195.254205656714,-25198.206916591796,-25198.272446668525,68.09113174845011,1.511159468740885,-97.36514761278012,359,83,6,0.0016380824381485581,True,,9.0
16096,3ge7:pose96,1,53,0,3ge7,96,16,0.252685546875,-187.84877369786744,-31599.383120965722,-31602.89739364944,-31603.093457463023,81.04105331272702,4.521338950971449,-102.28638143416897,545,212,8,0.0015661310171708465,True,,7.0
17058,3rr4:pose58,0,30,0,3rr4,58,17,0.252685546875,-96.8104681226759,-22606.352691226613,-22607.399063939454,-22607.40331093,24.12992799312031,0.09793792861421324,-72.58260220094138,113,94,4,0.001825258950702846,True,,11.0
18036,1s38:pose36,0,22,0,1s38,36,18,0.252685546875,-62.68769305063413,-16009.046510226282,-16009.587655450028,-16009.588107600497,12.479105315502043,0.010426837513448516,-50.198160897618635,49,24,2,0.0012885982869192958,True,,16.0
19048,1r5y:pose48,0,21,0,1r5y,48,19,0.252685546875,-79.57980691076993,-16445.868494298713,-16446.599288668098,-16446.63061240427,16.85251850954907,0.7223425162595212,-62.00494588496134,98,65,2,0.001396198058500886,True,,13.0
20013,1a30:pose13,-2,49,0,1a30,13,20,0.24365234375,-175.8784396003966,-36803.431556925185,-36812.894969260065,-36813.15066180389,218.23147278938296,5.896410136825585,48.249443325811946,527,121,17,0.0019206601427868009,True,,20.0
