mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,3gnw,1,1,1,0.72021484375,0,-885254.9124012305,-821191.9559711263,-64074.25937819998,260.6521751895141,
1002,3gnw,2,1,1,0.72021484375,0,-885257.726733641,-821191.9559711263,-64074.24693438919,195.4651669329446,
1003,3gnw,3,1,1,0.72021484375,0,-885253.0030730679,-821191.9559711263,-64074.17029637613,302.628052949271,
1004,3gnw,4,1,1,0.72021484375,0,-885258.2917824852,-821191.9559711263,-64073.94756377251,175.5311806094655,
1005,3gnw,5,1,1,0.72021484375,0,-885241.411048369,-821191.9559711263,-64073.58315903466,556.4067842247822,
1006,3gnw,6,1,1,0.72021484375,0,-885241.8887830835,-821191.9559711263,-64073.766482090075,549.6174900783253,
1007,3gnw,7,1,1,0.72021484375,0,-885272.8778956247,-821191.9559711263,-64074.057706897576,-158.29261830352274,
1008,3gnw,8,1,1,0.72021484375,0,-885267.1297378857,-821191.9559711263,-64073.80689836056,-31.52073408818223,
1009,3gnw,9,1,1,0.72021484375,0,-885241.4873674973,-821191.9559711263,-64073.468679463076,552.0068616807375,
1010,3gnw,10,1,1,0.72021484375,0,-885254.8072638523,-821191.9559711263,-64074.09329617532,259.2467582550016,
1011,3gnw,11,1,1,0.72021484375,0,-885245.6394878488,-821191.9559711263,-64074.200438981374,473.13146708734797,
1012,3gnw,12,1,1,0.72021484375,0,-885256.0287741292,-821191.9559711263,-64073.67081746967,221.33547168992524,
1013,3gnw,13,1,1,0.72021484375,0,-885254.2147675022,-821191.9559711263,-64074.04524603995,271.80198623261265,
1014,3gnw,14,1,1,0.72021484375,0,-885236.9020540132,-821191.9559711263,-64074.02114210041,670.4867936715214,
1015,3gnw,15,1,1,0.72021484375,0,-885227.9271846726,-821191.9559711263,-64073.6916341535,869.8535636050414,
1016,3gnw,16,1,1,0.72021484375,0,-885221.0223606395,-821191.9559711263,-64074.04206786076,1037.1637817484534,
1017,3gnw,17,1,1,0.72021484375,0,-885232.5023980602,-821191.9559711263,-64074.01641801508,771.8363302193601,
1018,3gnw,18,1,1,0.72021484375,0,-885243.9208689495,-821191.9559711263,-64073.96618518742,507.3617395984374,
1019,3gnw,19,1,1,0.72021484375,0,-885221.27141595,-821191.9559711263,-64067.81464028867,887.812538460216,
1020,3gnw,20,1,1,0.72021484375,0,-885245.5997289735,-821191.9559711263,-64067.42838517339,317.88105778435767,
1021,3gnw,21,1,1,0.72021484375,0,-885209.0714721843,-821191.9559711263,-64072.01009509485,1265.8994114305417,
1022,3gnw,22,1,1,0.72021484375,0,-885249.2354020786,-821191.9559711263,-64073.576152359565,375.8113234951379,
1023,3gnw,23,1,1,0.72021484375,0,-885220.6658107948,-821191.9559711263,-64072.459581976254,1008.8930250658223,
1024,3gnw,24,1,1,0.72021484375,0,-885224.4898508061,-821191.9559711263,-64059.266710465265,616.4737229773394,
1025,3gnw,25,1,1,0.72021484375,0,-885242.7598474785,-821191.9559711263,-64073.04496989163,512.8918013724513,
1026,3gnw,26,1,1,0.72021484375,0,-885227.1016911876,-821191.9559711263,-64073.4352172664,882.9767817093979,
1027,3gnw,27,1,1,0.72021484375,0,-885247.1806930912,-821191.9559711263,-64071.21976537021,368.8544635006391,
1028,3gnw,28,1,1,0.72021484375,0,-885257.1496826281,-821191.9559711263,-64074.03996411474,203.99943150287422,
1029,3gnw,29,1,1,0.72021484375,0,-885256.805221857,-821191.9559711263,-64056.09396744292,-201.9016290287426,
1030,3gnw,30,1,1,0.72021484375,0,-885238.9197892409,-821191.9559711263,-64068.447175269444,495.4179852315572,
1031,3gnw,31,1,1,0.72021484375,0,-885261.3942721498,-821191.9559711263,-64068.638629381974,-18.44086613692982,
1032,3gnw,32,1,1,0.72021484375,0,-885242.933185162,-821191.9559711263,-64068.40437311442,401.8798354867394,
1033,3gnw,33,1,1,0.72021484375,0,-885229.6628074958,-821191.9559711263,-64072.96989334138,813.185411954603,
1034,3gnw,34,1,1,0.72021484375,0,-885237.237956987,-821191.9559711263,-64066.96629733356,500.0521018946396,
1035,3gnw,35,1,1,0.72021484375,0,-885224.0435667795,-821191.9559711263,-64061.551381563266,679.4510442516163,
