mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
13059,3qqs,59,0,13,0.30419921875,-2,-845542.6031829314,-821191.9559711263,-24336.051340528127,-336.58878771224533,,1
12047,4gkm,47,0,12,0.313720703125,-2,-846634.7602931994,-821191.9559711263,-25430.72743642527,-278.4995991271576,,2
14026,3twp,26,0,14,0.30419921875,-1,-834694.3071210847,-821191.9559711263,-13491.856832346908,-242.0047132278006,,3
6013,4owm,13,0,6,0.3544921875,-1,-836854.7794425875,-821191.9559711263,-15653.004257663182,-226.43644944803052,,4
7009,3zso,9,0,7,0.35107421875,0,-875392.208358759,-821191.9559711263,-54190.83162104896,-217.24803840355182,,5
1029,3gnw,29,1,1,0.72021484375,0,-885256.805221857,-821191.9559711263,-64056.09396744292,-201.9016290287426,,6
16096,3ge7,96,0,16,0.252685546875,1,-852798.011942991,-821191.9559711263,-31597.9100780604,-187.84877369786744,,7
20013,1a30,13,0,20,0.24365234375,-2,-858001.6201226219,-821191.9559711263,-36802.03734050684,-175.8784396003966,,8
15079,3gc5,79,0,15,0.252685546875,1,-846393.3263308054,-821191.9559711263,-25194.129966256693,-166.96743882997112,,9
8004,3zsx,4,0,8,0.35107421875,0,-862862.4961286008,-821191.9559711263,-41663.88044495889,-153.57661900342006,,10
5042,3cj4,42,1,5,0.5830078125,-1,-921452.8637994018,-821191.9559711263,-100255.32800556465,-128.67376850917185,,11
11012,3r88,12,0,11,0.315185546875,-1,-840384.8582477749,-821191.9559711263,-19187.401812158805,-126.84372445656187,,12
10027,4cig,27,0,10,0.35107421875,0,-866027.3467186111,-821191.9559711263,-44831.128364389755,-98.29288923457801,,13
17058,3rr4,58,0,17,0.252685546875,0,-843801.4772470332,-821191.9559711263,-22605.323176675454,-96.8104681226759,,14
9094,3zt2,94,0,9,0.35107421875,-1,-850296.1034957309,-821191.9559711263,-29100.32781200531,-88.08466509451914,,15
2043,4ih7,43,1,2,0.5830078125,0,-840576.0912219371,-821191.9559711263,-19380.505963873566,-83.69334500636346,,16
19048,1r5y,48,0,19,0.252685546875,0,-837640.3541740398,-821191.9559711263,-16444.947295871043,-79.57980691076993,,17
4015,4eo8,15,1,4,0.5830078125,0,-863437.9488114188,-821191.9559711263,-42242.73146140153,-75.20918390938941,,18
3031,4ih5,31,1,3,0.5830078125,0,-841715.6338615114,-821191.9559711263,-20520.483404072816,-73.66660439718261,,19
18036,1s38,36,0,18,0.252685546875,0,-837202.8278669885,-821191.9559711263,-16008.153500206035,-62.68769305063413,,20
