mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1094,3myg:pose94,1,57,1,3myg,94,1,0.68798828125,-61.17601365733804,-46001.82841917551,-46004.12572696681,-46004.25468630449,52.977176203037445,2.973872974744141,-5.224964479556453,350,137,13,0.00188288907520473,True,,20.0
2050,3up2:pose50,-1,40,1,3up2,50,2,0.68798828125,-98.91853646207372,-39142.048193926166,-39144.99374418076,-39145.045167259246,67.92600253362696,1.185844360952876,-29.806689567493883,192,237,7,0.001824534498155117,True,,17.0
3100,3uo4:pose100,-1,46,1,3uo4,100,3,0.68798828125,-86.23415262517688,-34208.05654837175,-34210.90742108443,-34211.21122616669,65.7426865496595,7.005911630761121,-13.485554444756259,690,285,6,0.0018766607390716672,True,,19.0
4092,2wtv:pose92,-1,48,1,2wtv,92,4,0.68798828125,-120.49663451512345,-54195.57034728187,-54198.457426533634,-54198.47454082927,66.57762917606308,0.3946650331647127,-53.52434030589565,115,175,4,0.0018626771634444594,True,,14.0
5082,3e5a:pose82,1,62,1,3e5a,82,5,0.68798828125,-100.48544251027754,-49147.1317913784,-49150.43506304873,-49150.83578852831,76.17525435119707,9.240949088795531,-15.069239070284937,517,170,10,0.00178282440174371,True,,18.0
6080,4m0y:pose80,0,35,0,4m0y,80,6,0.4697265625,-71.0332396902824,-27331.012673088764,-27331.682768927654,-27331.69374122275,15.452777143824374,0.25302713584273934,-55.32743541061528,186,67,6,0.001997563987970352,True,,13.0
7025,3qgy:pose25,0,46,0,3qgy,25,7,0.4697265625,-89.73940406342574,-54826.446501919774,-54826.91706216582,-54827.01201877984,10.851377061116684,2.189751539416091,-76.69827546289297,277,138,5,0.0018792126793414354,True,,7.0
8004,4rfm:pose4,0,63,0,4rfm,4,8,0.4697265625,-95.73859975702712,-56256.514404671645,-56257.591233956875,-56257.631815994675,24.832273237455507,0.9358440237520385,-69.97048249581957,184,251,7,0.0018363703275099397,True,,9.0
9054,4m0z:pose54,0,39,0,4m0z,54,9,0.4697265625,-95.15044204533416,-30449.35570302782,-30450.1246261751,-30450.13406930754,17.73178901591052,0.217763807294917,-77.20088922212872,155,85,8,0.001965962816029787,True,,6.0
10006,4qd6:pose6,0,62,0,4qd6,6,10,0.4697265625,-141.17164477601844,-51858.34406705019,-51859.049989074185,-51859.31653060112,16.27894859907292,6.146593630768492,-118.74610254617703,422,265,8,0.0019722464494407177,True,,2.0
11079,4e6q:pose79,1,47,0,4e6q,79,11,0.32666015625,-154.00017872470863,-28562.702424751013,-28565.46095409651,-28565.532895526347,63.613197914015,1.6590087837464076,-88.72797202694724,264,160,3,0.0013651979388669133,True,,5.0
12092,4jia:pose92,1,59,0,4jia,92,12,0.32666015625,-187.27801937562916,-36348.69536774145,-36351.35384987697,-36351.57039624486,61.30605444302583,4.993677874280153,-120.97828705832318,626,300,7,0.0018776013748720288,True,,1.0
13096,4f09:pose96,1,37,0,4f09,96,13,0.32666015625,-170.9177372732641,-22270.93887822739,-22274.163870217355,-22274.211918117944,74.37008203797245,1.1080109096970097,-95.43964432559463,339,123,2,0.0010676711099222302,True,,4.0
14077,4gfm:pose77,0,26,0,4gfm,77,14,0.32666015625,-115.77307552212496,-44710.25176835363,-44710.844570573216,-44710.98992088805,13.670343938897211,3.351857887490311,-98.75087369573744,193,72,3,0.0017995836678892374,True,,3.0
15014,4hge:pose14,0,38,0,4hge,14,15,0.32666015625,-59.68548566036575,-41371.045285066095,-41371.64515477714,-41371.70230865578,13.83332416376399,1.3179997520583995,-44.53416174454336,295,129,5,0.0016134785255417228,True,,15.0
16089,3pyy:pose89,0,38,0,3pyy,89,16,0.26513671875,-47.45697698264008,-31671.03386542252,-31671.58271428431,-31671.59236503072,12.65675542913675,0.22255149913628408,-34.57767005436704,147,85,3,0.0018961963942274451,True,,16.0
17052,4ih7:pose52,0,34,0,4ih7,52,17,0.25537109375,-74.5568115280556,-19382.12005714743,-19382.368053155245,-19382.488600882967,5.718923800049309,2.779896640999026,-66.05799108700727,521,172,5,0.0019184242701157928,True,,11.0
18079,4ih5:pose79,0,27,0,4ih5,79,18,0.25537109375,-79.80353646421067,-20522.4536052671,-20523.171467810138,-20523.2087614472,16.554303509555833,0.8600117012517225,-62.38922125340311,153,107,3,0.0016542512457817793,True,,12.0
19067,4eo8:pose67,0,57,0,4eo8,67,19,0.25537109375,-104.7712314628665,-42243.94209026877,-42245.02267818085,-42245.22525010876,24.91894923174836,4.671419632582441,-75.1808625985357,553,159,11,0.0017118979012593627,True,,8.0
20091,3cj4:pose91,-1,47,0,3cj4,91,20,0.25537109375,-144.55654241230437,-100263.41633867974,-100266.45763539377,-100266.65943582512,70.13396834097381,4.653628499228135,-69.76894557210242,566,150,9,0.0019363057799637318,True,,10.0
