mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1007,4k77:pose7,0,34,1,4k77,7,1,0.95263671875,-112.12329051909848,-21761.66925427872,-21762.55955075987,-21762.965751444863,20.530724586981265,9.367210325103315,-82.2253556070139,275,132,2,0.001960535068064928,True,,9.0
2057,4e5w:pose57,1,57,1,4e5w,57,2,0.95263671875,-105.05242681498396,-33251.99978090053,-33255.1434731981,-33255.24594312057,72.49526659286018,2.3630125483807034,-30.194147673743082,279,300,6,0.001961406087502837,True,,18.0
3031,4ivb:pose31,0,42,1,4ivb,31,3,0.95263671875,-87.83031783209393,-27446.823717078023,-27449.0048322768,-27449.075001845875,50.2977113655233,1.6181487038661462,-35.91445776270448,1000,180,4,0.09014348685741425,False,,17.0
4060,4ivd:pose60,0,48,1,4ivd,60,4,0.95263671875,-107.26953002366348,-29595.938508161722,-29596.704102667372,-29596.994405030273,17.655028716409458,6.694531525009789,-82.91996978224422,459,187,6,0.0014971401542425156,True,,8.0
5037,4ivc:pose37,0,45,1,4ivc,37,5,0.95263671875,-112.2081826709633,-28525.300641521448,-28526.063916950166,-28526.609900419517,17.601549531905437,12.59067790967704,-82.01595522938082,604,113,5,0.0013156691566109657,True,,10.0
6079,4e6q:pose79,1,47,1,4e6q,79,6,0.66650390625,-121.43742030291013,-28562.753240035265,-28565.530188599674,-28565.533085419145,64.03795519273162,0.06680224396908128,-57.33266286620943,75,155,3,0.001535548479296267,True,,14.0
7051,4jia:pose51,1,59,0,4jia,51,7,0.66650390625,-162.4541211152276,-36348.77873637067,-36351.297707085454,-36351.33077802618,58.08884465228403,0.7626340104631433,-103.60264245248042,116,162,7,0.0019328146008774638,True,,6.0
8085,4f09:pose85,1,37,1,4f09,85,8,0.66650390625,-124.14455383104328,-22271.08094858042,-22274.23798263904,-22274.239771913213,72.80293491166728,0.04126164268016922,-51.300357276695834,62,105,2,0.0018879720009863377,True,,15.0
9028,4gfm:pose28,0,26,0,4gfm,28,9,0.66650390625,-131.50908488700068,-44710.163695606636,-44710.7575210029,-44710.9761516709,13.693938953646036,5.0417429765192345,-112.77340295683541,227,161,3,0.0019960564095526934,True,,5.0
10073,4hge:pose73,0,38,0,4hge,73,10,0.66650390625,-184.5435800629311,-41371.3942579827,-41371.791247735884,-41371.79496062465,9.154801191612824,0.08562124891821322,-175.30315762240008,112,140,5,0.0019220530521124601,True,,1.0
11098,1y6r:pose98,1,38,0,1y6r,98,11,0.265380859375,-139.45156167939615,-35129.29319729378,-35132.17504653421,-35132.59022536329,66.45702224960641,9.57425124617826,-63.420288183611476,748,115,7,0.0017464696429669857,True,,13.0
12047,1nc1:pose47,0,36,0,1nc1,47,12,0.265380859375,-160.09039726450405,-35659.942116090024,-35660.67261385061,-35660.81270366385,16.845678548224083,3.2305478386703586,-140.01417087760962,223,139,7,0.0016497713513672352,True,,2.0
13054,4f2w:pose54,1,40,0,4f2w,54,13,0.258544921875,-135.83472172787503,-34144.31177781536,-34148.44568496098,-34148.98133091458,95.3301634588346,12.352289133388537,-28.152269135651892,431,166,7,0.0019858311861753464,True,,19.0
14096,4f3c:pose96,1,49,0,4f3c,96,14,0.257080078125,-111.2176488899136,-37363.15625035532,-37365.645096501976,-37365.854290938325,57.394155607975485,4.824138305330282,-48.99935497660784,543,154,10,0.0019729204941540956,True,,16.0
15059,1nc3:pose59,0,32,0,1nc3,59,15,0.207275390625,-96.0819441823547,-26236.707635338433,-26237.986664637967,-26238.00956450919,29.495116338670584,0.5280835756475224,-66.05874426803659,133,170,6,0.0017756426241248846,True,,12.0
16024,3pyy:pose24,0,38,0,3pyy,24,16,0.17333984375,-101.01537024806792,-31670.660542816433,-31671.313443946834,-31671.662319348517,15.0562577462776,8.04525788744812,-77.91385461434221,873,79,3,0.0019177749054506421,True,,11.0
17032,1o3f:pose32,0,43,0,1o3f,32,17,0.16650390625,-147.87705775681945,-28606.381356236416,-28607.52362432365,-28607.709839464056,26.341327861065416,4.294223152110918,-117.24150674364311,300,125,6,0.0019337853882461786,True,,4.0
18043,1uto:pose43,1,21,0,1uto,43,18,0.16650390625,-80.60920477825067,-9982.352598952833,-9985.03784810008,-9985.047229706388,61.923316397225356,0.21634498097557778,-18.469543400049737,133,69,3,0.001965518109500408,True,,20.0
19045,3gy4:pose45,0,20,0,3gy4,45,19,0.16650390625,-156.52921007264266,-11898.566161721543,-11899.606587923145,-11899.831150849706,23.992798186267642,5.178544108959925,-127.3578677774151,94,117,4,0.0018474658718332648,True,,3.0
20078,1k1i:pose78,-1,64,0,1k1i,78,20,0.16650390625,-198.34509352452392,-54481.115690637176,-54485.658820828736,-54485.763210914374,104.7670710831897,2.4072925629077178,-91.1707298784265,214,173,11,0.001716855214908719,True,,7.0
