mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1089,4j28:pose89,1,33,1,4j28,89,1,0.72509765625,-108.57177541255844,-21277.493801428896,-21280.38659817933,-21280.399512623215,66.70947782766741,0.2978141508777545,-41.56448343401327,108,41,4,0.0019384098704904318,True,,13.0
2095,4jfs:pose95,1,37,1,4jfs,95,2,0.72509765625,-111.3416841276436,-21446.48743658536,-21448.659873124245,-21448.88914300226,50.09757671391036,5.287088988079269,-55.95701842565398,288,150,7,0.0009791022166609764,True,,10.0
3093,4pcs:pose93,1,32,1,4pcs,93,3,0.72509765625,-83.48625625383465,-19331.32309399052,-19333.784946324795,-19333.789746156057,56.77166350649378,0.11068673839768275,-26.60390600894319,116,139,3,0.0010036174207925797,True,,18.0
4085,2wvt:pose85,1,29,1,2wvt,85,4,0.72509765625,-106.26164670483092,-19251.317946903953,-19254.171916224965,-19254.413683411465,65.81409603430241,5.575283768169205,-34.87226690235931,130,81,7,0.0019451777916401625,True,,14.0
5100,2xii:pose100,1,51,1,2xii,100,5,0.72509765625,-110.03582852385468,-35385.89794368933,-35389.00434891855,-35389.162736929415,71.635406369722,3.652514300382934,-34.74790785374974,406,159,8,0.0019384000916033983,True,,15.0
6089,1ps3:pose89,0,28,0,1ps3,89,6,0.61767578125,-96.08548558211366,-23770.043353734545,-23771.028379682997,-23771.132675775872,22.715237998677,2.4051250382975797,-70.96512254513908,117,130,5,0.0019634226337075233,True,,8.0
7040,3dx1:pose40,1,21,0,3dx1,40,7,0.61767578125,-123.91771229258288,-13013.500344462398,-13016.821567369972,-13017.059798220176,76.58921971626553,5.49373391585291,-41.83475866046444,324,41,4,0.0017992635257542133,True,,12.0
8084,3dx2:pose84,1,26,0,3dx2,84,8,0.61767578125,-158.77949748896424,-26969.260982640215,-26972.084688849143,-26972.23617514731,65.1162120906079,3.4933570245769663,-90.16992837377937,336,65,6,0.0019213128834962845,True,,2.0
9010,3d4z:pose10,0,26,0,3d4z,10,9,0.61767578125,-61.4622118602458,-19672.52703076665,-19673.27506372838,-19673.328632860586,17.25004989281536,1.2353335355154695,-42.976828431914974,131,118,5,0.0018265161197632551,True,,11.0
10084,3ejr:pose84,1,55,0,3ejr,84,10,0.61767578125,-127.93934303861477,-30923.1756117908,-30925.375985449915,-30925.508717464192,50.74182201123533,3.060872963895632,-74.1366480634838,293,101,10,0.001983361318707466,True,,5.0
11035,2wbg:pose35,0,50,0,2wbg,35,11,0.483642578125,-112.61076216361914,-29237.103869716953,-29238.769243748662,-29238.97138209539,38.404437514091114,4.661421013147353,-69.54490363638068,1000,201,12,0.7811916470527649,False,,9.0
12067,2cet:pose67,0,42,0,2cet,67,12,0.483642578125,-93.09826939401675,-28105.302751825428,-28106.116138865,-28106.170007659006,18.75715073086175,1.2422439007559127,-73.09887476239909,184,173,8,0.001963801681995392,True,,6.0
13094,2j7h:pose94,2,24,0,2j7h,94,13,0.483642578125,-252.30527039318224,-14523.71057687926,-14534.056047932037,-14534.221762351917,238.57223004284145,3.821465305861525,-9.911575044479262,97,65,4,0.0017539940308779478,True,,19.0
14084,2cbv:pose84,1,26,0,2cbv,84,14,0.483642578125,-96.07987034059116,-17170.83111688726,-17173.578279820653,-17173.596816979483,63.3510822239955,0.4274770378531569,-32.3013110787425,66,62,4,0.0018725510453805327,True,,16.0
15089,2j78:pose89,0,25,0,2j78,89,15,0.483642578125,-93.77552043731544,-19643.861278797172,-19644.733951201484,-19644.7946180469,20.12430372009223,1.399010690461417,-72.25220602676178,103,111,6,0.0019197867950424552,True,,7.0
16096,4f3c:pose96,1,49,0,4f3c,96,16,0.318603515625,-137.97554821231955,-37363.22650697597,-37365.441366932224,-37365.714437850474,51.07588395938696,6.2971649714689235,-80.60249928146368,487,208,10,0.0018995034042745829,True,,3.0
17020,4f2w:pose20,1,40,0,4f2w,20,17,0.301025390625,-123.24824650039268,-34146.09220920517,-34149.6382141714,-34150.14723060858,81.77281713133159,11.738197896149718,-29.737231472911372,440,160,7,0.001724187284708023,True,,17.0
18064,3n76:pose64,-1,39,0,3n76,64,18,0.28076171875,-136.99848364318714,-29168.01795173138,-29170.374828821336,-29170.519060700884,54.350876863789345,3.326066157037424,-79.32154062236037,119,108,8,0.0019634279888123274,True,,4.0
19060,3n86:pose60,-1,41,0,3n86,60,19,0.26708984375,-83.24817123411995,-30680.673601645813,-30683.730414055328,-30683.94667247949,70.49176877885637,4.987037734190758,-7.769364721072825,274,179,9,0.0016430652467533946,True,,20.0
20047,4ciw:pose47,-1,28,0,4ciw,47,20,0.26708984375,-212.947153108277,-21843.21455203506,-21846.182188281673,-21846.457434552598,68.43531760888685,6.347329795865045,-138.1645057035251,189,115,7,0.0009311228059232235,True,,1.0
