mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
13094,2j7h,94,0,13,0.483642578125,2,-457592.94395855186,-443058.8352470052,-14523.16771950055,-252.30527039318224,,1
20047,4ciw,47,0,20,0.26708984375,-1,-464895.0985678482,-443058.8352470052,-21827.02905829761,-212.947153108277,,2
8084,3dx2,84,0,8,0.61767578125,1,-470033.97164762655,-443058.8352470052,-26968.251069940754,-158.77949748896424,,3
16096,4f3c,96,0,16,0.318603515625,1,-480424.0475029469,-443058.8352470052,-37359.229069886205,-137.97554821231955,,4
18064,3n76,64,0,18,0.28076171875,-1,-472220.4415624328,-443058.8352470052,-29155.665498901904,-136.99848364318714,,5
10084,3ejr,84,0,10,0.61767578125,1,-473985.96094545367,-443058.8352470052,-30921.577723440296,-127.93934303861475,,6
7040,3dx1,40,0,7,0.61767578125,1,-456077.3880413679,-443058.8352470052,-13013.179213769448,-123.91771229258288,,7
17020,4f2w,20,0,17,0.301025390625,1,-477190.7432171546,-443058.8352470052,-34126.5634203405,-123.24824650039267,,8
11035,2wbg,35,0,11,0.483642578125,0,-472298.05083783995,-443058.8352470052,-29234.332326005522,-112.61076216361914,,9
2095,4jfs,95,1,2,0.72509765625,1,-464509.3837169481,-443058.8352470052,-21445.72023754591,-111.34168412764359,,10
5100,2xii,100,1,5,0.72509765625,1,-478448.23631726054,-443058.8352470052,-35384.62946511688,-110.03582852385469,,11
1089,4j28,89,1,1,0.72509765625,1,-464340.15979121416,-443058.8352470052,-21276.61642642223,-108.57177541255844,,12
4085,2wvt,85,1,4,0.72509765625,1,-462314.1159056048,-443058.8352470052,-19250.672717474958,-106.26164670483092,,13
6089,1ps3,89,0,6,0.61767578125,0,-466831.60827226646,-443058.8352470052,-23768.60636424833,-96.08548558211366,,14
14084,2cbv,84,0,14,0.483642578125,1,-460233.41766616824,-443058.8352470052,-17170.416001650035,-96.07987034059117,,15
15089,2j78,89,0,15,0.483642578125,0,-462705.697647938,-443058.8352470052,-19642.79590948919,-93.77552043731545,,16
12067,2cet,67,0,12,0.483642578125,0,-471167.5273324707,-443058.8352470052,-28104.65496240674,-93.09826939401677,,17
3093,4pcs,93,1,3,0.72509765625,1,-462392.6439332901,-443058.8352470052,-19330.188379565923,-83.48625625383465,,18
19060,3n86,60,0,19,0.26708984375,-1,-473738.7580115376,-443058.8352470052,-30676.31278215705,-83.24817123411995,,19
9010,3d4z,10,0,9,0.61767578125,0,-462733.51744702406,-443058.8352470052,-19672.0169462568,-61.4622118602458,,20
