mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1093,3jya:pose93,0,20,1,3jya,93,1,0.72314453125,-200.25712706706656,-51359.3566289479,-51359.72488741063,-51359.72409832908,8.492241893845806,-0.01819665275286792,-191.78308182597362,44,26,0,0.0018972078105434775,True,,1.0
2048,3bgz:pose48,-1,38,1,3bgz,48,2,0.72314453125,-140.69734579214284,-27611.334493672526,-27613.73679775569,-27613.74596251385,55.39844821348257,0.21134434393252605,-85.08755323472775,162,82,3,0.0019965164829045534,True,,13.0
3087,2c3i:pose87,0,41,1,2c3i,87,3,0.72314453125,-99.64919296552888,-26983.545589753558,-26984.026980261107,-26984.170316423122,11.101128824558216,3.30541041999845,-85.24265372097221,375,79,6,0.0019830372184515,True,,12.0
4060,5dwr:pose60,1,56,1,5dwr,60,4,0.72314453125,-76.13358628625343,-41459.39335159179,-41462.35325588491,-41462.46087484755,68.25701452559984,2.4817522354440262,-5.394819525209564,404,65,7,0.0015401538694277406,True,,20.0
5027,4k18:pose27,0,43,1,4k18,27,5,0.72314453125,-150.6131818620779,-36290.40324907621,-36291.16757228033,-36291.173169310416,17.62571180655743,0.12907058007957425,-132.8583994754409,234,154,6,0.0019660238176584244,True,,3.0
6083,4eky:pose83,0,44,0,4eky,83,6,0.312255859375,-131.8729185098026,-33211.79168487608,-33212.74842591757,-33212.969634786255,22.06297254878012,5.101197696902548,-104.70874826411992,386,217,8,0.0019225074211135507,True,,8.0
7091,3g2n:pose91,0,37,0,3g2n,91,7,0.312255859375,-104.30269304904476,-27548.973333627968,-27549.83907635935,-27550.00772902533,19.96450166602305,3.889222870584143,-80.44896851243756,287,124,8,0.0018438948318362236,True,,14.0
8019,3ebp:pose19,1,49,1,3ebp,19,8,0.312255859375,-206.1995906563401,-46385.751891515,-46388.854857064835,-46388.97366537701,71.55608547873443,2.7397847655688023,-131.90372041203688,183,118,6,0.0019433611305430532,True,,4.0
9049,3l7b:pose49,0,33,0,3l7b,49,9,0.312255859375,-127.2263150482152,-28039.434403555606,-28040.344611261877,-28040.351374126523,20.989888346254396,0.1559553636546714,-106.08047133830613,90,62,6,0.001960918540135026,True,,7.0
10078,3syr:pose78,0,33,0,3syr,78,10,0.312255859375,-71.20695273875569,-30628.45913994353,-30629.560466155264,-30629.563359376698,25.397185782805792,0.06671927125465127,-45.74304768469525,77,59,6,0.0018955819541588426,True,,17.0
11051,2xj7:pose51,1,35,0,2xj7,51,11,0.295166015625,-129.6760241230535,-21856.422975874917,-21859.678555132337,-21860.104047969424,75.07544118211243,9.812097921218886,-44.788485019722195,542,154,6,0.0017179201822727919,True,,18.0
12097,2wca:pose97,0,50,0,2wca,97,12,0.295166015625,-136.16980462378356,-36827.04231633809,-36828.30227628307,-36828.62135052213,29.055366575927405,7.358026751314319,-99.75641129654184,533,180,13,0.001881972304545343,True,,9.0
13098,2w66:pose98,1,35,0,2w66,98,13,0.295166015625,-99.0834876583974,-22867.209114495432,-22870.40780365883,-22870.585801471378,73.76352444779737,4.104727070025094,-21.215236140574945,132,165,8,0.0019178477814421058,True,,19.0
14003,2w4x:pose3,0,33,0,2w4x,3,14,0.295166015625,-106.23828134545748,-27355.914775165846,-27356.977703015913,-27357.136691827032,24.51169852697523,3.6663690833508626,-78.0602137351314,151,107,10,0.00177774706389755,True,,15.0
15075,2vvn:pose75,0,32,0,2vvn,75,15,0.295166015625,-105.07551454943902,-31612.824663156574,-31613.439698410773,-31613.531750915197,14.183049896973618,2.1227811811960384,-88.76968347126937,225,45,7,0.0017759850015863776,True,,11.0
16058,4k77:pose58,0,34,0,4k77,58,16,0.2354736328125,-113.45534129829724,-21764.681385790886,-21765.30556153109,-21765.515656739324,14.393834511728524,4.844910598436687,-94.21659618813203,395,95,2,0.001994832418859005,True,,10.0
17098,4e5w:pose98,1,57,0,4e5w,98,17,0.2354736328125,-171.94878115038335,-33255.26544297462,-33257.77948316827,-33257.97227182224,57.975144133798004,4.44581197609055,-109.52782504049479,464,157,6,0.00189160683657974,True,,6.0
18021,4ivb:pose21,0,42,0,4ivb,21,18,0.2354736328125,-82.60738473817358,-27455.05117871409,-27455.78652251264,-27455.80921511197,16.957430838438654,0.5233037722547981,-65.12665012748013,263,86,4,0.0014903504634276032,True,,16.0
19021,4ivd:pose21,0,48,0,4ivd,21,19,0.2354736328125,-129.07931488755577,-29596.312830397306,-29597.014372537633,-29597.02248379195,16.177946082197245,0.18704996811434493,-112.71431883724416,231,102,6,0.001563364639878273,True,,5.0
20027,4ivc:pose27,0,45,0,4ivc,27,20,0.2354736328125,-155.0408060602035,-28525.890607013935,-28526.60627433827,-28526.612589171946,16.50368056368725,0.1456235239809582,-138.39150197253528,161,126,5,0.0018783716950565577,True,,2.0
