array_index,target,pocket,pocket_atoms,unsupported_atomic_numbers,n_actives,actives,ef1,actives_top20,active_ranks
0,3ebp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ebp/3ebp_pocket.pdb,322,,5,"3ebp,3syr,3g2n,4eky,3l7b",0.0,5,"3ebp:8,3syr:10,3g2n:7,4eky:6,3l7b:9"
1,2vvn,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2vvn/2vvn_pocket.pdb,508,,5,"2vvn,2xj7,2wca,2w4x,2w66",57.0,5,"2vvn:5,2xj7:1,2wca:2,2w4x:4,2w66:3"
2,3arp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3arp/3arp_pocket.pdb,599,,5,"3arp,3arq,3ary,3arv,3aru",38.0,5,"3arp:2,3arq:6,3ary:3,3arv:5,3aru:4"
3,3gnw,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3gnw/3gnw_pocket.pdb,705,,5,"3gnw,4eo8,3cj4,4ih7,4ih5",57.0,5,"3gnw:1,4eo8:4,3cj4:5,4ih7:2,4ih5:3"
4,1e66,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1e66/1e66_pocket.pdb,554,,5,"1e66,1h22,1h23,1gpn,1gpk",57.0,5,"1e66:2,1h22:4,1h23:3,1gpn:1,1gpk:5"
5,3f3e,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3f3e/3f3e_pocket.pdb,409,,5,"3f3e,3f3d,4mme,3f3c,3f3a",57.0,5,"3f3e:2,3f3d:4,4mme:1,3f3c:3,3f3a:5"
6,2cet,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2cet/2cet_pocket.pdb,541,,5,"2cet,2j7h,2j78,2cbv,2wbg",57.0,5,"2cet:2,2j7h:3,2j78:5,2cbv:4,2wbg:1"
7,4gid,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4gid/4gid_pocket.pdb,747,,6,"4gid,2vkm,4djv,3rsx,3udh,2v00",47.5,6,"4gid:4,2vkm:3,4djv:5,3rsx:1,3udh:2,2v00:8"
8,4pcs,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4pcs/4pcs_pocket.pdb,386,,5,"4pcs,2xii,2wvt,4j28,4jfs",57.0,5,"4pcs:3,2xii:5,2wvt:4,4j28:1,4jfs:2"
9,3ge7,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ge7/3ge7_pocket.pdb,514,,5,"3ge7,3gc5,1r5y,1s38,3rr4",57.0,5,"3ge7:2,3gc5:1,1r5y:5,1s38:4,3rr4:3"
10,3e93,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3e93/3e93_pocket.pdb,631,,5,"3e93,3e92,4f9w,2zb1,4dli",57.0,5,"3e93:3,3e92:1,4f9w:4,2zb1:2,4dli:5"
11,3qqs,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3qqs/3qqs_pocket.pdb,377,,5,"3qqs,4gkm,3r88,3twp,4owm",57.0,5,"3qqs:2,4gkm:4,3r88:1,3twp:3,4owm:5"
12,2r9w,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2r9w/2r9w_pocket.pdb,439,,5,"2r9w,4jxs,4kz6,3gr2,3gv9",57.0,5,"2r9w:5,4jxs:2,4kz6:3,3gr2:4,3gv9:1"
13,2qbp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2qbp/2qbp_pocket.pdb,544,,5,"2qbp,2qbq,2qbr,1bzc,2hb1",57.0,5,"2qbp:1,2qbq:2,2qbr:5,1bzc:3,2hb1:4"
14,3ag9,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3ag9/3ag9_pocket.pdb,752,,6,"3ag9,1ydt,1q8u,1ydr,1q8t,3ebp",47.5,5,"3ag9:5,1ydt:3,1q8u:4,1ydr:2,1q8t:1,3ebp:161"
15,5dwr,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/5dwr/5dwr_pocket.pdb,509,,6,"5dwr,4k18,2c3i,3jya,3bgz,3ebp",47.5,6,"5dwr:4,4k18:5,2c3i:3,3jya:1,3bgz:2,3ebp:8"
16,3coy,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3coy/3coy_pocket.pdb,595,,5,"3coy,3coz,3ivg,4ddh,4ddk",57.0,5,"3coy:3,3coz:4,3ivg:1,4ddh:5,4ddk:2"
17,2fvd,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2fvd/2fvd_pocket.pdb,561,,7,"2fvd,1pxn,2xnb,4eor,3pxf,3ebp,2v7a",0.0,1,"2fvd:24,1pxn:23,2xnb:21,4eor:22,3pxf:25,3ebp:43,2v7a:12"
18,4ivc,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4ivc/4ivc_pocket.pdb,501,,9,"4ivc,4ivd,4ivb,4e5w,4k77,4ogj,4e6q,4f09,3e5a",31.666666666666664,7,"4ivc:5,4ivd:4,4ivb:3,4e5w:2,4k77:1,4ogj:114,4e6q:6,4f09:8,3e5a:135"
19,4jia,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4jia/4jia_pocket.pdb,415,,10,"4jia,4e6q,4hge,4gfm,4f09,4twp,4ogj,3ebp,4k77,3e5a",28.5,6,"4jia:2,4e6q:1,4hge:5,4gfm:4,4f09:3,4twp:32,4ogj:146,3ebp:78,4k77:6,3e5a:37"
20,4twp,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4twp/4twp_pocket.pdb,499,,9,"4twp,2v7a,3pyy,3k5v,3mss,4ogj,2fvd,2wtv,3e5a",31.666666666666664,5,"4twp:2,2v7a:1,3pyy:22,3k5v:3,3mss:4,4ogj:208,2fvd:20,2wtv:31,3e5a:32"
21,1nvq,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1nvq/1nvq_pocket.pdb,531,,9,"1nvq,3jvs,3jvr,2br1,2brb,4ogj,4eor,3e5a,3myg",10.555555555555555,1,"1nvq:21,3jvs:25,3jvr:24,2br1:23,2brb:22,4ogj:259,4eor:2,3e5a:30,3myg:26"
22,2p4y,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2p4y/2p4y_pocket.pdb,646,,9,"2p4y,3b1m,3fur,2yfe,3u9q,3ueu,3uev,3uex,3uew",31.666666666666664,5,"2p4y:1,3b1m:5,3fur:2,2yfe:4,3u9q:3,3ueu:92,3uev:94,3uex:95,3uew:91"
23,3myg,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3myg/3myg_pocket.pdb,427,,9,"3myg,2wtv,3e5a,3up2,3uo4,2v7a,4twp,4ogj,2brb",31.666666666666664,5,"3myg:1,2wtv:4,3e5a:5,3up2:2,3uo4:3,2v7a:36,4twp:37,4ogj:167,2brb:22"
