target,ligand_pdb,old_pose,new_pose,pose_changed,old_interaction,new_interaction
1e66,3gbb,61,61,False,-331.15969335721974,-318.0273505310693
1e66,1vso,51,51,False,-265.71967385445805,-248.4890741512096
1e66,3arv,37,37,False,-204.79361669503663,-180.1321274057512
1e66,3f3c,33,33,False,-181.29577595321135,-157.4373004287968
1e66,1h22,81,81,False,-211.06776263116035,-147.56509733402024
1e66,4mme,47,19,True,-175.1302611104514,-137.20239481427217
1e66,3f3e,58,58,False,-160.70618892191166,-122.29814515791465
1e66,3arp,37,37,False,-142.00421960254317,-122.05514419688184
1e66,4dld,30,30,False,-147.67664134432454,-120.51582604748543
1e66,3ary,87,87,False,-146.19822831308497,-109.90796868620198
1e66,1gpk,81,81,False,-97.51881657877868,-86.90617075785796
1e66,3b65,47,47,False,-102.4899414754542,-84.13514457085459
1e66,1gpn,100,100,False,-115.89954715808727,-67.99781237643894
1e66,3aru,81,81,False,-59.32373306281653,-64.55239652133707
1e66,3arq,1,8,True,-85.44103248767681,-59.92289962015976
1e66,1e66,33,33,False,-14.7048267899381,-6.315639245868332
1e66,1z95,85,85,False,-6.326729517231644,-4.402911557093943
1e66,3b68,93,93,False,32.796860681504846,32.19819481401137
1e66,3b5r,50,50,False,-11.87775129585526,44.82270937710807
1e66,1h23,86,86,False,4.987974584720958,52.77811209475377
1nvq,3ag9,66,62,True,-336.33797501450084,-301.9073163119744
1nvq,1ydt,46,46,False,-227.09663488257928,-193.1099330900696
1nvq,4qd6,68,68,False,-173.88148880698233,-179.2696410931518
1nvq,1pxn,24,24,False,-170.15038706725602,-167.80637105339093
1nvq,2xnb,28,28,False,-161.69654300042,-142.37471996303591
1nvq,1q8u,31,31,False,-191.9320215221682,-140.65036243749958
1nvq,1ydr,35,87,True,-165.9662363432369,-134.92973299099236
1nvq,4eor,68,68,False,-167.75156773931252,-134.8495698663107
1nvq,5dwr,91,91,False,-168.73933255148083,-132.79874148293507
1nvq,2fvd,52,37,True,-107.31955758012693,-123.29834796669282
1nvq,1q8t,1,1,False,-141.15587221964893,-121.26623121923942
1nvq,2c3i,21,21,False,-122.7566812043884,-119.8827316241284
1nvq,4rfm,90,90,False,-80.29461421585002,-116.1484128621413
1nvq,3jya,84,84,False,-102.3668401973585,-111.61080507054878
1nvq,4m0z,1,1,False,-107.3508680009272,-110.99056648950416
1nvq,3qgy,89,89,False,-123.06124709481044,-106.8381306741259
1nvq,3pxf,39,38,True,-98.04824498126833,-102.5041756165508
1nvq,4k18,67,67,False,-114.50987562369416,-88.91884120011056
1nvq,3bgz,71,19,True,-74.94110725265298,-81.35553728664854
1nvq,4m0y,20,46,True,-104.7705332252188,-59.881083397954136
2cet,2j7h,89,92,True,-339.6601383174231,-282.9396351589872
2cet,4pcs,90,90,False,-184.86952106004512,-139.67943508879392
2cet,2xj7,36,36,False,-151.3548262656739,-118.33629145369538
2cet,4jfs,41,90,True,-151.86468603785534,-114.88779325001792
2cet,3ejr,81,54,True,-117.6981268032754,-111.47763750689228
2cet,4j28,97,92,True,-120.14149177972573,-111.1529672755232
2cet,2xii,78,78,False,-139.28189880050974,-110.15137095235492
2cet,2cbv,40,40,False,-122.74321371833406,-99.31509012830182
2cet,2w4x,17,90,True,-124.0861698865428,-97.6389073248178
2cet,3dx2,35,35,False,-140.5216668610418,-94.9176873961496
2cet,2w66,60,60,False,-138.3520587038037,-92.2734290479699
2cet,2wvt,80,80,False,-106.92073152541408,-91.9548547763027
2cet,3dx1,91,91,False,-143.86321192636282,-88.84833814707643
2cet,1ps3,7,3,True,-84.12517863064919,-75.56232343739529
2cet,2j78,21,21,False,-95.02591745398588,-73.606866864896
2cet,2wca,32,97,True,-46.12561314219026,-63.9358048993216
2cet,3d4z,1,3,True,-53.88213717468494,-62.28180230491863
2cet,2cet,37,37,False,-87.76841685738484,-56.6032048747258
2cet,2wbg,35,35,False,-61.42732154200345,-51.53261692042176
2cet,2vvn,87,87,False,-7.68344185453674,-29.14115173568242
2fvd,4jia,82,82,False,-255.4078951403,-248.51327012314235
2fvd,4e6q,42,42,False,-191.73008798840465,-191.0211196310625
2fvd,2v7a,22,22,False,-222.95387240165888,-181.0621739397245
2fvd,4ivb,37,37,False,-172.86542371470583,-166.64237541905632
2fvd,4twp,34,34,False,-175.81388239226675,-165.18113428638392
2fvd,4f09,92,26,True,-186.02400709718248,-160.01868879550136
2fvd,4ivd,43,43,False,-215.22395910454847,-156.7945033019493
2fvd,4gfm,80,80,False,-181.739833892989,-152.85570023003316
2fvd,3mss,46,46,False,-217.58428000013996,-145.1295492234218
2fvd,4ivc,43,47,True,-166.8011402518201,-134.51076408556867
2fvd,4hge,47,1,True,-143.9322617539834,-120.81435572844936
2fvd,3pyy,18,18,False,-105.66021192483272,-115.16641688297732
2fvd,4e5w,33,39,True,-150.2163059137667,-108.76209674907534
2fvd,4k77,29,55,True,-96.38200198952228,-108.08140113723024
2fvd,2br1,98,1,True,-142.68594229889158,-107.3531905962344
2fvd,3jvs,25,33,True,-119.42445913614416,-92.37279518294164
2fvd,1nvq,50,50,False,-155.948440091093,-87.332229783539
2fvd,3k5v,64,96,True,-114.55112210089496,-86.19111810632856
2fvd,3jvr,86,86,False,-94.61011375575666,-79.81250694434587
2fvd,2brb,6,33,True,-45.673153487906255,-31.967717974360127
2p4y,2yfe,24,24,False,-191.73046187405785,-183.000563146738
2p4y,3u9q,53,53,False,-131.30337969754908,-149.73745214183435
2p4y,5a7b,91,94,True,-153.69058351819535,-119.4991558703669
2p4y,4agq,1,1,False,-164.65733245393005,-116.26649238096226
2p4y,4agn,67,67,False,-117.51716460330604,-112.5687198917091
2p4y,2zcr,27,27,False,-48.13115501667091,-106.58355319792828
2p4y,4agp,50,50,False,-133.88119501543872,-100.07637190057814
2p4y,3b5r,53,53,False,-125.49225487514552,-96.7564087833746
2p4y,5aba,55,54,True,-117.0776161296041,-96.19921376079984
2p4y,4ea2,89,17,True,-104.62394149876152,-84.47809832816468
2p4y,1z95,93,93,False,-102.95811359424845,-79.95143681893614
2p4y,2zcq,20,9,True,-80.32900186929903,-71.20349482086252
2p4y,2zy1,97,73,True,-72.66164058405673,-67.99590491089886
2p4y,3b65,5,99,True,-56.98305748450591,-60.8735288139811
2p4y,3acw,94,75,True,-65.23794316516624,-52.73976581946767
2p4y,3zso,7,7,False,-63.37170401375024,-37.19442829145362
2p4y,3fur,7,49,True,-51.66537421083841,-35.06228389320027
2p4y,2p4y,98,3,True,-65.6082229289667,-24.10062343897705
2p4y,3b68,97,93,True,-48.940358217627626,-9.532341872005883
2p4y,3b1m,5,79,True,-39.54573577703427,-4.350728768724896
2qbp,2hb1,34,72,True,-325.38609008063656,-326.37854471642265
