mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,2xnb,1,0,1,0.647,1,-414829.519694316,-372912.2055852814,-41916.274511282,-23.973693698572703,
1002,2xnb,2,0,1,0.647,1,-414829.746692064,-372912.2055852814,-41916.099902902395,-33.23495101227517,
1003,2xnb,3,0,1,0.647,1,-414826.17408465105,-372912.2055852814,-41916.30440062717,53.86716267706626,
1004,2xnb,4,0,1,0.647,1,-414827.3919503567,-372912.2055852814,-41915.896029506475,16.365250558968878,
1005,2xnb,5,0,1,0.647,1,-414811.4179817313,-372912.2055852814,-41915.72712475496,380.83868198903997,
1006,2xnb,6,0,1,0.647,1,-414820.39443041617,-372912.2055852814,-41915.743442360945,174.21315067577927,
1007,2xnb,7,0,1,0.647,1,-414828.40474005294,-372912.2055852814,-41916.41751996115,5.0356209000950685,
1008,2xnb,8,0,1,0.647,1,-414812.9348902282,-372912.2055852814,-41915.76042092279,346.62576891217975,
1009,2xnb,9,0,1,0.647,1,-414816.0364475128,-372912.2055852814,-41916.190063987524,285.0099632458734,
1010,2xnb,10,0,1,0.647,1,-414775.0150375839,-372912.2055852814,-41916.16598999937,1230.4309896357136,
1011,2xnb,11,0,1,0.647,1,-414812.5524579908,-372912.2055852814,-41915.734910164676,354.8565737567369,
1012,2xnb,12,0,1,0.647,1,-414826.7211443209,-372912.2055852814,-41915.979482208044,33.75887024887876,
1013,2xnb,13,0,1,0.647,1,-414795.5526930269,-372912.2055852814,-41916.03205201462,753.732720659746,
1014,2xnb,14,0,1,0.647,1,-414809.26144111395,-372912.2055852814,-41916.09475928981,439.04754381914194,
1015,2xnb,15,0,1,0.647,1,-414814.2631942208,-372912.2055852814,-41916.43228236273,331.48784402919455,
1016,2xnb,16,0,1,0.647,1,-414826.214143562,-372912.2055852814,-41915.99371877745,45.77888858922931,
1017,2xnb,17,0,1,0.647,1,-414776.6873332438,-372912.2055852814,-41916.32838675812,1195.611893806442,
1018,2xnb,18,0,1,0.647,1,-414825.69065159815,-372912.2055852814,-41915.86231846053,54.82073676755145,
1019,2xnb,19,0,1,0.647,1,-414816.3406283434,-372912.2055852814,-41916.05009547313,274.76763603174305,
1020,2xnb,20,0,1,0.647,1,-414806.9851080352,-372912.2055852814,-41916.084714268,491.30938795401204,
1021,2xnb,21,0,1,0.647,1,-414829.55918468774,-372912.2055852814,-41916.073853824884,-29.511634191563772,
1022,2xnb,22,0,1,0.647,1,-414809.53790404164,-372912.2055852814,-41915.881444637365,427.75300450604084,
1023,2xnb,23,0,1,0.647,1,-414832.30929009867,-372912.2055852814,-41916.37505281404,-85.98475786368058,
1024,2xnb,24,0,1,0.647,1,-414825.59103291004,-372912.2055852814,-41915.99434370235,60.16257269325388,
1025,2xnb,25,0,1,0.647,1,-414831.7583152526,-372912.2055852814,-41915.86790904835,-84.97398913827335,
1026,2xnb,26,0,1,0.647,1,-414819.7688880139,-372912.2055852814,-41915.71283907134,187.9327725396566,
1027,2xnb,27,0,1,0.647,1,-414830.439570504,-372912.2055852814,-41916.01298398217,-51.217505336512716,
1028,2xnb,28,0,1,0.647,1,-414829.63805802446,-372912.2055852814,-41916.294995312244,-26.230852699016484,
1029,2xnb,29,0,1,0.647,1,-414827.91257198394,-372912.2055852814,-41916.24967214897,12.514623695080468,
1030,2xnb,30,0,1,0.647,1,-414825.59314959,-372912.2055852814,-41915.761730913706,54.749582555083144,
1031,2xnb,31,0,1,0.647,1,-414828.62333269673,-372912.2055852814,-41915.760404203735,-15.158694571692982,
1032,2xnb,32,0,1,0.647,1,-414824.0040461445,-372912.2055852814,-41916.00457302168,96.99525061470604,
1033,2xnb,33,0,1,0.647,1,-414828.4786147052,-372912.2055852814,-41916.03311005669,-5.532672040352295,
1034,2xnb,34,0,1,0.647,1,-414829.86298059183,-372912.2055852814,-41916.27469909624,-31.885732182045988,
1035,2xnb,35,0,1,0.647,1,-414826.1039466138,-372912.2055852814,-41916.28981385067,55.14820518305723,
1036,2xnb,36,0,1,0.647,1,-414825.9490177955,-372912.2055852814,-41916.13167459205,55.07417067012554,
1037,2xnb,37,0,1,0.647,1,-414831.00522372365,-372912.2055852814,-41915.6986175819,-71.51123987345498,
1038,2xnb,38,0,1,0.647,1,-414828.904006856,-372912.2055852814,-41916.00536647875,-15.982230187260772,
1039,2xnb,39,0,1,0.647,1,-414831.09412016225,-372912.2055852814,-41915.982831005604,-67.0071231961641,
1040,2xnb,40,0,1,0.647,1,-414829.4573230323,-372912.2055852814,-41915.90919900373,-30.95967899346323,
1041,2xnb,41,0,1,0.647,1,-414827.33797209203,-372912.2055852814,-41916.309995864205,27.156309906155666,
1042,2xnb,42,0,1,0.647,1,-414828.6854186829,-372912.2055852814,-41916.23182774022,-5.71914641296096,
1043,2xnb,43,0,1,0.647,1,-414830.92789034796,-372912.2055852814,-41915.96677312687,-63.544076093404854,
1044,2xnb,44,0,1,0.647,1,-414829.5024782892,-372912.2055852814,-41916.304850135595,-22.877052103633506,
1045,2xnb,45,0,1,0.647,1,-414830.72511123354,-372912.2055852814,-41915.975573916585,-58.66492759410534,
1046,2xnb,46,0,1,0.647,1,-414827.7978949123,-372912.2055852814,-41916.21867314417,14.444285757474113,
1047,2xnb,47,0,1,0.647,1,-414827.90656306106,-372912.2055852814,-41916.30590773066,13.95001606982894,
1048,2xnb,48,0,1,0.647,1,-414823.3585652588,-372912.2055852814,-41916.302151177675,118.74270875266566,
1049,2xnb,49,0,1,0.647,1,-414830.92457352846,-372912.2055852814,-41916.38398078516,-53.84655125951955,
1050,2xnb,50,0,1,0.647,1,-414828.67577700573,-372912.2055852814,-41916.12829688627,-7.884282265546287,
1051,2xnb,51,0,1,0.647,1,-414807.71847762424,-372912.2055852814,-41915.990609769426,472.2273821783047,
1052,2xnb,52,0,1,0.647,1,-414806.23256722355,-372912.2055852814,-41916.20795605019,511.50541434875754,
1053,2xnb,53,0,1,0.647,1,-414827.2380006039,-372912.2055852814,-41915.67324689463,14.777927120581401,
1054,2xnb,54,0,1,0.647,1,-414830.9141949738,-372912.2055852814,-41916.176521156616,-58.39134879087578,
1055,2xnb,55,0,1,0.647,1,-414825.9714771385,-372912.2055852814,-41914.47519322172,16.3568780452042,
1056,2xnb,56,0,1,0.647,1,-414827.02495612437,-372912.2055852814,-41916.41206583813,36.72841911599775,
1057,2xnb,57,0,1,0.647,1,-414795.35571235686,-372912.2055852814,-41916.06905401185,759.128489149832,
1058,2xnb,58,0,1,0.647,1,-414821.51133512217,-372912.2055852814,-41916.11808270652,157.09612788929772,
1059,2xnb,59,0,1,0.647,1,-414827.19526599604,-372912.2055852814,-41916.14997202595,26.75695328257011,
1060,2xnb,60,0,1,0.647,1,-414815.26942140126,-372912.2055852814,-41916.082940731794,300.22768461589055,
1061,2xnb,61,0,1,0.647,1,-414827.3335274333,-372912.2055852814,-41916.07999274567,21.9548082557847,
1062,2xnb,62,0,1,0.647,1,-414824.7266493912,-372912.2055852814,-41916.09710228879,82.46539947184237,
1063,2xnb,63,0,1,0.647,1,-414826.6010864253,-372912.2055852814,-41915.90147063568,34.72848149714855,
1064,2xnb,64,0,1,0.647,1,-414825.30739222735,-372912.2055852814,-41916.421485696585,76.55361061189338,
1065,2xnb,65,0,1,0.647,1,-414820.66258572304,-372912.2055852814,-41915.782741819174,168.93560943190434,
1066,2xnb,66,0,1,0.647,1,-414813.0330702241,-372912.2055852814,-41915.94163299039,348.5405339732507,
1067,2xnb,67,0,1,0.647,1,-414825.7568392779,-372912.2055852814,-41915.4889534159,44.68441014249711,
1068,2xnb,68,0,1,0.647,1,-414822.6099506793,-372912.2055852814,-41914.56525886491,95.95248281470897,
1069,2xnb,69,0,1,0.647,1,-414825.21895121306,-372912.2055852814,-41916.32533398703,76.37579775488777,
1070,2xnb,70,0,1,0.647,1,-414806.2889322217,-372912.2055852814,-41914.47334745962,470.2045822424813,
1071,2xnb,71,0,1,0.647,1,-414826.5770837243,-372912.2055852814,-41916.13988268813,40.77990947007577,
1072,2xnb,72,0,1,0.647,1,-414810.4755867597,-372912.2055852814,-41916.34291878775,416.77137405426595,
1073,2xnb,73,0,1,0.647,1,-414827.1420869702,-372912.2055852814,-41916.286018912346,31.12060648206137,
1074,2xnb,74,0,1,0.647,1,-414828.24661116564,-372912.2055852814,-41916.090967212505,1.1516743897261255,
1075,2xnb,75,0,1,0.647,1,-414821.8034069116,-372912.2055852814,-41915.82632741764,143.63275562487476,
1076,2xnb,76,0,1,0.647,1,-414819.8871102509,-372912.2055852814,-41915.900689785034,189.5384433572222,
1077,2xnb,77,0,1,0.647,1,-414829.99249752105,-372912.2055852814,-41916.3869171186,-32.2846544509326,
1078,2xnb,78,0,1,0.647,1,-414827.28377287346,-372912.2055852814,-41916.33252531726,28.925715108238347,
1079,2xnb,79,0,1,0.647,1,-414832.88703416544,-372912.2055852814,-41915.75924511686,-113.50871540457803,
1080,2xnb,80,0,1,0.647,1,-414829.2635244604,-372912.2055852814,-41915.81703627542,-28.615900760086525,
1081,2xnb,81,0,1,0.647,1,-414828.24333559215,-372912.2055852814,-41915.90753332215,-3.00287509355682,
1082,2xnb,82,0,1,0.647,1,-414827.958683389,-372912.2055852814,-41915.98644783036,5.381172443284819,
1083,2xnb,83,0,1,0.647,1,-414827.96228949976,-372912.2055852814,-41915.706665043384,-1.1539307873844364,
1084,2xnb,84,0,1,0.647,1,-414827.9075351234,-372912.2055852814,-41915.745298568756,0.9996453871410419,
1085,2xnb,85,0,1,0.647,1,-414831.3004682537,-372912.2055852814,-41915.99696551698,-71.439673653914,
1086,2xnb,86,0,1,0.647,1,-414829.4885385211,-372912.2055852814,-41915.704571072616,-36.39835745871913,
1087,2xnb,87,0,1,0.647,1,-414828.6199269766,-372912.2055852814,-41915.85279274419,-12.949626443980938,
1088,2xnb,88,0,1,0.647,1,-414829.7603467279,-372912.2055852814,-41915.91117451027,-37.902015156426884,
1089,2xnb,89,0,1,0.647,1,-414829.2646124834,-372912.2055852814,-41915.997571457774,-24.477750958925668,
1090,2xnb,90,0,1,0.647,1,-414831.6640775378,-372912.2055852814,-41915.78889158804,-84.6230017308882,
1091,2xnb,91,0,1,0.647,1,-414820.71423335624,-372912.2055852814,-41915.93798533514,171.3245872415911,
1092,2xnb,92,0,1,0.647,1,-414827.5010218498,-372912.2055852814,-41915.971673582346,15.594396005311118,
1093,2xnb,93,0,1,0.647,1,-414828.5747851902,-372912.2055852814,-41915.847131167226,-12.039191186043235,
1094,2xnb,94,0,1,0.647,1,-414827.93611651915,-372912.2055852814,-41915.83516034917,2.4128046288341207,
1095,2xnb,95,0,1,0.647,1,-414829.3911830063,-372912.2055852814,-41916.05553290685,-26.059913787449474,
1096,2xnb,96,0,1,0.647,1,-414829.49598391587,-372912.2055852814,-41915.953449968845,-30.83076865017607,
1097,2xnb,97,0,1,0.647,1,-414828.4215272838,-372912.2055852814,-41915.87027237254,-7.971331032305732,
1098,2xnb,98,0,1,0.647,1,-414828.8930982824,-372912.2055852814,-41915.90431535677,-18.06096673497205,
1099,2xnb,99,0,1,0.647,1,-414827.34888360155,-372912.2055852814,-41915.6702988787,12.152921587830807,
1100,2xnb,100,0,1,0.647,1,-414824.56219588476,-372912.2055852814,-41916.14238051012,87.3019280110796,
2001,4eor,1,0,2,0.647,0,-417850.35141878,-372912.2055852814,-44962.371576163816,558.6588974642751,
2002,4eor,2,0,2,0.647,0,-417872.45684062125,-372912.2055852814,-44963.102078858676,65.7415521130758,
2003,4eor,3,0,2,0.647,0,-417865.2392130066,-372912.2055852814,-44962.96936640509,229.12357706125002,
2004,4eor,4,0,2,0.647,0,-417872.1011350023,-372912.2055852814,-44962.767208341385,66.22202097202695,
2005,4eor,5,0,2,0.647,0,-417875.2947477566,-372912.2055852814,-44963.02205875876,-1.5474484624770068,
2006,4eor,6,0,2,0.647,0,-417868.0924951452,-372912.2055852814,-44962.91080561644,161.9748839611593,
2007,4eor,7,0,2,0.647,0,-417876.2159465123,-372912.2055852814,-44962.330813977744,-38.731279764595925,
2008,4eor,8,0,2,0.647,0,-417872.3833468874,-372912.2055852814,-44962.994813118006,64.96275113396216,
2009,4eor,9,0,2,0.647,0,-417872.08741767897,-372912.2055852814,-44963.05758980279,73.23470554212383,
2010,4eor,10,0,2,0.647,0,-417874.0069544781,-372912.2055852814,-44962.882517758655,24.93187812549626,
2011,4eor,11,0,2,0.647,0,-417874.03587292315,-372912.2055852814,-44962.52504435547,16.02147042783295,
2012,4eor,12,0,2,0.647,0,-417871.5937332974,-372912.2055852814,-44962.40443364146,69.55719893658468,
2013,4eor,13,0,2,0.647,0,-417863.51969002385,-372912.2055852814,-44963.054982576396,270.75107486364595,
2014,4eor,14,0,2,0.647,0,-417876.8230299223,-372912.2055852814,-44962.790391657414,-42.13284271471863,
2015,4eor,15,0,2,0.647,0,-417836.6152403672,-372912.2055852814,-44963.082515988426,891.8173585926974,
2016,4eor,16,0,2,0.647,0,-417845.89706237806,-372912.2055852814,-44962.75291192892,670.1726079761612,
2017,4eor,17,0,2,0.647,0,-417860.6446093042,-372912.2055852814,-44963.07165012124,337.43637403103077,
2018,4eor,18,0,2,0.647,0,-417864.38116948475,-372912.2055852814,-44963.02621293432,250.22144284320294,
2019,4eor,19,0,2,0.647,0,-417827.1352832783,-372912.2055852814,-44947.66621312859,754.9219730026625,
2020,4eor,20,0,2,0.647,0,-417852.4440421631,-372912.2055852814,-44962.682099703576,517.5626987880388,
2021,4eor,21,0,2,0.647,0,-417864.1177561452,-372912.2055852814,-44963.030209336306,256.38805797861534,
2022,4eor,22,0,2,0.647,0,-417856.3131765146,-372912.2055852814,-44962.99330604442,435.51492972045327,
2023,4eor,23,0,2,0.647,0,-417870.3404042889,-372912.2055852814,-44963.054830346184,113.45815680339634,
2024,4eor,24,0,2,0.647,0,-417850.50984673365,-372912.2055852814,-44961.268755946185,529.5738236838894,
2025,4eor,25,0,2,0.647,0,-417870.1140674816,-372912.2055852814,-44963.14678094151,120.79803867566446,
2026,4eor,26,0,2,0.647,0,-417830.7736668752,-372912.2055852814,-44963.019756052556,1025.0799650076744,
2027,4eor,27,0,2,0.647,0,-417867.5483002831,-372912.2055852814,-44962.861719939785,173.39237301417455,
2028,4eor,28,0,2,0.647,0,-417873.5538291505,-372912.2055852814,-44963.14128792646,41.34857824753544,
2029,4eor,29,0,2,0.647,0,-417870.5588759948,-372912.2055852814,-44962.840239826466,103.47150463559494,
2030,4eor,30,0,2,0.647,0,-417871.71304436214,-372912.2055852814,-44962.92338705423,78.77317041908616,
2031,4eor,31,0,2,0.647,0,-417849.4426889588,-372912.2055852814,-44962.27098212006,577.2949512139616,
2032,4eor,32,0,2,0.647,0,-417874.50605567003,-372912.2055852814,-44962.89099952939,13.617925496243853,
2033,4eor,33,0,2,0.647,0,-417876.34489034285,-372912.2055852814,-44963.279679212596,-19.823443003435226,
2034,4eor,34,0,2,0.647,0,-417871.81863315584,-372912.2055852814,-44962.99153754479,77.9098226388842,
2035,4eor,35,0,2,0.647,0,-417867.44710777886,-372912.2055852814,-44963.13661975029,182.06526782667467,
2036,4eor,36,0,2,0.647,0,-417876.0066706111,-372912.2055852814,-44962.927847090985,-20.137352170788226,
2037,4eor,37,0,2,0.647,0,-417867.7736178358,-372912.2055852814,-44963.006662342574,171.53887802558143,
2038,4eor,38,0,2,0.647,0,-417873.8377491701,-372912.2055852814,-44963.06863102677,33.12571914553877,
2039,4eor,39,0,2,0.647,0,-417859.8563117851,-372912.2055852814,-44963.04659724596,355.03721364601535,
2040,4eor,40,0,2,0.647,0,-417869.7953704169,-372912.2055852814,-44963.049021426465,125.89297960718898,
2041,4eor,41,0,2,0.647,0,-417851.4811944829,-372912.2055852814,-44962.95584831002,546.0792866034069,
2042,4eor,42,0,2,0.647,0,-417865.7547127621,-372912.2055852814,-44962.874184701504,215.0409280646469,
2043,4eor,43,0,2,0.647,0,-417871.5515448023,-372912.2055852814,-44963.11708072193,86.96412083147494,
