mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
18015,2j7h,15,0,18,0.3853,2,-387445.8236977752,-372912.2055852814,-14524.008143680581,-221.6111454673431,,1
11035,4wiv,35,0,11,0.4956,0,-404584.98888003035,-372912.2055852814,-31665.689338395194,-163.5905198034813,,2
5086,3pxf,86,0,5,0.647,0,-408183.815160594,-372912.2055852814,-35266.51325635004,-117.523907195911,,3
1079,2xnb,79,0,1,0.647,1,-414832.88703416544,-372912.2055852814,-41915.75924511686,-113.50871540457803,,4
4004,2fvd,4,0,4,0.647,0,-423857.98847121804,-372912.2055852814,-50941.06589590965,-108.77637413339083,,5
19065,2cbv,65,0,19,0.3853,1,-390087.0996526332,-372912.2055852814,-17170.286879571617,-106.24427416874164,,6
15099,4ogj,99,0,15,0.4956,1,-427458.85620296723,-372912.2055852814,-54542.272430189725,-100.9634021648663,,7
6080,4eky,80,1,6,0.5522,0,-406125.90600212733,-372912.2055852814,-33209.58527113018,-94.89751460760624,,8
20088,2j78,88,0,20,0.3853,0,-392559.05662778753,-372912.2055852814,-19642.736539925132,-94.88268356785534,,9
17032,2cet,32,0,17,0.3853,0,-401019.9848851555,-372912.2055852814,-28103.959477887733,-88.08718762087891,,10
7095,3g2n,95,1,7,0.5522,0,-400464.4946155388,-372912.2055852814,-27548.67319187621,-83.38321393677631,,11
8081,3ebp,81,1,8,0.5522,1,-419299.9589436398,-372912.2055852814,-46384.14488484589,-83.21337603079111,,12
3028,1pxn,28,0,3,0.647,0,-409065.62372591323,-372912.2055852814,-36149.90279219502,-81.06586076791291,,13
2059,4eor,59,0,2,0.647,0,-417871.8720531185,-372912.2055852814,-44956.24398443468,-78.92434220001702,,14
13054,3u5j,54,0,13,0.4956,0,-409255.016195757,-372912.2055852814,-36339.98208107069,-65.2274376323049,,15
16097,2wbg,97,0,16,0.3853,0,-402160.35517681536,-372912.2055852814,-29245.802288215,-54.13010045922454,,16
9033,3l7b,33,1,9,0.5522,0,-400953.0796855836,-372912.2055852814,-28038.875751571868,-46.083016477418425,,17
14087,3p5o,87,0,14,0.4956,0,-420177.11437501403,-372912.2055852814,-47262.914570694884,-45.987783504211365,,18
12097,4lzs,97,0,12,0.4956,0,-391668.6501922074,-372912.2055852814,-18754.692466699817,-40.40531349188076,,19
10094,3syr,94,1,10,0.5522,0,-403541.3401275705,-372912.2055852814,-30627.514207601955,-37.365805553916104,,20
