mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,2xnb,1,0,1,0.64697265625,1,-655848.0961946019,-613931.3315000507,-41916.27690050445,-11.248797944859511,
1002,2xnb,2,0,1,0.64697265625,1,-655847.9461264834,-613931.3315000507,-41916.060698901005,-12.773872338260512,
1003,2xnb,3,0,1,0.64697265625,1,-655848.2300933971,-613931.3315000507,-41915.7042524262,-27.54215591531856,
1004,2xnb,4,0,1,0.64697265625,1,-655850.7396296933,-613931.3315000507,-41916.07067615226,-76.9635058464849,
1005,2xnb,5,0,1,0.64697265625,1,-655849.3897247233,-613931.3315000507,-41916.064475183106,-45.97695546401208,
1006,2xnb,6,0,1,0.64697265625,1,-655847.3630097881,-613931.3315000507,-41915.789609645195,-5.578348645780326,
1007,2xnb,7,0,1,0.64697265625,1,-655849.0493551563,-613931.3315000507,-41916.260197733216,-33.614377554803816,
1008,2xnb,8,0,1,0.64697265625,1,-655845.5266638771,-613931.3315000507,-41916.0514380379,42.80670024244605,
1009,2xnb,9,0,1,0.64697265625,1,-655850.6269957343,-613931.3315000507,-41916.35862157181,-67.72592592652938,
1010,2xnb,10,0,1,0.64697265625,1,-655846.9457589762,-613931.3315000507,-41916.047407244,9.98863751806567,
1011,2xnb,11,0,1,0.64697265625,1,-655845.8490408282,-613931.3315000507,-41916.00948906385,34.40514481931046,
1012,2xnb,12,0,1,0.64697265625,1,-655844.4955148326,-613931.3315000507,-41914.30771261886,26.374298674674066,
1013,2xnb,13,0,1,0.64697265625,1,-655842.2568070062,-613931.3315000507,-41916.28632703862,123.62806004847177,
1014,2xnb,14,0,1,0.64697265625,1,-655837.6505808756,-613931.3315000507,-41916.27339432079,229.55192249423496,
1015,2xnb,15,0,1,0.64697265625,1,-655830.2220320174,-613931.3315000507,-41916.33897149997,402.3705744267872,
1016,2xnb,16,0,1,0.64697265625,1,-655825.5151285604,-613931.3315000507,-41916.018293593675,503.5193385360382,
1017,2xnb,17,0,1,0.64697265625,1,-655849.7181527235,-613931.3315000507,-41916.23531622133,-49.61099713834068,
1018,2xnb,18,0,1,0.64697265625,1,-655846.2436901554,-613931.3315000507,-41915.70790404517,18.349599383316516,
1019,2xnb,19,0,1,0.64697265625,1,-655830.4178170784,-613931.3315000507,-41915.96867099839,389.31633123478946,
1020,2xnb,20,0,1,0.64697265625,1,-655850.868830137,-613931.3315000507,-41916.303375010044,-74.5767757163822,
1021,2xnb,21,0,1,0.64697265625,1,-655850.412573389,-613931.3315000507,-41916.37079990349,-62.50039017711466,
1022,2xnb,22,0,1,0.64697265625,1,-655844.3643194512,-613931.3315000507,-41915.83599362213,64.64273321721599,
1023,2xnb,23,0,1,0.64697265625,1,-655842.0865356846,-613931.3315000507,-41916.24394679504,126.57729836900725,
1024,2xnb,24,0,1,0.64697265625,1,-655851.4397055432,-613931.3315000507,-41915.99744028285,-94.79649773734302,
1025,2xnb,25,0,1,0.64697265625,1,-655836.9686989703,-613931.3315000507,-41915.93188831649,237.4011772395467,
1026,2xnb,26,0,1,0.64697265625,1,-655849.4947557077,-613931.3315000507,-41914.18939832289,-91.63932712427454,
1027,2xnb,27,0,1,0.64697265625,1,-655849.0093737766,-613931.3315000507,-41914.23909286099,-79.30017061397754,
1028,2xnb,28,0,1,0.64697265625,1,-655853.6227891818,-613931.3315000507,-41916.11733693317,-142.37471996303591,
1029,2xnb,29,0,1,0.64697265625,1,-655833.4847641208,-613931.3315000507,-41914.60305971346,287.09910791636634,
1030,2xnb,30,0,1,0.64697265625,1,-655849.1858848855,-613931.3315000507,-41916.33899853069,-34.94563834684052,
1031,2xnb,31,0,1,0.64697265625,1,-655845.2518513277,-613931.3315000507,-41914.528932963185,14.03422708336106,
1032,2xnb,32,0,1,0.64697265625,1,-655843.5164371952,-613931.3315000507,-41913.98853162363,41.59187675276535,
1033,2xnb,33,0,1,0.64697265625,1,-655848.4869594641,-613931.3315000507,-41916.17952383003,-22.505609200333357,
1034,2xnb,34,0,1,0.64697265625,1,-655841.9340181127,-613931.3315000507,-41915.752025072165,118.75045271221829,
