mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1035,2wbg:pose35,0,50,1,2wbg,35,1,0.81884765625,-51.53261692042176,-29245.02286104424,-29245.588743678076,-29245.80707839896,13.049563544108713,5.034918274047415,-33.44813510226563,347,229,12,0.001871803542599082,True,,13.0
2037,2cet:pose37,0,42,1,2cet,37,2,0.81884765625,-56.6032048747258,-28105.249239788627,-28105.97647399544,-28106.104150861574,16.77041921028709,2.9442984783396664,-36.888487186099034,302,196,8,0.0019460513722151518,True,,11.0
3092,2j7h:pose92,2,24,1,2j7h,92,3,0.81884765625,-282.9396351589872,-14524.218616860388,-14534.195428490177,-14534.264230128449,230.0707417858287,1.5866034701942582,-51.282289902964244,186,68,4,0.0018170179100707173,True,,5.0
4040,2cbv:pose40,1,26,1,2cbv,40,4,0.81884765625,-99.31509012830182,-17170.167597027947,-17173.396504304776,-17173.482185413046,74.46037069794838,1.9758532954491823,-22.878866134904257,86,56,4,0.0019188933074474335,True,,18.0
5021,2j78:pose21,0,25,1,2j78,21,5,0.81884765625,-73.606866864896,-19643.889631355785,-19644.73046825489,-19644.904548772436,19.390159529537925,4.014392101267508,-50.20231523409057,163,61,6,0.0015104181366041303,True,,6.0
6003,1ps3:pose3,0,28,0,1ps3,3,6,0.76416015625,-75.56232343739529,-23769.858578978114,-23770.978507416865,-23771.019084649426,25.82616332869322,0.9357332123114869,-48.80042689639058,294,61,5,0.0019759207498282194,True,,7.0
7091,3dx1:pose91,1,21,0,3dx1,91,7,0.76416015625,-88.84833814707643,-13014.30207432032,-13017.067531993756,-13017.086990432179,63.772968951839026,0.4487222499532704,-24.626646945284136,135,101,4,0.001809730427339673,True,,16.0
8035,3dx2:pose35,1,26,0,3dx2,35,8,0.76416015625,-94.9176873961496,-26967.733854510017,-26971.60965871387,-26972.161651141265,89.3781682250773,12.729247774058772,7.189728602986472,219,66,6,0.0019919704645872116,True,,20.0
9003,3d4z:pose3,0,26,0,3d4z,3,9,0.76416015625,-62.28180230491863,-19672.72317534749,-19673.25613158261,-19673.405068619842,12.290262751566088,3.434569670858283,-46.55696988249426,123,110,5,0.0019490187987685204,True,,8.0
10054,3ejr:pose54,1,55,0,3ejr,54,10,0.76416015625,-111.47763750689228,-30923.088202205086,-30925.547818109048,-30925.679995151797,56.720090198246,3.0480750164320862,-51.709472292214194,588,118,10,0.0018472096417099237,True,,4.0
11092,4j28:pose92,1,33,0,4j28,92,11,0.65283203125,-111.1529672755232,-21277.198080553633,-21280.280078849893,-21280.44237792303,71.07256912479647,3.742705538953526,-36.33769261177319,472,123,4,0.0018306486308574677,True,,12.0
12090,4jfs:pose90,1,37,0,4jfs,90,12,0.65283203125,-114.88779325001792,-21446.227906577522,-21448.583530111384,-21448.85820693829,54.321969173555125,6.3341981048334475,-54.23162597162935,295,99,7,0.001937126275151968,True,,3.0
13090,4pcs:pose90,1,32,0,4pcs,90,13,0.65283203125,-139.67943508879392,-19331.30159936352,-19333.7690770732,-19333.788408268832,56.90138774507753,0.4457879614906653,-82.33225938222573,225,96,3,0.0018840183038264513,True,,1.0
14080,2wvt:pose80,1,29,0,2wvt,80,14,0.65283203125,-91.9548547763027,-19251.4326698711,-19254.326641502474,-19254.38788888987,66.73657122572122,1.4123983065290628,-23.805885244052412,130,100,7,0.0019491608254611492,True,,17.0
15078,2xii:pose78,1,51,0,2xii,78,15,0.65283203125,-110.15137095235492,-35386.308363861244,-35389.02549891115,-35389.15908792797,62.65862278057995,3.08063591200717,-44.41211225976781,292,211,8,0.00032351157278753817,True,,10.0
16036,2xj7:pose36,1,35,0,2xj7,36,16,0.54150390625,-118.33629145369538,-21856.62638989784,-21859.612846798955,-21859.818602323674,68.86933221224838,4.744835119203055,-44.72212412224395,253,190,6,0.0019875301513820887,True,,9.0
17097,2wca:pose97,0,50,0,2wca,97,17,0.54150390625,-63.9358048993216,-36827.01666351226,-36828.37451172511,-36828.60894486019,31.312723659159783,5.406156524668935,-27.216924715492887,193,116,13,0.001961969770491123,True,,14.0
18060,2w66:pose60,1,35,0,2w66,60,18,0.54150390625,-92.2734290479699,-22867.602823231136,-22870.27297588476,-22870.4986400707,61.575182983939385,5.203939753492771,-25.49430631053774,230,108,8,0.001972548197954893,True,,15.0
19090,2w4x:pose90,0,33,0,2w4x,90,19,0.54150390625,-97.6389073248178,-27355.960292491247,-27356.754763697812,-27356.946739217623,18.32094125905339,4.427060656898262,-74.89090540886615,207,78,10,0.00185287743806839,True,,2.0
20087,2vvn:pose87,0,32,0,2vvn,87,20,0.54150390625,-29.14115173568242,-31612.70750653178,-31613.331945139445,-31613.503848203465,14.399896379345476,3.9641788300566234,-10.777076526280322,240,119,7,0.0019729959312826395,True,,19.0
