mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
3092,2j7h,92,1,3,0.81884765625,2,-623189.2102992272,-608653.2502300695,-14523.690645324477,-282.93963515898713,,1
13090,4pcs,90,0,13,0.65283203125,1,-627989.1647130509,-608653.2502300695,-19329.857409397806,-139.67943508879392,,2
16036,2xj7,36,0,16,0.54150390625,1,-630514.0067121472,-608653.2502300695,-21855.62493479946,-118.33629145369538,,3
12090,4jfs,90,0,12,0.65283203125,1,-630103.6577739507,-608653.2502300695,-21445.42553763861,-114.88779325001792,,4
10054,3ejr,54,0,10,0.76416015625,1,-639580.2713364192,-608653.2502300695,-30922.186978456175,-111.47763750689228,,5
11092,4j28,92,0,11,0.65283203125,1,-629934.3071427649,-608653.2502300695,-21276.236863835686,-111.15296727552321,,6
15078,2xii,78,0,15,0.65283203125,1,-644041.9889763445,-608653.2502300695,-35383.962130742606,-110.15137095235492,,7
4040,2cbv,40,1,4,0.81884765625,1,-625827.112821225,-608653.2502300695,-17169.555881234348,-99.31509012830182,,8
19090,2w4x,90,0,19,0.54150390625,0,-636011.9517223577,-608653.2502300695,-27354.46746853286,-97.6389073248178,,9
8035,3dx2,35,0,8,0.76416015625,1,-635622.1719487539,-608653.2502300695,-26964.805698193737,-94.9176873961496,,10
18060,2w66,60,0,18,0.54150390625,1,-631523.9836083254,-608653.2502300695,-22866.73202365987,-92.2734290479699,,11
14080,2wvt,80,0,14,0.65283203125,1,-627907.9994918797,-608653.2502300695,-19250.761721902152,-91.9548547763027,,12
7091,3dx1,91,0,7,0.76416015625,1,-621670.7866922397,-608653.2502300695,-13013.683633573068,-88.84833814707643,,13
6003,1ps3,3,0,6,0.76416015625,0,-632424.2735478422,-608653.2502300695,-23767.74662530237,-75.56232343739529,,14
5021,2j78,21,1,5,0.81884765625,0,-628299.3438774602,-608653.2502300695,-19642.90175154308,-73.606866864896,,15
17097,2wca,97,0,17,0.54150390625,0,-645482.0966223396,-608653.2502300695,-36826.07387336162,-63.9358048993216,,16
9003,3d4z,3,0,9,0.76416015625,0,-628328.0078601103,-608653.2502300695,-19672.056835473235,-62.28180230491863,,17
2037,2cet,37,1,2,0.81884765625,0,-636760.1782214366,-608653.2502300695,-28104.473444090454,-56.6032048747258,,18
1035,2wbg,35,1,1,0.81884765625,0,-637892.5144562094,-608653.2502300695,-29237.029560367882,-51.53261692042176,,19
20087,2vvn,87,0,20,0.54150390625,0,-640266.410424004,-608653.2502300695,-31611.896513992862,-29.14115173568242,,20
