mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1018,3pyy:pose18,0,38,0,3pyy,18,1,0.4541015625,-115.16641688297732,-31670.663955063137,-31671.323397666063,-31671.662604665966,15.207107686322734,7.8222992457363345,-92.13700995091826,699,132,3,0.0019289457704871893,True,,11.0
2055,4k77:pose55,0,34,0,4k77,55,2,0.354736328125,-108.08140113723024,-21764.962772851766,-21765.53553858736,-21765.538770158444,13.208291641378331,0.07452179957490002,-94.79858769627701,145,87,2,0.0018128029769286513,True,,10.0
3039,4e5w:pose39,1,57,0,4e5w,39,3,0.354736328125,-108.76209674907534,-33254.74555105691,-33257.489853751846,-33257.560031231624,63.285123558202294,1.6183311290544167,-43.85864206181863,146,244,6,0.001749713090248406,True,,18.0
4037,4ivb:pose37,0,42,0,4ivb,37,4,0.354736328125,-166.64237541905632,-27455.178673853927,-27455.954553291536,-27456.078483382444,17.89220488178872,2.857895789022576,-145.89227474824503,410,175,4,0.001461961306631565,True,,3.0
5043,4ivd:pose43,0,48,0,4ivd,43,5,0.354736328125,-156.7945033019493,-29589.34040940684,-29591.744108940165,-29591.83974381664,55.43062805870747,2.205392643202246,-99.15848260003959,624,74,6,0.0019408499356359243,True,,9.0
6047,4ivc:pose47,0,45,0,4ivc,47,6,0.354736328125,-134.51076408556867,-28525.66306646132,-28526.45010519713,-28526.584264767465,18.149544411754757,3.093793188629525,-113.26742648518439,393,102,5,0.0017530202167108655,True,,6.0
7050,1nvq:pose50,1,63,0,1nvq,50,7,0.30859375,-87.332229783539,-43649.111261567195,-43652.236453977064,-43652.353190518435,72.06864904766599,2.692008595871833,-12.571572140001187,152,75,6,0.0019522361690178514,True,,20.0
8033,2brb:pose33,0,42,0,2brb,33,8,0.30859375,-31.967717974360127,-29601.579089072973,-29601.93246775811,-29602.17650732919,8.149106070916215,5.627686201455603,-18.19092570198831,516,106,6,0.0019312563817948103,True,,19.0
9001,2br1:pose1,0,50,0,2br1,1,9,0.30859375,-107.3531905962344,-35838.14405460504,-35838.61309838068,-35839.13435158144,10.816406422713573,12.020384367924677,-84.51639980559615,418,92,10,0.0017305342480540276,True,,13.0
10086,3jvr:pose86,0,36,0,3jvr,86,10,0.30859375,-79.81250694434587,-50435.40345127374,-50435.880153510996,-50435.90394130434,10.993014743167207,0.5485595462600377,-68.27093265491862,154,77,6,0.0019757344853132963,True,,17.0
11033,3jvs:pose33,0,52,0,3jvs,33,11,0.30859375,-92.37279518294164,-37340.903421548566,-37341.37272026348,-37341.79174020014,10.822285462032623,9.662829291422465,-71.88768042948655,379,273,11,0.001969388220459223,True,,15.0
12022,2v7a:pose22,1,66,1,2v7a,22,12,0.2271728515625,-181.0621739397245,-42570.86735062696,-42573.8819264225,-42573.929820840436,69.51776932206988,1.1044715155867393,-110.43993310206787,176,117,10,0.0019172175088897347,True,,7.0
13034,4twp:pose34,0,46,0,4twp,34,13,0.2271728515625,-165.18113428638392,-41972.12369784204,-41972.70277979077,-41972.951207860315,13.35394697653999,5.728887380154769,-146.09829992968918,455,279,7,0.0018777530640363693,True,,2.0
14096,3k5v:pose96,0,40,0,3k5v,96,14,0.1900634765625,-86.19111810632856,-37108.579388953054,-37109.18012767959,-37109.24137154112,13.853364136953369,1.4123169980995256,-70.92543697127566,241,258,7,0.001985992304980755,True,,16.0
15046,3mss:pose46,1,42,0,3mss,46,15,0.1900634765625,-145.1295492234218,-25056.54289031402,-25059.42769207647,-25059.46286292768,66.52510902486424,0.8110590965681272,-77.79338110198944,389,134,9,0.0019174427725374699,True,,14.0
16042,4e6q:pose42,1,47,0,4e6q,42,16,0.156982421875,-191.0211196310625,-28562.565759645193,-28565.280880348495,-28565.56529764759,62.61217084440177,6.558818729644172,-121.85013005701657,303,175,3,0.0018064379692077637,True,,5.0
17082,4jia:pose82,1,59,0,4jia,82,17,0.156982421875,-248.51327012314235,-36348.71276773797,-36351.2612710643,-36351.57902701548,58.7698828533739,7.327626310704066,-182.4157609590644,575,199,7,0.001965396339073777,True,,1.0
18026,4f09:pose26,1,37,0,4f09,26,18,0.156982421875,-160.01868879550136,-22270.96686862818,-22274.186130502945,-22274.211825564053,74.23794244230474,0.5925421856778513,-85.18820416751876,230,104,2,0.0019520559580996633,True,,12.0
19080,4gfm:pose80,0,26,0,4gfm,80,19,0.156982421875,-152.85570023003316,-44710.29817727511,-44710.97448194324,-44710.97629266302,15.595956147480178,0.04175619016261771,-137.21798789239037,58,72,3,0.0019640636164695024,True,,4.0
20001,4hge:pose1,0,38,0,4hge,1,20,0.156982421875,-120.81435572844936,-41371.05574460837,-41371.69616470028,-41371.701279937035,14.768438161255064,0.11796016179175299,-105.92795740540254,99,95,5,0.0017865874106064439,True,,8.0
