mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
17082,4jia,82,0,17,0.156982421875,1,-664159.2499134169,-627801.5951645803,-36346.87819348556,-248.51327012314235,,1
16042,4e6q,42,0,16,0.156982421875,1,-656366.9287877586,-627801.5951645803,-28557.050163434236,-191.0211196310625,,2
12022,2v7a,22,1,12,0.2271728515625,1,-670377.153295172,-627801.5951645803,-42567.70653160679,-181.06217393972446,,3
4037,4ivb,37,0,4,0.354736328125,0,-655261.890140229,-627801.5951645803,-27453.068678309977,-166.64237541905632,,4
13034,4twp,34,0,13,0.2271728515625,0,-669778.8969729095,-627801.5951645803,-41970.13887640321,-165.18113428638392,,5
18026,4f09,26,0,18,0.156982421875,1,-650077.658841499,-627801.5951645803,-22269.124609817176,-160.01868879550136,,6
5043,4ivd,43,0,5,0.354736328125,0,-657387.6939386249,-627801.5951645803,-29579.29952085893,-156.7945033019493,,7
19080,4gfm,80,0,19,0.156982421875,0,-672516.913319997,-627801.5951645803,-44708.689704898025,-152.85570023003316,,8
15046,3mss,46,0,15,0.1900634765625,1,-652863.9202446552,-627801.5951645803,-25056.031667173862,-145.1295492234218,,9
6047,4ivc,47,0,6,0.354736328125,0,-656331.8065137594,-627801.5951645803,-28524.378410383702,-134.51076408556867,,10
20001,4hge,1,0,20,0.156982421875,0,-669176.6885993265,-627801.5951645803,-41369.854428430546,-120.81435572844937,,11
1018,3pyy,18,0,1,0.4541015625,0,-659472.4457181591,-627801.5951645803,-31665.856465071945,-115.16641688297733,,12
3039,4e5w,39,0,3,0.354736328125,1,-661057.5083836425,-627801.5951645803,-33251.19684816128,-108.76209674907534,,13
2055,4k77,55,0,2,0.354736328125,0,-649570.7354091045,-627801.5951645803,-21764.453391378713,-108.08140113723024,,14
9001,2br1,1,0,9,0.30859375,0,-663641.7966689634,-627801.5951645803,-35835.546229435415,-107.3531905962344,,15
11033,3jvs,33,0,11,0.30859375,0,-665136.318127946,-627801.5951645803,-37330.71729984631,-92.37279518294163,,16
7050,1nvq,50,0,7,0.30859375,1,-671449.752168994,-627801.5951645803,-43644.369920497775,-87.332229783539,,17
14096,3k5v,96,0,14,0.1900634765625,0,-664912.7119108693,-627801.5951645803,-37107.37914565879,-86.19111810632856,,18
10086,3jvr,86,0,10,0.30859375,0,-678238.6143407667,-627801.5951645803,-50433.55817831548,-79.81250694434587,,19
8033,2brb,33,0,8,0.30859375,0,-657403.612448708,-627801.5951645803,-29600.631032673155,-31.967717974360127,,20
