mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1007,3gv9:pose7,-1,18,1,3gv9,7,1,0.74951171875,-245.6412729972193,-25837.822772843814,-25840.283370452355,-25840.335803777154,56.74272884365288,1.2091411944571262,-187.6894029591093,237,57,4,0.0019586794078350067,True,,1.0
2084,4jxs:pose84,-2,31,1,4jxs,84,2,0.74951171875,-189.2730609624556,-49093.9434164346,-49100.77838797105,-49101.09402997456,157.61818803712467,7.278877519425682,-24.37599540590524,447,98,6,0.0017379987984895706,True,,16.0
3006,4kz6:pose6,-1,31,1,4kz6,6,3,0.74951171875,-169.0876478951076,-29110.920472095084,-29113.36972325281,-29113.56081564576,56.48107347194847,4.406695267689542,-108.1998791554696,116,115,6,0.0017021393869072199,True,,8.0
4100,3gr2:pose100,0,24,1,3gr2,100,4,0.74951171875,-91.59059707956564,-18419.29773243529,-18419.97774880237,-18420.209860241324,15.681549958600666,5.352616940079873,-70.5564301808851,325,100,4,0.0018698496278375387,True,,11.0
5094,2r9w:pose94,-2,42,1,2r9w,94,5,0.74951171875,-120.7527502808372,-36826.72481632914,-36833.67877463253,-36833.772554646675,160.36208806748104,2.1626185018009,41.771956288444734,330,165,5,0.0018180081387981772,True,,20.0
6056,3g2z:pose56,0,22,0,3g2z,56,6,0.5771484375,-110.45874366503716,-16912.510935344835,-16913.29351426148,-16913.340677569922,18.046698538536035,1.0876117301693229,-91.3244333963318,158,109,2,0.001964412396773696,True,,10.0
7054,4de3:pose54,0,31,0,4de3,54,7,0.5771484375,-117.96498283363876,-94240.00801940751,-94240.61977170692,-94240.7723813727,14.107343160867673,3.519262497383653,-100.33837717538744,315,33,4,0.0019293661462143064,True,,9.0
8005,4de2:pose5,1,43,0,4de2,5,8,0.5771484375,-177.89854615588996,-28938.703598954824,-28941.39845175582,-28941.44688112734,62.14478191384952,1.11680783834118,-114.63695640369926,213,97,8,0.0017755123553797603,True,,6.0
9035,3g31:pose35,-1,31,0,3g31,35,9,0.5771484375,-110.233727881878,-22368.9283561541,-22371.774162266094,-22371.783784739753,65.6258479622759,0.22189951406142774,-44.38598040554067,109,80,3,0.0018320194212719798,True,,14.0
10097,4de1:pose97,0,34,0,4de1,97,10,0.5771484375,-78.66882389261303,-28228.96692755255,-28229.93608687041,-28229.962149154013,22.34934480503152,0.6010105376043561,-55.71846854997716,297,164,4,0.0019536474719643593,True,,12.0
11059,3qqs:pose59,-2,28,0,3qqs,59,11,0.433837890625,-304.3309462911214,-24360.39294368803,-24368.383021095025,-24368.482363788324,184.25556221432888,2.2908969304265816,-117.78448714636593,276,97,4,0.0018994612619280815,True,,5.0
12013,3twp:pose13,-1,15,0,3twp,13,12,0.433837890625,-109.87504558072334,-13492.074770412431,-13495.114034295393,-13495.146280879017,70.08709014291058,0.7436238840219023,-39.044331553790855,148,23,2,0.0019727277103811502,True,,15.0
13034,2qbp:pose34,-2,60,0,2qbp,34,13,0.396728515625,-198.42105333302555,-135360.44800115147,-135368.3491195031,-135368.60672971435,182.20411766340678,5.940632597867553,-10.276303071751226,675,116,10,0.001913088490255177,True,,17.0
14092,2qbq:pose92,-2,57,0,2qbq,92,14,0.396728515625,-148.15781394292944,-116909.62473395038,-116917.57522351576,-116917.79434402515,183.34264489930234,5.053038987656834,40.23786994402974,433,107,11,0.0019328594207763672,True,,19.0
15037,1bzc:pose37,-1,43,0,1bzc,37,15,0.396728515625,-209.9399253454562,-49922.80865951001,-49926.06346733806,-49926.30073815966,75.05765159827632,5.471595130292636,-129.41067861688725,483,294,10,0.0019844502676278353,True,,4.0
16041,2hb1:pose41,-2,17,0,2hb1,41,16,0.396728515625,-305.2468091610424,-98437.92019451121,-98446.19122538822,-98446.31837937972,190.73450314767265,2.9322407029157818,-111.58006531045396,210,103,4,0.0018246095860376954,True,,7.0
17023,2qbr:pose23,-2,42,0,2qbr,23,17,0.396728515625,-198.9424742184378,-113599.39287627458,-113607.47111208076,-113607.7282366505,186.28854319553068,5.929433438748163,-6.724497584158968,714,162,8,0.0019816455896943808,True,,18.0
18018,1y6r:pose18,1,38,0,1y6r,18,18,0.38232421875,-127.31540052618816,-35129.35933195522,-35132.28357568807,-35132.4704389658,67.4346624697822,4.309169553952922,-55.57156850245304,290,286,7,0.0016908395336940885,True,,13.0
19033,1nc1:pose33,0,36,0,1nc1,33,19,0.38232421875,-167.20014945127818,-35659.97577408787,-35660.67185989178,-35660.74334242535,16.052119975263615,1.6484263843797273,-149.49960309163484,143,88,7,0.0011812406592071056,True,,3.0
20040,3ivg:pose40,-1,46,0,3ivg,40,20,0.379638671875,-228.71521066386197,-47141.56327745765,-47144.44395743405,-47144.82930656124,66.43005838045148,8.88636197899486,-153.3987903044156,435,186,8,0.00183476775418967,True,,2.0
