mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
16041,2hb1,41,0,16,0.396728515625,-2,-597296.0072557017,-498853.89414065,-98428.87636059977,-305.2468091610424,,1
11059,3qqs,59,0,11,0.433837890625,-2,-523203.1267704834,-498853.89414065,-24336.03559095442,-304.3309462911214,,2
1007,3gv9,7,1,1,0.74951171875,-1,-524701.5512331048,-498853.89414065,-25837.005078686445,-245.6412729972193,,3
20040,3ivg,40,0,20,0.379638671875,-1,-545980.4139003514,-498853.89414065,-47116.60172946448,-228.71521066386194,,4
15037,1bzc,37,0,15,0.396728515625,-1,-548779.6501017914,-498853.89414065,-49916.65210433418,-209.9399253454562,,5
17023,2qbr,23,0,17,0.396728515625,-2,-612439.8761617556,-498853.89414065,-113577.35505891552,-198.9424742184378,,6
13034,2qbp,34,0,13,0.396728515625,-2,-634217.4715584043,-498853.89414065,-135354.97306651378,-198.42105333302555,,7
2084,4jxs,84,1,2,0.74951171875,-2,-547954.5780246375,-498853.89414065,-49092.4762272418,-189.27306096245562,,8
8005,4de2,5,0,8,0.5771484375,1,-527799.1263677656,-498853.89414065,-28937.517816015632,-177.89854615588996,,9
3006,4kz6,6,1,3,0.74951171875,-1,-527957.4712946304,-498853.89414065,-29096.244819591117,-169.0876478951076,,10
19033,1nc1,33,0,19,0.38232421875,0,-534512.7493324454,-498853.89414065,-35651.6047070854,-167.20014945127818,,11
14092,2qbq,92,0,14,0.396728515625,-2,-615768.1842245517,-498853.89414065,-116907.8653530136,-148.15781394292944,,12
18018,1y6r,18,0,18,0.38232421875,1,-533987.1561888149,-498853.89414065,-35127.7411298649,-127.31540052618817,,13
5094,2r9w,94,1,5,0.74951171875,-2,-535684.6925402744,-498853.89414065,-36825.562064773694,-120.7527502808372,,14
7054,4de3,54,0,7,0.5771484375,0,-593097.5753527571,-498853.89414065,-94238.56576629465,-117.96498283363876,,15
6056,3g2z,56,0,6,0.5771484375,0,-515769.9837015594,-498853.89414065,-16911.29961643472,-110.45874366503715,,16
9035,3g31,35,0,9,0.5771484375,-1,-521227.2662634627,-498853.89414065,-22368.591935945893,-110.23372788187801,,17
12013,3twp,13,0,12,0.433837890625,-1,-512350.0577602392,-498853.89414065,-13491.398986659042,-109.87504558072334,,18
4100,3gr2,100,1,4,0.74951171875,0,-517274.54061293753,-498853.89414065,-18416.674728088212,-91.59059707956563,,19
10097,4de1,97,0,10,0.5771484375,0,-527085.2002388572,-498853.89414065,-28227.894695127332,-78.66882389261303,,20
