mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
17043,3ge7,43,0,17,0.281005859375,1,-626609.7699597786,-595004.690580724,-31598.039033558718,-162.35422405189826,,1
20088,1r5y,88,0,20,0.281005859375,0,-611456.5148355815,-595004.690580724,-16444.958291557097,-158.33287509204231,,2
8096,4pcs,96,0,8,0.31640625,1,-614341.8993186486,-595004.690580724,-19330.393686632364,-157.15881629224066,,3
7100,4jfs,100,0,7,0.31640625,1,-616457.1362214349,-595004.690580724,-21445.82782875771,-152.61036908017311,,4
6092,4j28,92,0,6,0.31640625,1,-616288.2017666275,-595004.690580724,-21277.007601096266,-149.97622851659264,,5
19010,1s38,10,0,19,0.281005859375,0,-611017.6111587841,-595004.690580724,-16008.154329068226,-109.91231284951715,,6
10094,2xii,94,0,10,0.31640625,1,-630394.3211531218,-595004.690580724,-35385.13032786431,-103.7781043123576,,7
14089,3d4z,89,0,14,0.296142578125,0,-614681.1667510611,-595004.690580724,-19672.027671039756,-102.58483081997251,,8
18097,3rr4,97,0,18,0.281005859375,0,-617613.3087884902,-595004.690580724,-22604.96472852768,-84.25123272825384,,9
9100,2wvt,100,0,9,0.31640625,1,-614259.339171436,-595004.690580724,-19251.07855712678,-82.3269302487094,,10
13005,3dx2,5,0,13,0.296142578125,1,-621976.0399106257,-595004.690580724,-26968.012334652358,-76.95293855630489,,11
12080,3dx1,80,0,12,0.296142578125,1,-608021.4224313307,-595004.690580724,-13013.59650651337,-72.30275242789965,,12
16003,3gc5,3,0,16,0.281005859375,1,-620201.6531327826,-595004.690580724,-25194.010430423095,-68.07754217529502,,13
2003,2wca,3,1,2,0.720703125,0,-631833.6143461858,-595004.690580724,-36826.44998778959,-57.046668331822296,,14
3090,2w66,90,1,3,0.720703125,1,-617873.855223693,-595004.690580724,-22866.89780494921,-52.27452657762313,,15
1088,2xj7,88,1,1,0.720703125,1,-616862.3223754122,-595004.690580724,-21856.35600242713,-29.420468457811882,,16
11098,1ps3,98,0,11,0.296142578125,0,-618774.4107813858,-595004.690580724,-23768.634445367392,-25.038111899107463,,17
4003,2w4x,3,1,4,0.720703125,0,-622360.648396573,-595004.690580724,-27355.32591000491,-14.572094941821625,,18
5034,2vvn,34,1,5,0.720703125,0,-626616.3491448445,-595004.690580724,-31611.707772964553,1.1347829039516968,,19
15013,3ejr,13,0,15,0.296142578125,1,-625921.8868647529,-595004.690580724,-30918.377698418295,27.244063036319144,,20
