mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,3ivg,1,1,1,0.67578125,-1,-731286.207164634,-684149.0861261648,-47138.249874707995,26.031582076451105,
1002,3ivg,2,1,1,0.67578125,-1,-731269.894423087,-684149.0861261648,-47137.82379079306,392.3866102695264,
1003,3ivg,3,1,1,0.67578125,-1,-731289.4490944186,-684149.0861261648,-47138.04524917228,-53.4478717369622,
1004,3ivg,4,1,1,0.67578125,-1,-731288.681115184,-684149.0861261648,-47137.830201011835,-40.69697825504845,
1005,3ivg,5,1,1,0.67578125,-1,-731283.1231767425,-684149.0861261648,-47138.076863837225,93.16030689814157,
1006,3ivg,6,1,1,0.67578125,-1,-731274.7905508176,-684149.0861261648,-47138.53716011041,295.92990981673046,
1007,3ivg,7,1,1,0.67578125,-1,-731278.7326789685,-684149.0861261648,-47137.86135735808,189.43789334563348,
1008,3ivg,8,1,1,0.67578125,-1,-731274.6996944286,-684149.0861261648,-47138.12959677422,288.6264741132872,
1009,3ivg,9,1,1,0.67578125,-1,-731286.6757620164,-684149.0861261648,-47138.0214111402,9.956974693119,
1010,3ivg,10,1,1,0.67578125,-1,-731288.3485807673,-684149.0861261648,-47138.33671794537,-21.347994460703898,
1011,3ivg,11,1,1,0.67578125,-1,-731282.8170043417,-684149.0861261648,-47138.21113634927,103.31720787562979,
1012,3ivg,12,1,1,0.67578125,-1,-731265.391616795,-684149.0861261648,-47113.05368885103,-74.98833046449134,
1013,3ivg,13,1,1,0.67578125,-1,-731269.1440214702,-684149.0861261648,-47138.1463155418,417.12888004073767,
1014,3ivg,14,1,1,0.67578125,-1,-731260.575776805,-684149.0861261648,-47132.10576106313,475.4188004873387,
1015,3ivg,15,1,1,0.67578125,-1,-731268.5630307981,-684149.0861261648,-47126.737797720154,167.44017232151936,
1016,3ivg,16,1,1,0.67578125,-1,-731277.3972868805,-684149.0861261648,-47138.228458938036,228.69833000525153,
1017,3ivg,17,1,1,0.67578125,-1,-731265.9839673826,-684149.0861261648,-47137.73134247659,480.43195225730403,
1018,3ivg,18,1,1,0.67578125,-1,-731270.3798394547,-684149.0861261648,-47137.4587304124,372.77415053629363,
1019,3ivg,19,1,1,0.67578125,-1,-731280.0924301631,-684149.0861261648,-47137.66861829607,153.63661752650108,
1020,3ivg,20,1,1,0.67578125,-1,-731275.8806692549,-684149.0861261648,-47137.96065751904,257.49671586937467,
1021,3ivg,21,1,1,0.67578125,-1,-731265.9288707116,-684149.0861261648,-47137.71913477479,481.4209953825538,
1022,3ivg,22,1,1,0.67578125,-1,-731272.6971520082,-684149.0861261648,-47136.77996338227,303.6829139931383,
1023,3ivg,23,1,1,0.67578125,-1,-731284.4958691931,-684149.0861261648,-47137.87021030931,56.739723418378716,
1024,3ivg,24,1,1,0.67578125,-1,-731275.4352946766,-684149.0861261648,-47137.28837933832,252.26419449410898,
1025,3ivg,25,1,1,0.67578125,-1,-731271.0940118768,-684149.0861261648,-47137.49452034829,357.1302787636534,
1026,3ivg,26,1,1,0.67578125,-1,-731279.93095911,-684149.0861261648,-47137.35506424758,150.12950033545673,
1027,3ivg,27,1,1,0.67578125,-1,-731277.7731883414,-684149.0861261648,-47135.1151740223,148.235780677331,
1028,3ivg,28,1,1,0.67578125,-1,-731257.922926087,-684149.0861261648,-47137.788833123384,667.6497464276724,
1029,3ivg,29,1,1,0.67578125,-1,-731263.4880042262,-684149.0861261648,-47134.479488541125,463.0006967905806,
1030,3ivg,30,1,1,0.67578125,-1,-731262.723813881,-684149.0861261648,-47130.61592235857,391.52739204793494,
1031,3ivg,31,1,1,0.67578125,-1,-731248.9387082794,-684149.0861261648,-47137.798410569114,875.0515920470381,
1032,3ivg,32,1,1,0.67578125,-1,-731272.9742737897,-684149.0861261648,-47135.2739025473,262.561745975488,
1033,3ivg,33,1,1,0.67578125,-1,-731289.5474270768,-684149.0861261648,-47138.00834284419,-56.56655685116389,
1034,3ivg,34,1,1,0.67578125,-1,-731250.9790661379,-684149.0861261648,-47124.21191179448,514.6877172159086,
1035,3ivg,35,1,1,0.67578125,-1,-731276.6684964037,-684149.0861261648,-47136.8025680648,212.62281297050913,
1036,3ivg,36,1,1,0.67578125,-1,-731282.1127430983,-684149.0861261648,-47133.13741323048,2.5550233053748106,
1037,3ivg,37,1,1,0.67578125,-1,-731284.7488793918,-684149.0861261648,-47136.98965316711,30.5990395342149,
1038,3ivg,38,1,1,0.67578125,-1,-731266.4051467971,-684149.0861261648,-47127.90859377462,244.20135795419807,
1039,3ivg,39,1,1,0.67578125,-1,-731268.9645145723,-684149.0861261648,-47137.118911725265,397.5759125936792,
1040,3ivg,40,1,1,0.67578125,-1,-731228.0523776601,-684149.0861261648,-47138.15779372755,1364.9893908150516,
1041,3ivg,41,1,1,0.67578125,-1,-731259.6228825189,-684149.0861261648,-47133.30090711707,524.9537874916455,
1042,3ivg,42,1,1,0.67578125,-1,-731285.3753851847,-684149.0861261648,-47137.301944686784,23.353086258790423,
1043,3ivg,43,1,1,0.67578125,-1,-731240.3221491018,-684149.0861261648,-47137.80422356425,1073.8882179506654,
1044,3ivg,44,1,1,0.67578125,-1,-731276.6369266696,-684149.0861261648,-47121.07769106024,-149.27344996044212,
1045,3ivg,45,1,1,0.67578125,-1,-731232.2030836828,-684149.0861261648,-47138.04353163832,1266.6368896728368,
1046,3ivg,46,1,1,0.67578125,-1,-731281.8967530773,-684149.0861261648,-47138.419406068264,129.34151999257728,
1047,3ivg,47,1,1,0.67578125,-1,-731285.5715920517,-684149.0861261648,-47137.80555505006,30.441979287994965,
1048,3ivg,48,1,1,0.67578125,-1,-731252.684949089,-684149.0861261648,-47136.46507358247,757.9137453183063,
1049,3ivg,49,1,1,0.67578125,-1,-731273.4179226942,-684149.0861261648,-47135.135058698,249.1291439640336,
1050,3ivg,50,1,1,0.67578125,-1,-731263.5224461452,-684149.0861261648,-47137.757464413284,537.7983666588029,
1051,3ivg,51,1,1,0.67578125,-1,-731280.8009786793,-684149.0861261648,-47138.128664999065,147.90602957554626,
1052,3ivg,52,1,1,0.67578125,-1,-731246.2917546369,-684149.0861261648,-47137.418426562785,927.3291537721608,
1053,3ivg,53,1,1,0.67578125,-1,-731267.964574758,-684149.0861261648,-47136.444281873046,405.0777385346242,
1054,3ivg,54,1,1,0.67578125,-1,-731282.3759767608,-684149.0861261648,-47131.697374400435,-36.723373476692885,
1055,3ivg,55,1,1,0.67578125,-1,-731275.9643300065,-684149.0861261648,-47137.729575385136,250.2385725042699,
1056,3ivg,56,1,1,0.67578125,-1,-731248.6641699709,-684149.0861261648,-47137.35591216081,871.1783401318916,
1057,3ivg,57,1,1,0.67578125,-1,-731270.2572064289,-684149.0861261648,-47137.81308513576,383.77374933915615,
1058,3ivg,58,1,1,0.67578125,-1,-731270.477547814,-684149.0861261648,-47137.8173070147,378.78991513014245,
1059,3ivg,59,1,1,0.67578125,-1,-731279.404739786,-684149.0861261648,-47134.924326074106,106.21025231224273,
1060,3ivg,60,1,1,0.67578125,-1,-731281.9635977037,-684149.0861261648,-47137.75222260946,112.41443022362111,
1061,3ivg,61,1,1,0.67578125,-1,-731265.3628833182,-684149.0861261648,-47137.73915798658,494.9347209723168,
1062,3ivg,62,1,1,0.67578125,-1,-731255.319411625,-684149.0861261648,-47125.02470597321,433.34045154380254,
1063,3ivg,63,1,1,0.67578125,-1,-731277.211015422,-684149.0861261648,-47137.59082321523,218.2896227995056,
1064,3ivg,64,1,1,0.67578125,-1,-731262.3885559775,-684149.0861261648,-47137.66120740467,561.726755754437,
1065,3ivg,65,1,1,0.67578125,-1,-731276.8691851535,-684149.0861261648,-47137.235151923946,217.9704412316401,
1066,3ivg,66,1,1,0.67578125,-1,-731277.6464955703,-684149.0861261648,-47137.090587791834,196.71150910261412,
1067,3ivg,67,1,1,0.67578125,-1,-731284.664331291,-684149.0861261648,-47137.70693970917,49.089785668760534,
1068,3ivg,68,1,1,0.67578125,-1,-731255.8123533612,-684149.0861261648,-47137.495981496606,709.5673907763146,
1069,3ivg,69,1,1,0.67578125,-1,-731274.7466660329,-684149.0861261648,-47137.334460046826,269.20699465070084,
1070,3ivg,70,1,1,0.67578125,-1,-731245.6183544592,-684149.0861261648,-47137.95632873181,955.2624494769823,
1071,3ivg,71,1,1,0.67578125,-1,-731279.59213968,-684149.0861261648,-47137.549440127594,162.42527628450858,
