mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1096,3e92:pose96,0,47,1,3e92,96,1,0.77294921875,-198.0232843262361,-30704.102344228617,-30704.61097267664,-30704.82724850084,11.729250653669938,4.987438988513221,-181.30659468405295,302,200,8,0.0018814833601936698,True,,3.0
2031,2zb1:pose31,0,47,1,2zb1,31,2,0.77294921875,-219.4160974953689,-30704.20129044234,-30704.693727103004,-30704.77779544238,11.35585916680815,1.9386619612266014,-206.12157636733411,195,100,8,0.0018533484544605017,True,,2.0
3097,3e93:pose97,1,70,1,3e93,97,3,0.77294921875,-103.16867187162714,-43772.55114901296,-43775.54002017208,-43775.746489142555,68.92500632442824,4.761287569257054,-29.482377977941848,597,148,7,0.001981530338525772,True,,17.0
4067,4f9w:pose67,0,43,1,4f9w,67,4,0.77294921875,-113.18882922213054,-28048.96397309148,-28049.28672624422,-28049.307789287897,7.4428645162649625,0.4857253261883344,-105.26023937967724,123,153,5,0.001919636968523264,True,,10.0
5035,4dli:pose35,0,37,1,4dli,35,5,0.77294921875,-253.7602771320965,-23866.09924076562,-23866.548823875863,-23866.86230091915,10.36763281759972,7.22895235054402,-236.16369196395277,315,214,4,0.001914519933052361,True,,1.0
6019,2v7a:pose19,1,66,0,2v7a,19,6,0.61279296875,-181.99223028062943,-42570.36726183467,-42573.499078694724,-42573.77871615714,72.22141249805004,6.448593077273606,-103.32222470530579,436,300,10,0.0018738184589892626,True,,11.0
7088,4twp:pose88,0,46,0,4twp,88,7,0.61279296875,-155.49290388294486,-41972.294115091245,-41972.921670775,-41973.005338147035,14.471777861660568,1.92941543463456,-139.09171058664973,444,254,7,0.001962469657883048,True,,7.0
8093,3k5v:pose93,0,40,0,3k5v,93,8,0.60302734375,-172.481272333559,-37108.67298493465,-37109.17605913895,-37109.23206418462,11.601166750484715,1.2915070345907225,-159.58859854848356,224,131,7,0.0018437915714457631,True,,4.0
9031,3mss:pose31,1,42,0,3mss,31,9,0.60302734375,-207.4444414050145,-25056.712779609494,-25059.451843397303,-25059.670182869773,63.16431148988234,5.035027848222436,-139.2451020669097,348,144,9,0.001966854091733694,True,,6.0
10071,2p4y:pose71,-1,61,0,2p4y,71,10,0.427490234375,-99.92383705823946,-65352.38338548246,-65355.252295176055,-65355.3891401807,66.15862921081141,3.1557207749503586,-30.609487072477684,232,218,12,0.001982870977371931,True,,16.0
11064,3fur:pose64,0,43,0,3fur,64,11,0.427490234375,-138.53545344876386,-92048.71268190752,-92048.9682793832,-92049.2669147941,5.8942178133806,6.886696177013476,-125.75453945836978,547,164,5,0.0018814258510246873,True,,8.0
12042,3u9q:pose42,-1,31,0,3u9q,42,12,0.427490234375,-187.56151775680013,-14778.092784169614,-14782.238120302018,-14782.460596130024,95.59372215529163,5.1304144728954215,-86.83738112861307,198,89,9,0.0017188836354762316,True,,12.0
13002,2yfe:pose2,-1,48,0,2yfe,2,13,0.427490234375,-130.14928368827773,-30362.394127005304,-30365.260200262397,-30365.337342278875,66.09321943125978,1.7789371607486841,-62.27712709626927,228,135,11,0.001848266227170825,True,,14.0
14093,3b1m:pose93,0,65,0,3b1m,93,14,0.427490234375,-24.52689065413088,-47401.72893505996,-47402.68872342623,-47403.6230710086,22.133245527683048,21.54656711366223,19.1529219872144,396,183,13,0.0018813461065292358,True,,20.0
15076,5aba:pose76,2,49,0,5aba,76,15,0.42529296875,-274.7951863228126,-107700.95706076856,-107707.92797933302,-107708.1096022736,160.75320097909338,4.188324508412555,-109.85366083530666,376,69,5,0.0019294989760965109,True,,9.0
16092,4agq:pose92,2,64,0,4agq,92,16,0.42529296875,-165.55752650147468,-41106.32815381555,-41113.29163545317,-41113.36978948,160.58170137197624,1.802274673845573,-3.1735504556528733,278,153,10,0.001791838789358735,True,,18.0
17009,5a7b:pose9,2,65,0,5a7b,9,17,0.42529296875,-224.72193451224237,-35633.725433425876,-35640.44196390178,-35640.921289173726,154.8868722953877,11.053503360145253,-58.781558856709424,903,274,10,0.0017898817313835025,True,,15.0
18076,4agn:pose76,2,53,0,4agn,76,18,0.42529296875,-234.23586457900623,-35355.72458796121,-35362.61313998215,-35362.7826489877,158.85378336269065,3.9089705300602198,-71.47311068625537,459,138,9,0.0014873420586809516,True,,13.0
19006,4agp:pose6,2,63,0,4agp,6,19,0.42529296875,-151.40517754501232,-41647.2707046085,-41654.1463649221,-41654.23988882159,158.5564935288369,2.156712357574661,9.30802834139925,368,74,10,0.0018296947237104177,True,,19.0
20012,3pyy:pose12,0,38,0,3pyy,12,20,0.37060546875,-166.63726840633072,-31671.06734177521,-31671.652989386534,-31671.67752753123,13.505354752783395,0.5658630594094509,-152.56605059413786,254,68,3,0.0018208324909210205,True,,5.0
