mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
15076,5aba,76,0,15,0.42529296875,2,-844858.298490406,-737145.8505461926,-107700.53169710856,-274.7951863228126,,1
5035,4dli,35,1,5,0.77294921875,0,-761021.5829081106,-737145.8505461926,-23864.72827480798,-253.76027713209646,,2
18076,4agn,76,0,18,0.42529296875,2,-772505.8719413886,-737145.8505461926,-35349.8639667472,-234.23586457900626,,3
17009,5a7b,9,0,17,0.42529296875,2,-772786.7930039209,-737145.8505461926,-35631.19759233471,-224.72193451224234,,4
2031,2zb1,31,1,2,0.77294921875,0,-767858.0312556041,-737145.8505461926,-30702.66592688739,-219.4160974953689,,5
9031,3mss,31,0,9,0.60302734375,1,-762210.8970449157,-737145.8505461926,-25056.050856341626,-207.44444140501446,,6
1096,3e92,96,1,1,0.77294921875,0,-767851.7353261267,-737145.8505461926,-30697.297677590246,-198.02328432623614,,7
12042,3u9q,42,0,12,0.427490234375,-1,-751919.2055046024,-737145.8505461926,-14765.221521202036,-187.56151775680013,,8
6019,2v7a,19,0,6,0.61279296875,1,-779707.7347542448,-737145.8505461926,-42553.9922780071,-181.99223028062943,,9
8093,3k5v,93,0,8,0.60302734375,0,-774261.0835170532,-737145.8505461926,-37107.75347498732,-172.481272333559,,10
20012,3pyy,12,0,20,0.37060546875,0,-768823.746373566,-737145.8505461926,-31670.669751495632,-166.63726840633072,,11
16092,4agq,92,0,16,0.42529296875,2,-778258.4934478987,-737145.8505461926,-41105.46364786882,-165.55752650147468,,12
7088,4twp,88,0,7,0.61279296875,0,-779123.7951375658,-737145.8505461926,-41971.201780880365,-155.49290388294486,,13
19006,4agp,6,0,19,0.42529296875,2,-778799.0615881527,-737145.8505461926,-41646.64549205824,-151.40517754501232,,14
11064,3fur,64,0,11,0.427490234375,0,-829198.7283815937,-737145.8505461926,-92046.87036955656,-138.53545344876386,,15
13002,2yfe,2,0,13,0.427490234375,-1,-767512.5886660934,-737145.8505461926,-30361.094312795954,-130.14928368827773,,16
4067,4f9w,67,1,4,0.77294921875,0,-765198.9440835897,-737145.8505461926,-28048.185205207705,-113.18882922213054,,17
3097,3e93,97,1,3,0.77294921875,1,-780921.2289299119,-737145.8505461926,-43770.90456667772,-103.16867187162714,,18
10071,2p4y,71,0,10,0.427490234375,-1,-802498.0678733496,-737145.8505461926,-65347.8842194706,-99.92383705823946,,19
14093,3b1m,93,0,14,0.427490234375,0,-784546.6009834998,-737145.8505461926,-47399.68685066412,-24.52689065413088,,20
