mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
18015,2j7h,15,0,18,0.38525390625,2,-387445.8237584974,-372912.2055852814,-14524.008144902476,-221.6125175777023,,1
11035,4wiv,35,0,11,0.49560546875,0,-404584.9888747852,-372912.2055852814,-31665.68933720312,-163.59042633733233,,2
5086,3pxf,86,0,5,0.64697265625,0,-408183.8152123904,-372912.2055852814,-35266.51325676727,-117.52509202715534,,3
1079,2xnb,79,0,1,0.64697265625,1,-414832.8870327945,-372912.2055852814,-41915.75924744144,-113.5086301832585,,4
4004,2fvd,4,0,4,0.64697265625,0,-423857.9884148022,-372912.2055852814,-50941.06589590965,-108.77507315288001,,5
19065,2cbv,65,0,19,0.38525390625,1,-390087.0995993761,-372912.2055852814,-17170.286877843082,-106.24308589181179,,6
15099,4ogj,99,0,15,0.49560546875,1,-427458.8562153203,-372912.2055852814,-54542.272429817196,-100.96369562398144,,7
6080,4eky,80,1,6,0.55224609375,0,-406125.9060755307,-372912.2055852814,-33209.585270891715,-94.89921282820583,,8
20088,2j78,88,0,20,0.38525390625,0,-392559.05662585044,-372912.2055852814,-19642.736539925132,-94.88263889743537,,9
17032,2cet,32,0,17,0.38525390625,0,-401019.98485840776,-372912.2055852814,-28103.959478006942,-88.0865680538724,,10
7095,3g2n,95,1,7,0.55224609375,0,-400464.49449945876,-372912.2055852814,-27548.67319187621,-83.38053706733027,,11
8081,3ebp,81,1,8,0.55224609375,1,-419299.95889145596,-372912.2055852814,-46384.14488508431,-83.21216714417864,,12
3028,1pxn,28,0,3,0.64697265625,0,-409065.6237153038,-372912.2055852814,-36149.90279219502,-81.06561610813422,,13
2059,4eor,59,0,2,0.64697265625,0,-417871.8720632363,-372912.2055852814,-44956.24398443468,-78.92457552272528,,14
13054,3u5j,54,0,13,0.49560546875,0,-409255.016130326,-372912.2055852814,-36339.98208107069,-65.22592875762741,,15
16097,2wbg,97,0,16,0.38525390625,0,-402160.35513504717,-372912.2055852814,-29245.802285830814,-54.12919224256575,,16
9033,3l7b,33,1,9,0.55224609375,0,-400953.07968680555,-372912.2055852814,-28038.875751571868,-46.08304465633385,,17
14087,3p5o,87,0,14,0.49560546875,0,-420177.11436565605,-372912.2055852814,-47262.914572185,-45.98753334100042,,18
12097,4lzs,97,0,12,0.49560546875,0,-391668.65017745557,-372912.2055852814,-18754.692466699817,-40.404973305941226,,19
10094,3syr,94,1,10,0.55224609375,0,-403541.34019823186,-372912.2055852814,-30627.51420700591,-37.3674487888516,,20
