mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
4038,3f3d,38,1,4,0.83544921875,0,-484116.2368555434,-462323.9314241536,-21785.787887831506,-150.29812496357712,,1
20007,1p1q,7,0,20,0.36865234375,0,-480919.84923600475,-462323.9314241536,-18590.290340966458,-129.77256150148347,,2
2073,3f3e,73,1,2,0.83544921875,0,-474346.94641830877,-462323.9314241536,-12017.811616755187,-119.99273341260516,,3
12081,3dx1,81,0,12,0.420654296875,1,-475339.2298279047,-462323.9314241536,-13013.341736025819,-45.121829667586844,,4
19096,2al5,96,0,19,0.36865234375,0,-485102.5019308254,-462323.9314241536,-22776.70306915614,-43.06413215037478,,5
13097,3dx2,97,0,13,0.420654296875,1,-489292.6624154394,-462323.9314241536,-26967.216961778828,-34.91434986158022,,6
3016,3f3c,16,1,3,0.83544921875,0,-480127.90885923826,-462323.9314241536,-17802.60756382192,-31.589981775811456,,7
9075,3uri,75,0,9,0.66455078125,1,-555156.7127698573,-462323.9314241536,-92832.15984399823,-14.332169804315624,,8
18094,1syi,94,0,18,0.36865234375,0,-485579.0095537068,-462323.9314241536,-23254.49513049835,-13.444277589028932,,9
5002,3f3a,2,1,5,0.83544921875,0,-481011.4903443274,-462323.9314241536,-18688.55437983054,22.955845027965765,,10
7080,3prs,80,0,7,0.66455078125,0,-542362.8895652238,-462323.9314241536,-80040.78412721165,42.10824075274318,,11
11091,1ps3,91,0,11,0.420654296875,0,-486090.04976180184,-462323.9314241536,-23768.37528592163,52.046463610135866,,12
15092,3ejr,92,0,15,0.420654296875,1,-493242.7889884705,-462323.9314241536,-30922.064915475024,73.96327479180006,,13
14095,3d4z,95,0,14,0.420654296875,0,-481992.24348794157,-462323.9314241536,-19672.09580212896,87.25507899144235,,14
8005,2v00,5,0,8,0.66455078125,0,-481505.16921490355,-462323.9314241536,-19186.778240201187,127.76579957379208,,15
10086,3wz8,86,0,10,0.66455078125,0,-510147.571140519,-462323.9314241536,-47830.88464184452,167.07195054104037,,16
1026,4mme,26,1,1,0.83544921875,0,-496698.32666899625,-462323.9314241536,-34384.78716528563,239.6433784277549,,17
17066,2qnq,66,0,17,0.391357421875,1,-553291.9005025056,-462323.9314241536,-90981.74834962189,317.75754419096353,,18
6094,3pww,94,0,6,0.66455078125,1,-521757.59952837136,-462323.9314241536,-59448.874975215695,350.678776002454,,19
16080,1g2k,80,0,16,0.393310546875,0,-527817.2999005592,-462323.9314241536,-65528.6655290816,813.9693715141897,,20
