mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
9018,2hb1,18,0,9,0.703125,-2,-525561.9016629313,-427137.6011679247,-98413.9181633637,-239.4222554445442,,1
4007,4gkm,7,1,4,0.8046875,-2,-452577.1708729094,-427137.6011679247,-25429.327182294903,-236.19818439478186,,2
10031,2qbr,31,0,10,0.703125,-2,-540724.2029366968,-427137.6011679247,-113577.45939779989,-210.82808309035883,,3
16016,3gv9,16,0,16,0.48046875,-1,-452959.6798244357,-427137.6011679247,-25813.375783873766,-200.69301071412505,,4
12035,4ciw,35,0,12,0.65380859375,-1,-448973.0196106146,-427137.6011679247,-21827.01374938104,-193.81683205000533,,5
14033,3n7a,33,0,14,0.646484375,-1,-444795.93733791896,-427137.6011679247,-17650.77857822481,-174.2822064837263,,6
2060,3qqs,60,1,2,0.81396484375,-2,-451496.6503724494,-427137.6011679247,-24351.525778658983,-173.49432202701658,,7
17074,4jxs,74,0,17,0.48046875,-2,-476224.5716840319,-427137.6011679247,-49079.51948125966,-171.82494548975805,,8
5026,4owm,26,1,5,0.80322265625,-1,-442797.10233509034,-427137.6011679247,-15653.000700636796,-149.90431930973085,,9
20076,2r9w,76,0,20,0.48046875,-2,-463963.57094045304,-427137.6011679247,-36819.62068847498,-146.4133564930343,,10
3027,3twp,27,1,3,0.81396484375,-1,-440634.92861205566,-427137.6011679247,-13491.398649535167,-136.7212513542437,,11
18064,4kz6,64,0,18,0.48046875,-1,-456255.8053523361,-427137.6011679247,-29112.53357882269,-130.76727140664033,,12
1012,3r88,12,1,1,0.81591796875,-1,-446329.2953356692,-427137.6011679247,-19186.47425853489,-120.37396599933876,,13
6041,2qbp,41,0,6,0.703125,-2,-562489.7466142641,-427137.6011679247,-135347.68815118575,-102.78766808568487,,14
11023,3n86,23,0,11,0.65380859375,-1,-457808.1980618233,-427137.6011679247,-30666.614527691,-91.83554640985338,,15
15053,3n76,53,0,15,0.63330078125,-1,-456310.91214481095,-427137.6011679247,-29169.64438296178,-84.55366457070582,,16
7001,2qbq,1,0,7,0.703125,-2,-544049.2180319799,-427137.6011679247,-116908.24519255316,-77.75259194096468,,17
13008,2xb8,8,0,13,0.65380859375,-1,-457324.3294691864,-427137.6011679247,-30183.443519209617,-75.74887362582355,,18
8038,1bzc,38,0,8,0.703125,-1,-477057.27443817013,-427137.6011679247,-49916.90763519818,-63.77705928922452,,19
19009,3gr2,9,0,19,0.48046875,0,-445556.0072281395,-427137.6011679247,-18416.49576392038,-44.05247906803866,,20
