mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1030,4e6q:pose30,1,47,1,4e6q,30,1,0.78271484375,-103.41765129253125,-28562.698986576288,-28565.486420394118,-28565.568427772574,64.27975088075084,1.8911350733524772,-37.24676533842793,300,158,3,0.0017995522357523441,True,,20.0
2030,4jia:pose30,1,59,1,4jia,30,2,0.78271484375,-198.47585223747888,-36348.84371452318,-36351.37011655594,-36351.58047839273,58.26021491582367,4.851059199055269,-135.36457812259994,663,235,7,0.0018210156122222543,True,,3.0
3078,4f09:pose78,1,37,1,4f09,78,3,0.78271484375,-135.39562509695085,-22270.9711844813,-22274.20904667321,-22274.211763865256,74.6668759455494,0.06265993711077308,-60.66608921429067,78,103,2,0.0018991910619661212,True,,15.0
4087,4gfm:pose87,0,26,1,4gfm,87,4,0.78271484375,-149.62485829381598,-44710.30727908318,-44710.94290838959,-44710.9764779673,14.657960022990244,0.7741328524419523,-134.19276541838377,184,120,3,0.001812865724787116,True,,4.0
5074,4hge:pose74,0,38,1,4hge,74,5,0.78271484375,-126.2882121682136,-41371.073843797174,-41371.6781003851,-41371.6876510945,13.934487947815535,0.22024459096001045,-112.13347962943806,135,140,5,0.0018345138523727655,True,,7.0
6091,4k77:pose91,0,34,1,4k77,91,6,0.53369140625,-94.66518781839945,-21764.932198768438,-21765.51624882766,-21765.53899800397,13.468514326125982,0.52460846842132,-80.67206502385214,297,124,2,0.0019827838987112045,True,,11.0
7046,4e5w:pose46,1,57,0,4e5w,46,7,0.53369140625,-129.29400325350204,-33252.37150157218,-33255.09867351027,-33255.22484578574,62.89007892059677,2.9096017934112712,-63.49432253949399,257,300,6,0.001882962416857481,True,,14.0
8026,4ivb:pose26,0,42,0,4ivb,26,8,0.53369140625,-110.5306459641686,-27452.297268649392,-27453.104059193396,-27453.1465973183,18.605031929292796,0.9809524639790775,-90.94466157089673,269,105,4,0.00118914560880512,True,,10.0
9047,4ivd:pose47,0,48,0,4ivd,47,9,0.53369140625,-146.9612543066846,-29596.187359282194,-29596.87639955544,-29596.942096062274,15.889646178413653,1.5149974381448343,-129.55661069012612,163,113,6,0.001526679378002882,True,,5.0
10022,4ivc:pose22,0,45,0,4ivc,22,10,0.53369140625,-107.69562060758544,-28520.175747349494,-28521.451203160657,-28521.52883833456,29.41270973916136,1.790309641154555,-76.49260122726953,397,252,5,0.001968067605048418,True,,12.0
11081,4m0y:pose81,0,35,0,4m0y,81,11,0.5185546875,-117.92079592317512,-27330.523601898407,-27331.49258214957,-27331.56342729835,22.345215428889972,1.6337279420267417,-93.94185255225841,226,133,6,0.0011363979429006577,True,,9.0
12098,3qgy:pose98,0,46,0,3qgy,98,12,0.5185546875,-74.49508444645302,-54826.050025770215,-54826.660272401,-54826.94587972797,14.07262161770763,6.586261424418583,-53.83620140432681,492,80,5,0.001880501862615347,True,,16.0
13097,4rfm:pose97,0,63,0,4rfm,97,13,0.5185546875,-63.8020105610919,-56256.692772584414,-56257.5912514501,-56257.671407179405,20.719414857020514,1.8484350294582277,-41.23416067461315,243,115,7,0.0019867513328790665,True,,19.0
14098,4m0z:pose98,0,39,0,4m0z,98,14,0.5185546875,-78.14228641867084,-30448.593477280712,-30449.757836911886,-30449.97983462391,26.850770966713405,5.119388856458209,-46.17212659549922,291,228,8,0.0019553399179130793,True,,18.0
15095,4qd6:pose95,0,62,0,4qd6,95,15,0.5185546875,-134.4180172664034,-51858.56119294283,-51859.27515834878,-51859.41957589665,16.464433393320704,3.33034777036348,-114.62323610271923,517,241,8,0.001724501489661634,True,,6.0
16046,1y6r:pose46,1,38,0,1y6r,46,16,0.434814453125,-126.77877341468256,-35129.877734799884,-35132.49231513287,-35132.608626741036,60.293654825807806,2.6822094033715524,-63.802909185503204,247,135,7,0.0016259338008239865,True,,13.0
17057,1nc1:pose57,0,36,0,1nc1,57,17,0.434814453125,-187.01512880075492,-35659.9424340212,-35660.67297722258,-35660.812644029975,16.846726437798672,3.220793092258056,-166.9476092706982,220,138,7,0.001902374904602766,True,,1.0
18034,1nc3:pose34,0,32,0,1nc3,34,18,0.4140625,-167.8376443560575,-26236.769597406514,-26237.996827216968,-26238.013487923577,28.300591743146246,0.3842050216579839,-139.15284759125328,191,130,6,0.0019653092604130507,True,,2.0
19016,2xnb:pose16,1,50,0,2xnb,16,19,0.386962890625,-122.84516359544986,-41917.47155440292,-41920.41845421123,-41920.51243944972,67.95712398158079,2.167351087590589,-52.72068852627848,270,300,6,0.001888448023237288,True,,17.0
20003,4eor:pose3,0,50,0,4eor,3,20,0.386962890625,-135.1877151626986,-44966.94926473866,-44967.794971171745,-44967.97520057987,19.50245365086239,4.156188886621526,-111.52907262521468,424,300,7,0.0017460888484492898,True,,8.0
