mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
2030,4jia,30,1,2,0.78271484375,1,-515351.1679759594,-478995.354989011,-36347.206259402505,-198.47585223747888,,1
17057,1nc1,57,0,17,0.434814453125,0,-514638.427623244,-478995.354989011,-35634.96289069288,-187.01512880075495,,2
18034,1nc3,34,0,18,0.4140625,0,-505228.3336273323,-478995.354989011,-26225.700509215723,-167.8376443560575,,3
4087,4gfm,87,1,4,0.78271484375,0,-523710.6057175364,-478995.354989011,-44708.76238057318,-149.62485829381598,,4
9047,4ivd,47,0,9,0.53369140625,0,-508596.69133928686,-478995.354989011,-29594.963507124583,-146.9612543066846,,5
3078,4f09,78,1,3,0.78271484375,1,-501271.21503551106,-478995.354989011,-22269.98873649946,-135.39562509695085,,6
20003,4eor,3,0,20,0.386962890625,0,-523963.5485888698,-478995.354989011,-44962.33130568626,-135.1877151626986,,7
15095,4qd6,95,0,15,0.5185546875,0,-530856.485994108,-478995.354989011,-51855.30208818429,-134.4180172664034,,8
7046,4e5w,46,0,7,0.53369140625,1,-512232.72840470227,-478995.354989011,-33231.76669705633,-129.29400325350204,,9
16046,1y6r,46,0,16,0.434814453125,1,-514117.595608218,-478995.354989011,-35116.742971260974,-126.77877341468255,,10
5074,4hge,74,1,5,0.78271484375,0,-520369.93245817587,-478995.354989011,-41369.10109396788,-126.2882121682136,,11
19016,2xnb,16,0,19,0.386962890625,1,-520916.77450334874,-478995.354989011,-41916.092443857975,-122.84516359544986,,12
11081,4m0y,81,0,11,0.5185546875,0,-506329.17470887536,-478995.354989011,-27328.706190177658,-117.92079592317513,,13
8026,4ivb,26,0,8,0.53369140625,0,-506445.77097780944,-478995.354989011,-27445.622926344924,-110.53064596416861,,14
10022,4ivc,22,0,10,0.53369140625,0,-507509.3068027878,-478995.354989011,-28509.28168965839,-107.69562060758545,,15
1030,4e6q,30,1,1,0.78271484375,1,-507561.37673131656,-478995.354989011,-28561.537128494452,-103.41765129253123,,16
6091,4k77,91,1,6,0.53369140625,0,-500763.1028489762,-478995.354989011,-21763.64278889257,-94.66518781839945,,17
14098,4m0z,98,0,14,0.5185546875,0,-509446.25786679547,-478995.354989011,-30447.5143075305,-78.14228641867084,,18
12098,3qgy,98,0,12,0.5185546875,0,-533820.7801126571,-478995.354989011,-54822.19471103866,-74.49508444645302,,19
13097,4rfm,97,0,13,0.5185546875,0,-535253.53043836,-478995.354989011,-56255.40873231212,-63.8020105610919,,20
