mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1099,2v7a:pose99,1,66,1,2v7a,99,1,0.434326171875,-99.6398347714441,-42570.71586375706,-42573.85103402157,-42573.92505930958,72.29874384190288,1.707063694736362,-25.63402723480486,381,222,10,0.0016529893036931753,True,,18.0
2032,4twp:pose32,0,46,1,4twp,32,2,0.434326171875,-73.41447247295201,-41972.18020894615,-41972.740546510315,-41972.98338838667,12.921691199738444,5.6000667048932815,-54.89271456832029,445,207,7,0.0018826460000127554,True,,13.0
3014,3k5v:pose14,0,40,1,3k5v,14,3,0.424072265625,-75.980519853803,-37108.71523848852,-37109.17922677461,-37109.21170611977,10.699824064313209,0.748991492528043,-64.53170429696175,189,25,7,0.0018163073109462857,True,,10.0
4042,3mss:pose42,1,42,1,3mss,42,4,0.424072265625,-100.07324392351556,-25056.886726768695,-25059.428387468815,-25059.672766155247,58.61208814433801,5.635506387236206,-35.82564939194135,578,237,9,0.0019320747815072536,True,,17.0
5008,1a30:pose8,-2,49,0,1a30,8,5,0.388916015625,-206.135915551083,-36803.54086433352,-36812.7664839234,-36812.92230393257,212.747841819542,3.5932947745459956,10.205221043004997,284,77,17,0.001580960233695805,True,,20.0
6010,1z6e:pose10,1,59,0,1z6e,10,6,0.347900390625,-121.44568009933523,-52139.00879647182,-52142.12777869424,-52142.30459419188,71.92543872293697,4.077462240643989,-45.44277913575427,500,215,11,0.0019941770005971193,True,,15.0
7056,1mq6:pose56,0,56,0,1mq6,56,7,0.347900390625,-96.15429697533575,-88252.2874628265,-88253.06073871635,-88253.31927618223,17.832165644131344,5.962015597957918,-72.3601157332465,535,65,12,0.001976175932213664,True,,9.0
8091,1lpg:pose91,1,78,0,1lpg,91,8,0.347900390625,-153.32340912023693,-47431.269094660325,-47434.11696178772,-47434.52024931917,65.67337610645944,9.300031408529506,-78.35000160524798,586,300,16,0.001962105045095086,True,,6.0
9043,2y5h:pose43,2,60,0,2y5h,43,9,0.347900390625,-159.49168432370485,-58760.074076111865,-58766.456304802974,-58766.54703222295,147.1776899972691,2.0922240079528462,-10.221770318482886,537,256,9,0.001764778047800064,True,,19.0
10094,2xbv:pose94,1,58,0,2xbv,94,10,0.347900390625,-173.73277295299502,-59538.114917475265,-59541.45015024659,-59541.76376726056,76.9122948493166,7.2321801513104225,-89.58829795236801,904,141,9,0.0019201211398467422,True,,4.0
11012,1eby:pose12,0,88,0,1eby,12,11,0.27880859375,-85.83741947818065,-59455.97873730399,-59456.913101156264,-59457.27890970308,21.546942306632285,8.435745490782795,-55.85473168076557,839,170,19,0.001663840259425342,True,,12.0
12070,1c5z:pose70,0,18,0,1c5z,70,12,0.2783203125,-171.116182314716,-10391.092695728452,-10391.876574753076,-10391.982916998575,18.07667974076497,2.452310438745946,-150.5871921352051,114,80,3,0.0018649694975465536,True,,2.0
13001,1sqa:pose1,1,54,0,1sqa,1,13,0.2783203125,-157.04169588793405,-36722.54803895336,-36725.90800337515,-36726.01135871231,77.48262025787125,2.38343069612523,-77.17564493393758,730,141,10,0.0013042292557656765,True,,7.0
14047,3kgp:pose47,0,20,0,3kgp,47,14,0.2783203125,-103.42751686875684,-14034.249234613875,-14037.08472479042,-14037.084838707235,65.38795683946942,0.0026269841465117873,-38.036933045140906,2,56,3,0.001958242617547512,True,,16.0
15024,1owh:pose24,1,44,0,1owh,24,15,0.2783203125,-135.74458098681887,-28049.86446067964,-28053.086123730627,-28053.12738056572,74.29331488141294,0.9514052189603408,-60.499860886445596,198,75,8,0.0018864175071939826,True,,11.0
16039,1o5b:pose39,0,21,0,1o5b,39,16,0.2783203125,-234.17180491202464,-31391.32474735021,-31392.201982076007,-31392.262196851167,20.229513352949084,1.3885857026800714,-212.55370585639548,105,67,3,0.0014056488871574402,True,,1.0
17019,2xnb:pose19,1,50,0,2xnb,19,17,0.273193359375,-116.29112194801964,-41917.75543579897,-41920.44455469569,-41920.516776735814,62.01255494003698,1.6654798106615416,-52.613087197321114,226,222,6,0.001981510082259774,True,,14.0
18002,4eor:pose2,0,50,0,4eor,2,18,0.273193359375,-135.69629973350297,-44966.92360237608,-44967.81364116745,-44968.048886432494,20.52478211943103,5.424884686492158,-109.74663292757978,553,163,7,0.0019485930679365993,True,,3.0
19011,1pxn:pose11,0,37,0,1pxn,11,19,0.273193359375,-103.0845535481426,-36151.293641606564,-36151.73758927652,-36151.884996661596,10.237676477297851,3.3992950541501035,-89.44758201669464,529,115,7,0.0018417363753542304,True,,5.0
20011,2fvd:pose11,0,51,1,2fvd,11,20,0.273193359375,-93.90541393462917,-50944.25029801791,-50945.02708585215,-50945.15264391651,17.913153005612482,2.895437748759421,-73.09682318025726,375,69,9,0.0019413959234952927,True,,8.0
