mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
14488,138,0,,0,-6.3797,-307851.54482761264,-194591.70551983043,-113255.06817904636,-4.77112873585429,-110.02484241920864,110.02484241920864,1.0,238.0
71360,59,0,,0,-4.13627,-370473.0003857621,-194591.70551983043,-175877.14452985418,-4.150336077465909,-95.70902362754624,95.70902362754624,2.0,249.0
137158,249,0,,0,-8.04069,-245896.31893856695,-194591.70549166933,-51301.497831366345,-3.1156155313074123,-71.84780098153401,71.84780098153401,3.0,129.0
124923,57,1,8.0,0,-8.59679,-234109.07701099597,-194591.70549166933,-39514.31780063492,-3.053718691691756,-70.42042595101303,70.42042595101303,4.0,57.0
20531,33,1,8.0,0,-9.1976,-242891.13740222776,-194591.70549166933,-48296.51026243853,-2.921648119896417,-67.37480621310941,67.37480621310941,5.0,12.0
55554,157,0,,0,-7.01734,-241911.152949992,-194591.70549166933,-47316.57599591033,-2.87146241235314,-66.2174963038942,66.2174963038942,6.0,218.0
120769,245,0,,1,-8.22879,-238807.57601900908,-194591.70549166933,-44213.06896907775,-2.801558261999162,-64.60546830109752,64.60546830109752,7.0,103.0
12320,201,0,,0,-7.47717,-254040.86025865137,-194591.70549166933,-59446.35532854389,-2.79943843815272,-64.55658400189415,64.55658400189415,8.0,185.0
105310,247,0,,0,-8.39636,-240750.39705105772,-194591.70551983043,-46155.89835823,-2.793172997320653,-64.41209950390636,64.41209950390636,9.0,83.0
97280,14,1,8.0,0,-8.26199,-231012.14833337825,-194591.70551983043,-36417.74885566749,-2.693957880299422,-62.124144552317794,62.124144552317794,10.0,100.0
105740,75,0,,0,-9.01327,-235734.19822088847,-194591.70551983043,-41139.811850336,-2.680850722041214,-61.821886302380896,61.821886302380896,11.0,23.0
9478,94,0,,0,-8.14445,-269321.0745089859,-194591.70551983043,-74726.69088811282,-2.678101042663912,-61.75847718958175,61.75847718958175,12.0,120.0
14065,172,0,,0,-9.02828,-246330.4504087943,-194591.70550220693,-51736.10249775896,-2.642408828425687,-60.93539517596047,60.93539517596047,13.0,20.0
111999,243,0,,0,-7.40764,-232711.62182178948,-194591.70551983043,-38117.29098136225,-2.6253205968023394,-60.54133119326957,60.54133119326957,14.0,190.0
