mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
15824,L1:P06239:15824,0,58,0,6.0,CN(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)ccc(Cl)c3F)c2F)c(-c2ccnc(NC3CC3)n2)s1,-7.82404,7.82404,-26.436879506825544,-80626.40398049419,-80627.08836493787,-80627.60884578104,15.782280198031645,12.002573378925083,1.3479740701311833,573,300,10,0.0018921314040198922,True,,3.0
16292,L1:P06239:16292,0,58,1,8.684,CC#CC(=O)N1CCC[C@H](C1)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12 |r|,-7.7817,7.7817,11.176076302201318,-40413.96643341288,-40414.60378732687,-40414.69359876934,14.697730418587097,2.071101064835192,27.944907785623606,391,300,6,0.0016579293878749013,True,,9.0
16940,L1:P06239:16940,0,79,2,6.2907,CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl,-7.27125,7.27125,-41.71425315752411,-67080.01173811192,-67080.40203493088,-67080.80182124814,9.000458461880786,9.219291491093974,-23.494503204549353,473,283,12,0.0019174095941707492,True,,1.0
18189,L1:P06239:18189,0,40,3,7.301,Cc1ncc2c(C(N)=O)c(N)n(-c3c(C)c(O)cc(F)c3C)c2n1,-7.14998,7.14998,-4.022906614238729,-31136.507629068867,-31137.1177688938,-31137.170330691115,14.070158616252948,1.2121038410322715,11.25935584304649,105,97,8,0.0018446433823555708,True,,5.0
31540,L1:P06239:31540,0,46,4,7.301,Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2cnc(NCCO)nc21,-7.54571,7.54571,-15.592107517105804,-33059.83124515615,-33060.78686635037,-33061.419501474724,22.037148257219993,14.58891254452147,21.033953284635658,377,137,11,0.0018253361340612173,True,,8.0
43152,L1:P06239:43152,0,58,5,8.8239,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)nccc2Cl)cc(n1)N1CCN(CCO)CC1,-7.07122,7.07122,-16.998213786205856,-61586.47803699299,-61587.30064199144,-61587.788150314926,18.96972191249535,11.242209011606489,13.213717137895982,732,199,11,0.0019310801289975643,True,,6.0
72037,L1:P06239:72037,0,68,6,8.585,CN(C)C\C=C\C(=O)N1CCC(CC1)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12,-8.22696,8.22696,-8.37559944903926,-44095.2695200458,-44095.979258185405,-44096.30469776053,16.366950315663665,7.504814888221502,15.496165754845908,987,272,11,0.0018757039215415716,True,,7.0
72174,L1:P06239:72174,0,59,7,8.8239,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,-7.38257,7.38257,7.32194305212817,-61150.01660481427,-61150.76949799198,-61150.964914715405,17.362129135983402,4.506416697367998,29.190488885479567,508,227,11,0.001953494269400835,True,,10.0
102288,L1:P06239:102288,0,47,8,7.1249,COc1cc(F)c(C)c(-n2c(N)c(C(N)=O)c3cc(C)c(C)nc32)c1C,-7.52234,7.52234,-20.52388724003828,-32840.06888198915,-32840.52456445919,-32840.692755999735,10.50828739595995,3.8785890653850346,-6.137010778693297,252,103,10,0.00196990673430264,True,,2.0
104832,L1:P06239:104832,0,41,9,7.301,Cc1cc2c(C(N)=O)c(N)n(-c3c(C)cc(F)c(O)c3Cl)c2nc1C,-8.20561,8.20561,-10.76876744871674,-43207.62247506161,-43208.100105454934,-43208.22526619515,11.014418530627232,2.886275236255354,3.131926318165845,212,95,8,0.0018496729899197817,True,,4.0
