mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
20305,L1:P0C6U8:20305,0,76,0,6.0458,CCCCC1CCC(COC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CC1,-6.40839,6.40839,71.84857100902248,-41361.7298457231,-41362.48770556719,-41363.069010571526,17.47666318351225,13.405211856672496,102.73044604920723,950,221,19,0.0017699837917461991,True,,9.0
20766,L1:P0C6U8:20766,0,69,1,7.5229,CC(C)c1ccc(F)c2[nH]c(C(=O)N3C[C@H]4[C@@H]([C@H]3C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)C4(C)C)cc12,-8.06053,8.06053,41.227777577444485,-45434.314320710895,-45435.22701814797,-45435.36015419315,21.0473029025238,3.070190137862891,65.34527061783118,275,239,13,0.001922097522765398,True,,4.0
34868,L1:P0C6U8:34868,0,65,2,7.2757,O=C[C@H](CC1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,-7.88401,7.88401,67.59585292294383,-40625.04681008464,-40625.731226799275,-40626.1257835927,15.783024383885522,9.098695806739974,92.47757311356932,302,227,11,0.0015446121105924249,True,,8.0
48138,L1:P0C6U8:48138,0,59,3,7.3979,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,-7.87003,7.87003,63.54675353282527,-43228.50877439507,-43229.59404701291,-43229.75328180924,25.0269811130028,3.672041636912095,92.24577628274017,745,251,11,0.001962029840797186,True,,7.0
52582,L1:P0C6U8:52582,0,91,4,7.2757,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O |r|,-6.36328,6.36328,25.17072291458696,-54296.08401551994,-54297.211927233395,-54297.608730591484,26.01026201683346,9.1505028185738,60.331487749994224,721,283,23,0.0018196520395576954,True,,2.0
56675,L1:P0C6U8:56675,0,67,5,7.699,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,-6.91533,6.91533,25.669590369032598,-48195.90135322729,-48196.816847611866,-48196.9670870674,21.111802044242026,3.464604150422186,50.24599656369681,395,220,16,0.0018330694874748588,True,,1.0
60488,L1:P0C6U8:60488,0,64,6,7.8239,[H][C@]12CN([C@H](C(=O)N[C@@H](C[C@]3([H])CCNC3=O)C=O)[C@@]1([H])C2(C)C)C(=O)COc1ccc(OC(F)(F)F)cc1 |r|,-7.17624,7.17624,50.70705544144232,-50281.98873284133,-50282.70370580411,-50282.92865834361,16.48766820574421,5.187528796801118,72.38225244398765,422,177,14,0.001457530539482832,True,,5.0
72398,L1:P0C6U8:72398,-1,63,7,7.301,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S([O-])(=O)=O,-6.69867,6.69867,71.28717118081747,-53983.78034908338,-53986.41107659228,-53986.9959827246,60.66601754827712,13.488255840717935,145.44144456981252,586,128,17,0.0017656924901530147,True,,10.0
85332,L1:P0C6U8:85332,0,60,8,7.284,CC1(C)[C@@H]2[C@@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)N(C(=O)c3cc4ccccc4[nH]3)C[C@@H]21,-7.6989,7.6989,33.821041328686896,-39520.53459192107,-39521.578615516446,-39521.87119376198,24.0757560575382,6.747014625357743,64.64381201158284,509,282,10,0.0015470592770725489,True,,3.0
93662,L1:P0C6U8:93662,0,65,9,7.2757,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,-8.05825,8.05825,59.11411064006492,-40624.947869473755,-40625.678988208216,-40626.06881687375,16.859998545883936,8.989662587229546,84.96377177317841,1000,243,11,0.002678921213373542,False,,6.0
