mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
20305,0,L1,P0C6U8,6.0458,CCCCC1CCC(COC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CC1,0,-6.40839,6.40839,-375172.09988471196,-333816.7854945066,-41358.43003912823,71.84857100902248
20766,1,L1,P0C6U8,7.5229,CC(C)c1ccc(F)c2[nH]c(C(=O)N3C[C@H]4[C@@H]([C@H]3C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)C4(C)C)cc12,0,-8.06053,8.06053,-379246.94932073355,-333816.7854945066,-45431.95163187148,41.227777577444485
34868,2,L1,P0C6U8,7.2757,O=C[C@H](CC1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,0,-7.88401,7.88401,-374436.69468691596,-333816.7854945066,-40622.84042602183,67.59585292294383
48138,3,L1,P0C6U8,7.3979,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,0,-7.87003,7.87003,-377041.17130997556,-333816.7854945066,-43227.14146351339,63.54675353282527
52582,4,L1,P0C6U8,7.2757,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O |r|,0,-6.36328,6.36328,-388107.86551726336,-333816.7854945066,-54292.17152860908,25.17072291458696
56675,5,L1,P0C6U8,7.699,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,0,-6.91533,6.91533,-382009.3294020193,-333816.7854945066,-48193.65704630534,25.669590369032594
60488,6,L1,P0C6U8,7.8239,[H][C@]12CN([C@H](C(=O)N[C@@H](C[C@]3([H])CCNC3=O)C=O)[C@@]1([H])C2(C)C)C(=O)COc1ccc(OC(F)(F)F)cc1 |r|,0,-7.17624,7.17624,-384094.140323697,-333816.7854945066,-50279.55369522837,50.707055441442314
72398,7,L1,P0C6U8,7.301,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S([O-])(=O)=O,-1,-6.69867,6.69867,-387795.7967524928,-333816.7854945066,-53982.10256230838,71.28717118081747
85332,8,L1,P0C6U8,7.284,CC1(C)[C@@H]2[C@@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)N(C(=O)c3cc4ccccc4[nH]3)C[C@@H]21,0,-7.6989,7.6989,-373333.53653482604,-333816.7854945066,-39518.21765948119,33.821041328686896
93662,9,L1,P0C6U8,7.2757,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,0,-8.05825,8.05825,-374437.22511073615,-333816.7854945066,-40623.00304668552,59.114110640064915
