mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
8816,L1:Q6GI75:8816,0,39,0,6.4802,Cn1c(C2CC(=O)N(c3cccc(Br)c3Cl)C2)nc2ccccc21,-8.31623,8.31623,21.611940493378736,-108016.78542261326,-108017.24676906079,-108017.28018463268,10.63890181965975,0.7705813938182448,33.02142370685674,213,73,3,0.0016300505958497524,True,,7.0
17359,L1:Q6GI75:17359,0,42,1,6.7595,Cc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.37366,8.37366,14.982380191065868,-96579.32235851158,-96579.76779225006,-96579.82949601083,10.271946031621063,1.422922526646959,26.67724874933389,427,38,4,0.001811221125535667,True,,5.0
19802,L1:Q6GI75:19802,0,39,2,6.644,Cn1c(C2CC(=O)N(c3cccc(F)c3F)C2)nc2ccccc21,-8.44092,8.44092,-13.358546558801946,-30882.54527441541,-30883.031714779063,-30883.102630826317,11.21758127276246,1.635362899665905,-0.5056023863735799,264,83,3,0.0019630573224276304,True,,1.0
23754,L1:Q6GI75:23754,0,43,3,6.1871,Cc1c(O)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.55052,8.55052,31.14455162978405,-28597.48419405759,-28598.072143913665,-28598.200636823403,13.558445778029634,2.9631168909147876,47.66611429872847,295,79,5,0.001855437527410686,True,,8.0
36324,L1:Q6GI75:36324,0,48,4,6.1278,CCCn1c(C2CC(=O)N(c3cccc(Br)c3C)C2)nc2ccccc21,-7.98423,7.98423,3.869777285947064,-98720.29989091659,-98720.71386010798,-98720.83723378328,9.546356338402827,2.8450645404247195,16.261198164774612,553,175,6,0.0015342319384217262,True,,2.0
37901,L1:Q6GI75:37901,0,49,5,7.3768,CN(Cc1oc2ccccc2c1C)C(=O)\C=C\c1cnc2NC(=O)CCc2c1,-8.21186,8.21186,45.49823347348479,-33791.12169365559,-33791.65449937888,-33792.041776409336,12.286791866378474,8.930820484595024,66.71584582445828,923,268,7,0.0019083359511569142,True,,10.0
90964,L1:Q6GI75:90964,0,42,6,7.0269,Cc1c(Br)cccc1N1C[C@@H](c2nc3ccccc3n2C)CC1=O,-8.37849,8.37849,13.289559577315536,-96579.32433678974,-96579.77982553717,-96579.82962444339,10.503820046577427,1.148390058643269,24.941769682536233,397,77,4,0.0019027097150683403,True,,3.0
104905,L1:Q6GI75:104905,0,39,7,6.6383,Cn1c(C2CC(=O)N(c3cccc(Cl)c3Br)C2)nc2ccccc21,-8.37163,8.37163,16.526458956507604,-108016.83690242968,-108017.27825583595,-108017.27642526494,10.17785133531957,-0.042213970355164256,26.66209632147201,115,228,3,0.0018062071176245809,True,,4.0
125406,L1:Q6GI75:125406,0,43,8,6.7011,COc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.24629,8.24629,40.26921367729,-98627.0860392068,-98627.54181923532,-98627.61460053283,10.510537148056033,1.6783765923856315,52.45812741773166,443,28,5,0.0018810861511155963,True,,9.0
134127,L1:Q6GI75:134127,0,42,9,6.3675,Cc1c(Cl)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.48952,8.48952,17.112336692110294,-39057.308923522825,-39057.81009050435,-39057.84061071171,11.557185148497439,0.7038127017419951,29.373334542349728,238,167,4,0.0019253797363489866,True,,6.0
