mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
6252,0,L1,Q86WV6,6.1079,O=C(Nc1ccc(OCCCC(F)(F)F)cc1)c1ccc([N+](=O)[O-])o1,0,-8.1673,8.1673,-467400.07454605406,-430249.7686256681,-37152.743884523894,56.220788611503835
44378,1,L1,Q86WV6,6.4815,N#Cc1ccc(NC(=O)Nc2c[nH]c3ccc(F)cc23)cc1,0,-8.64632,8.64632,-457761.01370430004,-430249.7686256681,-27513.602465396507,54.36263023892243
47502,2,L1,Q86WV6,6.4949,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2cc(F)c(Cl)cc12,0,-8.8506,8.8506,-476934.6414073537,-430249.7686256681,-46687.150221038115,52.51899911973584
55811,3,L1,Q86WV6,7.1739,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2ccc(Br)cc12,0,-8.54579,8.54579,-531754.5563767436,-430249.7686256681,-101506.95945360613,50.08065008108668
56848,4,L1,Q86WV6,6.567,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2cc(F)c(F)cc12,0,-9.29276,9.29276,-467128.8741938756,-430249.7686256681,-36880.99362546588,43.539634713658174
71154,5,L1,Q86WV6,7.0655,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2ccc(F)cc12,0,-8.87694,8.87694,-464426.67163910606,-430249.7686256681,-34179.00327130827,48.43309707429058
76654,6,L1,Q86WV6,6.5607,O=C(Nc1ccc(C(F)(F)F)cc1F)Nc1c[nH]c2ccc(Cl)cc12,0,-8.80199,8.80199,-476934.4089769552,-430249.7686256681,-46686.97680013203,53.87979034128894
101630,7,L1,Q86WV6,7.0269,O=C(Nc1cccc(C(F)(F)F)c1)Nc1c[nH]c2ccc(Cl)cc12,0,-8.71282,8.71282,-474230.94867641316,-430249.7686256681,-43984.93981767802,86.70228518905854
110106,8,L1,Q86WV6,7.0809,Cn1cnc2n(cc(F)c2c1=O)[C@@H]1O[C@@H]2COP(O)(=O)O[C@@H]3[C@@H](COP(O)(=O)O[C@@H]1[C@@H]2O)O[C@H]([C@@H]3F)n1cnc2c(N)ncnc12 |r|,0,-7.4134,7.4134,-514001.5304989479,-430249.7686256681,-83753.23310580902,33.927428109711435
143720,9,L1,Q86WV6,6.7696,Cn1cnc2c(c(F)cn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c1=O,0,-7.03244,7.03244,-522135.6080844814,-430249.7686256681,-91886.7639796742,21.31995753300016
