mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
15830,L1:Q86X55:15830,0,93,0,8.5528,N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCNC(=N)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O,-7.44335,7.44335,22.024606480265707,-73209.35275617059,-73211.74585564176,-73213.01311690258,55.18618481834458,29.223738919246927,106.43453021785722,928,300,30,0.001847415929660201,True,,9.0
15838,L1:Q86X55:15838,0,113,1,8.5528,N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCNC(=N)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,-7.1554,7.1554,42.5215562832281,-85203.14375330294,-85206.04348464962,-85207.78052621924,66.8693934161177,40.05713020000675,149.44807989935256,1000,189,38,0.0023645972833037376,False,,10.0
67197,L1:Q86X55:67197,0,48,2,6.4157,C[C@@H]1CCCC[C@@H]1Oc1ccccc1CN(C)CCN,-7.6959,7.6959,34.12197916646687,-23128.388604094656,-23128.528837453247,-23128.843386985558,3.2338580732175206,7.253684534968248,44.60952177465264,389,138,9,0.0018055606633424759,True,,5.0
96489,L1:Q86X55:96489,0,51,3,7.3188,CN(CCN)Cc1ccccc1OC1CCC(C)(C)CC1,-8.15012,8.15012,51.94661949158656,-24198.835958226773,-24199.011552799475,-24199.337242202244,4.049307042587231,7.5105760504815935,63.50650258465539,339,108,10,0.0019823501352220774,True,,7.0
118699,L1:Q86X55:118699,0,38,4,6.0,c1ccc(cc1)CC2CCN(CC2)CCN,-7.24154,7.24154,23.219558622424508,-17869.237178960226,-17869.355231831403,-17869.45476483461,2.7223638823305696,2.295285581147409,28.237208085902488,144,170,5,0.0019486942328512669,True,,2.0
122709,L1:Q86X55:122709,0,42,5,7.3372,CN(CCN)Cc1ccccc1OCc1ccc(Cl)c(Cl)c1,-7.95424,7.95424,26.897854203031088,-48046.204679158516,-48046.460748127894,-48046.56009052022,5.905090716284397,2.2908899898938073,35.09383490920929,268,88,9,0.0019366946071386337,True,,3.0
123696,L1:Q86X55:123696,0,43,6,7.0809,CC(C)Oc1ccc(-c2c[nH]cc2CNCCN)cc1,-7.70523,7.70523,-11.715174865614731,-23499.979785170173,-23500.40620750247,-23500.46581049583,9.833532589980907,1.3744776791932984,-0.507164596440526,251,262,10,0.0017858740175142884,True,,1.0
127043,L1:Q86X55:127043,0,46,7,7.5229,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O,-8.14554,8.14554,17.883655096347045,-44879.98953613678,-44881.05524719656,-44881.54288434543,24.575880867559032,11.245179795543134,53.704715759449215,367,243,12,0.0017419325886294246,True,,6.0
127161,L1:Q86X55:127161,0,56,8,7.6778,CNCC(O)CN1CCc2c(C1)cccc2OCc1ccc(cc1)-c1nccs1,-8.46408,8.46408,56.6908791925515,-43714.32410246296,-43714.724405762354,-43714.957694788915,9.231213382413147,5.379772755360861,71.30186533032551,438,198,10,0.0018372067715972662,True,,8.0
138520,L1:Q86X55:138520,0,48,9,7.1938,C[C@H]1CCCC[C@@H]1Oc1ccccc1CN(C)CCN,-7.64605,7.64605,28.584850999455263,-23128.49903525916,-23128.581057847765,-23128.899181471723,1.8914858277275943,7.3361050463320385,37.81244187351489,281,165,9,0.001952150254510343,True,,4.0
