mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
35301,0,L1,Q8N1Q1,7.7696,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0,-5.46897,5.46897,-255424.8760815819,-217394.60053243037,-38030.35867247814,1.9168694492324794
35426,1,L1,Q8N1Q1,7.1938,NS(=O)(=O)c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,0,-6.21668,6.21668,-256925.31464003358,-217394.60053243037,-39530.29696643428,-9.619503878259787
35427,2,L1,Q8N1Q1,6.1481,Cc1ccc(NC2CCN(CCc3ccc(S(N)(=O)=O)cc3)CC2)cc1,0,-5.91851,5.91851,-257995.46821574622,-217394.60053243037,-40600.82862209775,-0.9007730883163604
35430,3,L1,Q8N1Q1,7.0555,CCC(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccc(cc3)S(=O)(=O)N,0,-6.39703,6.39703,-262150.4574549572,-217394.60053243037,-44756.33739139653,11.079875351269376
35431,4,L1,Q8N1Q1,6.1669,NS(=O)(=O)c1ccc(CCN2CCC(N(C(=O)CCl)c3ccccc3)CC2)cc1,0,-5.7296,5.7296,-273589.8997490756,-217394.60053243037,-56194.16262196246,-26.210496045751416
35432,5,L1,Q8N1Q1,6.1746,CCCCCCCCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,0,-5.69921,5.69921,-270713.4772579588,-217394.60053243037,-53318.25918123474,-14.240909721936047
35433,6,L1,Q8N1Q1,6.1701,CCC(=O)N(c1ccc(C)cc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,0,-6.4829,6.4829,-263221.1420407617,-217394.60053243037,-45827.341423644844,18.446485347467252
35468,7,L1,Q8N1Q1,7.0362,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,0,-5.45244,5.45244,-260992.1227143509,-217394.60053243037,-43597.78444650034,6.047964887009153
35485,8,L1,Q8N1Q1,6.341,N=C(N)c1ccc2nc(-c3cc(CC(=O)N[C@@H](CC(=O)O)C(=O)O)cc(-c4cc(S(N)(=O)=O)ccc4O)c3O)[nH]c2c1,0,-6.61274,6.61274,-282985.3069493707,-217394.60053243037,-65591.42114493821,16.482019180698146
85942,9,L1,Q8N1Q1,7.0132,CCCCCCCCCCCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,0,-5.49933,5.49933,-273924.1231471947,-217394.60053243037,-56529.9300415675,9.395485282459976
