mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
18571,L1:Q9UBN7:18571,0,44,0,8.3279,C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C |r|,-7.23786,7.23786,19.47669523614133,-27125.216511976338,-27125.579037705877,-27125.86256134738,8.360041925861896,6.538210496034357,34.374947658037584,595,219,12,0.0018754652701318264,True,,1.0
27234,L1:Q9UBN7:27234,0,37,1,8.7423,CC[C@@H](Nc1ncc(C(=O)NO)cc1F)c1ccccc1,-7.36719,7.36719,39.83493751777383,-27114.278895431533,-27114.611008888012,-27114.685793083936,7.65871824833585,1.7245645270731456,49.21822029318283,455,116,8,0.0018181337509304285,True,,3.0
29334,L1:Q9UBN7:29334,0,74,2,8.0487,CC(=O)SCC(=O)NCCCCCOc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,-7.54245,7.54245,71.32806084567297,-73723.36145739105,-73724.74052478108,-73724.9805723552,31.802049509587142,5.53562856452685,108.66573891978696,971,216,20,0.001945456606335938,True,,10.0
42051,L1:Q9UBN7:42051,0,40,3,7.3098,O=C(CCCCCONC(=O)c1nc(-c2ccsc2)cs1)NO,-6.30757,6.30757,32.36246847868006,-49143.421090271964,-49143.85559034238,-49144.18903028958,10.019809656154056,7.689307851056934,50.07158598589104,419,61,12,0.001968644093722105,True,,4.0
43508,L1:Q9UBN7:43508,0,47,4,7.7696,O=C(CCCCCC(=O)N1CCc2c([nH]c3ccccc23)C1)NO,-7.05676,7.05676,53.70654508883543,-29672.237647739952,-29672.970447170344,-29673.130253718795,16.89875631481276,3.6852265541873472,74.29052795783555,384,201,9,0.001835447852499783,True,,8.0
67143,L1:Q9UBN7:67143,0,55,5,6.301,COc1ccc(-c2ccc3cc(OCCCCCCC(=O)NO)ccc3n2)cc1,-7.50119,7.50119,44.653595288740426,-35465.97793111953,-35466.36845504879,-35466.90113906693,9.005695749656574,12.283985279020861,65.94327631741785,849,207,13,0.001749422517605126,True,,6.0
83097,L1:Q9UBN7:83097,0,69,6,7.6198,CC(C)(C)CC(C)(C)NC(=O)CN(Cc1ccc(C(=O)NO)cc1)C(=O)c1c[nH]c2ccccc12,-6.67775,6.67775,39.53599131146966,-42731.60726289991,-42732.424694643145,-42732.513004231885,18.85042381313514,2.0364674950463795,60.422882619651176,201,284,18,0.0018477042904123664,True,,5.0
92479,L1:Q9UBN7:92479,0,43,7,7.7959,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)C(=O)CCC3)cc1,-7.5497,7.5497,56.91597341446939,-30174.873802993956,-30175.503060561703,-30175.560212989752,14.511024238811384,1.3179663006703215,72.7449639539511,177,121,5,0.0015973232220858335,True,,7.0
133621,L1:Q9UBN7:133621,0,69,8,8.284,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=NOCCCCCCC(=O)NO,-6.59647,6.59647,11.29276583071642,-49846.65228155743,-49847.84220865665,-49848.08765197636,27.440370786551206,5.660057413939456,44.39319403120708,213,300,14,0.0019325768807902932,True,,2.0
143030,L1:Q9UBN7:143030,0,41,9,8.4202,COc1cc(Cn2cc3ccc(C(=O)NO)cc3n2)cc(OC)c1,-7.77934,7.77934,64.23861541734242,-30582.573783416057,-30583.13299816003,-30583.276879599915,12.895798350932843,3.317984826433409,80.45239859470867,227,99,9,0.0017671094974502921,True,,9.0
