mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1856,L2:Q13224:1856,0,58,0,6.9547,Cc1ccc(N2CCN(C[C@H](O)COc3ccc4c(c3)CCC(=O)N4)CC2)cc1,-5.58225,5.58225,-6.614727201711145,-34958.906350687,-34959.427671187106,-34959.64198566754,12.02193632776517,4.942209326885407,10.349418452939432,382,150,8,0.0018060968723148108,True,,5.0
6980,L2:Q13224:6980,0,54,1,7.2218,Cl.c1ccc(CN2CCCC3(CC2)C[C@H](c2ccccc2)CCO3)cc1,-5.84976,5.84976,10.889907649620667,-27880.436262231247,-27880.436435499552,-27880.454252056792,0.0039956620334614,0.4108595704033394,11.304762882057467,219,93,3,0.001529367407783866,True,,6.0
15517,L2:Q13224:15517,0,58,2,6.5817,Oc1ccccc1CN1CCC2(CC1)CC(CCc1ccccc1)CCO2,-5.93224,5.93224,-0.5009807443249396,-30999.32557070662,-30999.414937886737,-30999.624873842877,2.06085613157156,4.8412381579289585,6.401113545175579,560,133,6,0.001903823809698224,True,,4.0
23218,L2:Q13224:23218,0,57,3,6.6073,c1ccc(C2CCOC3(CCN(Cc4ccc5ccccc5c4)CC3)C2)cc1,-6.46451,6.46451,-16.81765667358206,-30993.575306045794,-30993.63735236245,-30993.7856812749,1.430822052960601,3.4205459802558646,-11.966288640365596,469,281,3,0.0019169843290001154,True,,1.0
28425,L2:Q13224:28425,0,60,4,6.5452,O=C(OC1CCOC2(CCN(Cc3ccccc3)CC2)C1)C1CCCCC1,-5.74039,5.74039,7.392576688564088,-32042.847773812824,-32042.97953301414,-32043.246440343195,3.038439364041976,6.155029228044797,16.58604528065086,653,192,5,0.0019456367008388042,True,,10.0
63129,L2:Q13224:63129,0,52,5,6.3635,c1ccc(CN2CCC3(CC2)CC(C2CCCO2)CCO3)cc1,-5.53127,5.53127,11.10342492914463,-26815.45813742609,-26815.523914199886,-26815.662391288406,1.5168484383022516,3.193357523253894,15.813630890700775,324,163,3,0.0019420016324147582,True,,8.0
82186,L2:Q13224:82186,0,59,6,7.6778,c1cc2c(cc1C1CCOC3(CCN(CC4CCCC4)CC3)C1)CCO2,-6.0794,6.0794,14.409974477402772,-29993.986711645,-29993.984941724986,-29994.074985041134,-0.04081532514705126,2.0764481988535426,16.445607351109263,339,57,3,0.0019862207118421793,True,,9.0
89442,L2:Q13224:89442,0,46,7,6.8069,C1=C(c2ccco2)CC2(CCN(Cc3ccccc3)CC2)OC1,-5.50512,5.50512,0.7456892437463135,-26716.33767395951,-26716.46930295166,-26716.52303948905,3.035436669342707,1.2391939907187401,5.02031990380776,234,155,3,0.001855803420767188,True,,3.0
110926,L2:Q13224:110926,0,55,8,6.1778,Clc1ccc(CN2CCC3(CC2)CC(c2ccc4[nH]ccc4c2)CCO3)cc1,-6.04754,6.04754,-1.451942913163379,-42900.59128483833,-42900.876293236906,-42901.20375567914,6.5724498074872715,7.551463311864071,12.671970206187963,618,300,3,0.0017987937899306417,True,,7.0
142921,L2:Q13224:142921,0,46,9,6.8477,C1=C(c2ccco2)CCOC12CCN(Cc1ccccc1)CC2,-5.71623,5.71623,-1.783338661480451,-26716.236480859297,-26716.39617102884,-26716.49894566476,3.682542792783027,2.370039407439389,4.269243538741965,258,114,3,0.0012051294324919581,True,,2.0
