mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
6435,L2:Q6P179:6435,0,69,0,6.6021,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCCN3CCOCC3)cc12,-9.01608,9.01608,35.51880744075197,-41697.5553942964,-41698.32765700026,-41698.69989829662,17.808801020170804,8.584088219110695,61.91169668003347,603,170,17,0.0017454009503126144,True,,3.0
11256,L2:Q6P179:11256,0,58,1,7.7212,COc1ccc(C[C@@H](C(=O)NO)n2cc(CNS(=O)(=O)c3ccc(s3)-c3ccccc3)nn2)cc1 |r|,-10.12116,10.12116,2.989505056257159,-63610.766956416366,-63611.576553937644,-63611.90578493083,18.669762362986337,7.592247065682749,29.251514484926243,713,192,13,0.0019513635197654366,True,,1.0
27411,L2:Q6P179:27411,0,57,2,6.0706,ONC(=O)C[C@H](Cc1ccc(O)cc1)n1nncc1CNS(=O)(=O)c1ccc(s1)-c1ccccn1 |r|,-9.98833,9.98833,50.50483872790118,-64047.49530051896,-64048.63488556796,-64048.961852078515,26.279455529539938,7.540026855652283,84.3243211130934,802,192,13,0.0018885339377447963,True,,6.0
75054,L2:Q6P179:75054,0,65,3,6.699,O=C(NO)C(CC1CCOCC1)C(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,-10.38252,10.38252,43.74994834803694,-42200.425515722156,-42201.405378335236,-42201.91172782956,22.596168656357523,11.67669673287389,78.02281373726835,617,138,13,0.001980442786589265,True,,4.0
75377,L2:Q6P179:75377,0,66,4,7.4685,O=C(NO)C(CC1CCCCC1)C(=O)NCCc1c[nH]c2ccc(OCc3ccncc3)cc12,-10.34671,10.34671,89.73383400424308,-41660.27214890347,-41660.94157135137,-41661.01071086199,15.437248378849008,1.5943949916080613,106.76547737470014,239,300,13,0.0016948003321886063,True,,10.0
78121,L2:Q6P179:78121,0,62,5,6.8239,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3ccc(Cl)nc3)cc12,-9.66091,9.66091,78.61177409259135,-52060.32133974771,-52060.961387305295,-52061.26198873228,14.759847315594651,6.932033584938538,100.30365499312454,611,63,16,0.0019207738805562258,True,,9.0
98715,L2:Q6P179:98715,0,62,6,6.1367,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3ccccn3)cc12,-9.91378,9.91378,54.140630509289295,-39551.67099773872,-39552.427766837216,-39553.101920029505,17.451509992561306,15.546341935943607,87.1384824377942,515,221,16,0.0018538613803684711,True,,7.0
110306,L2:Q6P179:110306,0,57,7,8.3979,COc1ccc(C[C@@H](C(=O)NO)n2cc(CNS(=O)(=O)c3ccc(s3)-c3ccccn3)nn2)cc1 |r|,-9.5241,9.5241,13.874316678875491,-64047.601255762085,-64048.43118642473,-64048.74864923869,19.138655741980013,7.320866405777778,40.33383882663328,802,115,13,0.0019997498020529747,True,,2.0
113843,L2:Q6P179:113843,0,62,8,6.9586,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3cccnc3)cc12,-9.55071,9.55071,66.90620577493507,-39551.961439669016,-39552.749830001994,-39552.982077462446,18.180712982847226,5.355753670284317,90.44267242806661,797,203,16,0.001956483582034707,True,,8.0
129105,L2:Q6P179:129105,0,62,9,6.8239,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3ccncc3)cc12,-9.36266,9.36266,63.99284505038359,-39552.047815024736,-39552.72328522292,-39552.92820055547,15.576712813391003,4.725459827489954,84.29501769126455,512,260,16,0.001995595172047615,True,,5.0
