mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
6435,0,L2,Q6P179,6.6021,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCCN3CCOCC3)cc12,0,-9.01608,9.01608,-395391.01019524864,-353696.8120918432,-41695.738344673824,35.51880744075197
11256,1,L2,Q6P179,7.7212,COc1ccc(C[C@@H](C(=O)NO)n2cc(CNS(=O)(=O)c3ccc(s3)-c3ccccc3)nn2)cc1 |r|,0,-10.12116,10.12116,-417306.2988374692,-353696.8120918432,-63609.61638283486,2.989505056257159
27411,2,L2,Q6P179,6.0706,ONC(=O)C[C@H](Cc1ccc(O)cc1)n1nncc1CNS(=O)(=O)c1ccc(s1)-c1ccccn1 |r|,0,-9.98833,9.98833,-417740.67567757337,-353696.8120918432,-64046.05368282145,50.50483872790118
75054,3,L2,Q6P179,6.699,O=C(NO)C(CC1CCOCC1)C(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,0,-10.38252,10.38252,-395893.95138357556,-353696.8120918432,-42199.03646905308,43.74994834803694
75377,4,L2,Q6P179,7.4685,O=C(NO)C(CC1CCCCC1)C(=O)NCCc1c[nH]c2ccc(OCc3ccncc3)cc12,0,-10.34671,10.34671,-395351.6992613526,-353696.8120918432,-41658.778396841146,89.73383400424308
78121,5,L2,Q6P179,6.8239,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3ccc(Cl)nc3)cc12,0,-9.66091,9.66091,-405752.64242450404,-353696.8120918432,-52059.2392618272,78.61177409259135
98715,6,L2,Q6P179,6.1367,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3ccccn3)cc12,0,-9.91378,9.91378,-393244.48065683525,-353696.8120918432,-39550.01632493715,54.140630509289295
110306,7,L2,Q6P179,8.3979,COc1ccc(C[C@@H](C(=O)NO)n2cc(CNS(=O)(=O)c3ccc(s3)-c3ccccn3)nn2)cc1 |r|,0,-9.5241,9.5241,-417742.5387560786,-353696.8120918432,-64046.328311550096,13.874316678875491
113843,8,L2,Q6P179,6.9586,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3cccnc3)cc12,0,-9.55071,9.55071,-393244.6177353299,-353696.8120918432,-39550.70697116832,66.90620577493507
129105,9,L2,Q6P179,6.8239,CC(C)CCC(C(=O)NO)C(=O)NCCc1c[nH]c2ccc(OCc3ccncc3)cc12,0,-9.36266,9.36266,-393244.94652594987,-353696.8120918432,-39550.90942651014,63.992845050383586
