mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
19366,0,L3,P43250,7.6576,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)C(=O)c1ccco1,0,-7.7411,7.7411,-326420.74318534543,-275959.5664088704,-50462.76637718576,36.65706322119415
24299,1,L3,P43250,7.3979,Cc1nc2ccccn2c1C(=O)Nc1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c1C,0,-8.21779,8.21779,-328486.11828467535,-275959.5664088704,-52527.73954606478,27.388326833670202
49258,2,L3,P43250,7.4437,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)[C@@H](O)c1ccco1,0,-8.0567,8.0567,-326453.9708612819,-275959.5664088704,-50495.74690302911,30.95764667727726
49900,3,L3,P43250,7.2076,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)[C@H](O)c1ccco1,0,-7.92268,7.92268,-326455.06238227716,-275959.5664088704,-50495.95040020051,10.479330812679931
52327,4,L3,P43250,7.3979,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)C1CCCO1,0,-7.72201,7.72201,-323402.85356335517,-275959.5664088704,-47443.23791610005,-1.1354641260103775
62496,5,L3,P43250,6.6576,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)c1cccs1,0,-7.72747,7.72747,-332124.63388202764,-275959.5664088704,-56166.53930865011,33.94133278196385
63987,6,L3,P43250,7.0,Cc1nc(C(=O)Nc2c(C)[nH]c(/C=C3\C(=O)Nc4ccc(C(=O)N[C@H](C)c5ccc(F)cc5)cc43)c2C)c(C)s1,0,-7.93863,7.93863,-334702.4942009053,-275959.5664088704,-58744.635131707924,39.372188192271736
91322,7,L3,P43250,6.7212,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)c1ccc(F)nc1,0,-7.8345,7.8345,-326535.30807632,-275959.5664088704,-50576.84384932989,25.416917968660613
100564,8,L3,P43250,7.2218,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)[C@H]1CCOC1,0,-7.90768,7.90768,-323402.5533664393,-275959.5664088704,-47443.27334963082,6.604357842052497
123039,9,L3,P43250,7.4815,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccc(F)cc4)cc32)c(C)c1NC(=O)C1CCOCC1,0,-7.86591,7.86591,-324472.0951199645,-275959.5664088704,-48513.4726282777,21.767247360178207
