mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
12327,0,L3,Q92830,7.6108,CN1CC(C)(C)C[C@H]1C(=O)N[C@@H]1CC[C@@H](Oc2cccc(C(=O)NS(C)(=O)=O)c2-c2cccc(F)c2C2CCC2)C1,0,-7.15577,7.15577,-264206.9299390169,-203116.52591334688,-61090.26647904157,-3.1719006036790427
23850,1,L3,Q92830,9.6778,CCS(=O)(=O)NC(=O)[C@H](C)c1ccc(O[C@@H]2CC[C@@H](NC(=O)[C@@]3(F)CNC4(CCC4)C3)C2)c(-c2ccccc2C(C)C)c1,0,-7.85758,7.85758,-266348.58146709617,-203116.52591334688,-63232.76307763147,16.31588832627253
30945,2,L3,Q92830,6.6556,CC(C)S(=O)(=O)NC(=O)C(C)(C)c1ccc(O[C@@H]2CC[C@@H](NC(=O)[C@@]3(F)CNCC(C)(C)C3)C2)c(-c2cccc(F)c2C2CCC2)c1,0,-8.00098,8.00098,-272261.7114195016,-203116.52591334688,-69144.3993975862,-18.128094243951665
31993,3,L3,Q92830,7.8665,CC1(C)C[C@](F)(C(=O)N[C@@H]2CC[C@@H](Oc3ccc(C(C)(C)C(=O)NS(=O)(=O)N4CCC4)cc3-c3cccc(F)c3C3CCC3)C2)CN1,0,-7.72276,7.72276,-272664.32460247615,-203116.52591334688,-69547.00254184252,-18.359592586233315
45193,4,L3,Q92830,9.9586,CC(C)c1ccccc1-c1cc(CC(=O)NS(=O)(=O)C2(C)CC2)ccc1O[C@@H]1CC[C@@H](NC(=O)[C@@]2(F)CNCC(C)(C)C2)C1,0,-7.76744,7.76744,-267419.75083905313,-203116.52591334688,-64302.41329450302,-18.716660182882872
53417,5,L3,Q92830,9.8539,CC(C)S(=O)(=O)NC(=O)C(C)(C)c1ccc(O[C@@H]2CC[C@@H](NC(=O)[C@]3(F)CNC4(CCC4)C3)C2)c(-c2cccc(F)c2C2CCC2)c1,0,-6.66147,6.66147,-272228.3519121881,-203116.52591334688,-69110.50068674727,-30.562422933321578
71683,6,L3,Q92830,10.3979,CCS(=O)(=O)NC(=O)C(C)(C)c1ccc(O[C@@H]2CC[C@@H](NC(=O)[C@@]3(F)CNCC4(CCC4)C3)C2)c(-c2cccc(F)c2C2CCC2)c1,0,-7.40211,7.40211,-272228.25086504384,-203116.52591334688,-69110.94860641411,-17.90294752826675
78328,7,L3,Q92830,9.9586,CC(C)c1ccccc1-c1cc(CC(=O)NS(=O)(=O)C(C)C)ccc1O[C@@H]1CC[C@@H](NC(=O)[C@@]2(F)CNC3(CCC3)C2)C1,0,-8.13514,8.13514,-266346.7545993064,-203116.52591334688,-63229.41496483959,-18.76485480655428
125008,8,L3,Q92830,10.0969,O=C(O)c1nn(C2CC2)cc1-c1ccc(O[C@@H]2CC[C@@H](NC(=O)[C@@]3(F)CNC4(CCC4)C3)C2)c(-c2cccc(F)c2C2CCC2)c1,0,-7.92155,7.92155,-260716.23927394647,-203116.52591334688,-57599.42694371183,-6.604930339780192
127198,9,L3,Q92830,8.0521,[2H]C([2H])([2H])N1CC(C)(C)C[C@H]1C(=O)N[C@@H]1CC[C@@H](Oc2ccc(C(C)(C)C(=O)O)cc2-c2cccc(F)c2C2CCC2)C1,0,-7.09901,7.09901,-251956.11879835828,-203116.52591334688,-48840.09255882548,11.522751889380556
