mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
10956,0,L3,Q9HCR9,7.3768,Cc1nn(-c2ccc(F)cc2)c2nc(-c3ccnn3C)cc(-c3nnco3)c12,0,-9.1554,9.1554,-289219.06488614983,-254073.35922134158,-35146.10641413351,9.241498983188713
12928,1,L3,Q9HCR9,7.1612,CCn1nccc1-c1cc(-c2nnc(C)o2)c2c(C)nn(-c3ccccc3)c2n1,0,-9.71167,9.71167,-288657.68808124296,-254073.35922134158,-34585.4454928094,25.750166584694632
68226,2,L3,Q9HCR9,6.9172,CCn1nccc1-c1cc(-c2nnc(C)s2)c2cnn(-c3ccc(F)cc3)c2n1,0,-9.53941,9.53941,-299078.4165227557,-254073.35922134158,-45005.66409691885,13.993036760464788
78593,3,L3,Q9HCR9,6.9318,CCn1nccc1-c1cc(-c2nnc(C)s2)c2c(C)nn(-c3ccc(F)cc3)c2n1,0,-9.74268,9.74268,-300148.9327086747,-254073.35922134158,-46075.86355706189,6.689166854841496
90524,4,L3,Q9HCR9,7.0757,CCn1nccc1-c1cc(-c2nnco2)c2cnn(-c3ccccc3F)c2n1,0,-9.34662,9.34662,-289219.0359338936,-254073.35922134158,-35145.70110237022,0.5624425697214209
96622,5,L3,Q9HCR9,7.1871,CCN(CC)C(=O)c1cc(nc2n(nc(C)c12)-c1ccc(F)cc1)-c1ccnn1C,0,-8.64061,8.64061,-290990.1194070078,-254073.35922134158,-36916.76461196604,0.102072898373829
113370,6,L3,Q9HCR9,7.9208,CCN(CC)C(=O)c1cc(nc2n(nc(C(F)F)c12)-c1ccccc1)-c1ccnn1C,0,-8.41047,8.41047,-293691.0169287933,-254073.35922134158,-39619.011311336115,31.214847120325587
121641,7,L3,Q9HCR9,7.3279,CCn1nccc1-c1cc(-c2nnc[nH]2)c2c(C)nn(-c3ccccc3F)c2n1,0,-9.15737,9.15737,-289748.23487027606,-254073.35922134158,-35675.843277487875,22.314044537798793
134889,8,L3,Q9HCR9,7.301,CCN(CC)C(=O)c1cc(nc2n(nc(C)c12)-c1ccccc1)-c1ccnn1CC,0,-8.44714,8.44714,-289358.16502864345,-254073.35922134158,-35285.18656172713,8.780405635668476
140686,9,L3,Q9HCR9,7.4089,Cc1nn(-c2ccc(F)cc2F)c2nc(-c3ccnn3C)cc(-c3nnco3)c12,0,-9.82377,9.82377,-291920.91564938845,-254073.35922134158,-37847.9002295448,7.9282508873194715
