mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
16466,0,L3,Q9NPC1,7.7201,CCCCC[C@H](O)/C=C/C=C/C/C=C\CCCC(=O)O,0,-7.24344,7.24344,-344472.8424154228,-320232.6289980584,-24240.743437897538,12.222563855612485
18761,1,L3,Q9NPC1,7.2291,CCc1cc(N2Cc3ccc(-c4ccccc4-c4nnn[nH]4)cc3C2)no1,0,-8.87467,8.87467,-352269.1401080273,-320232.6289980584,-32039.195204902855,61.896699605506825
21838,2,L3,Q9NPC1,7.5086,CCCCC(=O)N1CC2(C1)CN(c1ccccc1-c1nnn[nH]1)C2,0,-7.56807,7.56807,-349222.0018077052,-320232.6289980584,-28990.862089541082,34.343610234680526
72366,3,L3,Q9NPC1,7.0969,CCCCC(=O)N1CC2(CCN(c3ccccc3-c3nnn[nH]3)C2)C1,0,-7.50139,7.50139,-350292.7759277321,-320232.6289980584,-30061.772394379677,37.48410659838527
75604,4,L3,Q9NPC1,6.2518,CCCCC(=O)N1CC2(CCN(c3ccccc3-c3nnn[nH]3)CC2)C1,0,-6.38373,6.38373,-351364.6869306307,-320232.6289980584,-31132.876100852962,18.86740876916933
92711,5,L3,Q9NPC1,6.2154,CCCCC(=O)N1Cc2ccc(-c3ccccc3C(=O)O)cc2C1,0,-5.35146,5.35146,-348963.90470399783,-320232.6289980584,-28733.93443459684,61.31173937234644
119020,6,L3,Q9NPC1,6.8416,CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nn[nH]n1,0,-5.95132,5.95132,-352511.0954727553,-320232.6289980584,-32280.80093112403,53.83384409553343
131764,7,L3,Q9NPC1,7.0269,CCCCC(=O)N1CCC2(CC1)CN(c1ccccc1-c1nnn[nH]1)C2,0,-7.38932,7.38932,-351363.7231641449,-320232.6289980584,-31132.46424771834,31.594833002429116
132810,8,L3,Q9NPC1,7.2007,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1C(O)=O)c1ccccc1,0,-5.9108,5.9108,-354217.22995336686,-320232.6289980584,-33987.67656481172,70.92524005796643
145653,9,L3,Q9NPC1,6.9957,CCCCC(=O)N1CCC2(CCN(c3ccccc3-c3nnn[nH]3)C2)C1,0,-7.43788,7.43788,-351364.9190846872,-320232.6289980584,-31133.749514415747,33.655204285981995
