mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
12820,L3:Q9UKS7:12820,0,65,0,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc5c(c4)NC(=O)C5)CC3)C2=O)C(=O)N1,-5.92337,5.92337,-19.2233733394036,-45721.332610413876,-45722.31399585714,-45722.31891624626,22.631285954686362,0.11346686859201405,3.5213794838747754,144,250,3,0.0018835111986845732,True,,5.0
18889,L3:Q9UKS7:18889,0,60,1,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc(F)c(F)c4)CC3)C2=O)C(=O)N1,-5.66987,5.66987,-12.028310453164762,-45493.404771042406,-45494.05751878124,-45494.15765087918,15.052720452783795,2.309101033786432,5.333511033405465,432,300,3,0.0016298331320285797,True,,7.0
40995,L3:Q9UKS7:40995,0,70,2,6.2596,Cn1cc(-c2cccc(CN3CCC4(CC3)COc3c4ccc4c3CN(C3CCC(=O)NC3=O)C4=O)c2)cn1,-5.72609,5.72609,-21.867029329876537,-47287.24391254502,-47288.012436307865,-47288.21516349265,17.722578992091275,4.674999941271839,0.5305496034865769,677,150,5,0.0018171927658841014,True,,2.0
42683,L3:Q9UKS7:42683,0,67,3,6.2596,Cn1ccc2ccc(CN3CCC4(CC3)COc3c4ccc4c3CN(C3CCC(=O)NC3=O)C4=O)cc21,-5.52254,5.52254,-10.677122972567997,-44742.54498464951,-44743.37336557499,-44743.42830431135,19.102917953980818,1.2669173575176882,9.692712338930509,288,119,4,0.001925594755448401,True,,10.0
54563,L3:Q9UKS7:54563,0,63,4,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc5ccoc5c4)CC3)C2=O)C(=O)N1,-5.70331,5.70331,-14.645634499882654,-44212.93612888591,-44213.75245174974,-44213.81961766367,18.824852446569334,1.5488827708489268,5.728100717535607,297,140,3,0.0017196895787492394,True,,8.0
70489,L3:Q9UKS7:70489,0,63,5,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cc(Br)cc5[nH]ncc45)CC3)C2=O)C(=O)N1,-5.84885,5.84885,-22.837933315925056,-114138.80464095932,-114139.76820532512,-114139.78309429433,22.220322145333213,0.3433477865320539,-0.2742633840597891,190,250,3,0.001983730122447014,True,,1.0
77037,L3:Q9UKS7:77037,0,51,6,6.0,CN1CC2(CCNCC2)c2ccc3c(c21)CN([C@H]1CCC(=O)NC1=O)C3=O,-4.9386,4.9386,-12.45068609103817,-33256.950848923516,-33257.70956722084,-33257.71310391139,17.496459585360892,0.08155802159938139,5.127331515922103,151,131,2,0.0019704331643879414,True,,6.0
89119,L3:Q9UKS7:89119,0,63,7,6.2596,Cc1ccc(CN2CCC3(CC2)COc2c3ccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc1,-5.69854,5.69854,-13.042701711003012,-41159.80618094643,-41160.40497727414,-41160.42069941116,13.808571356066347,0.36256109268680703,1.1284307377501417,175,283,4,0.0019636896904557943,True,,3.0
132016,L3:Q9UKS7:132016,0,67,8,7.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cccc(-c5cc[nH]n5)c4)CC3)C2=O)C(=O)N1,-5.58264,5.58264,-19.19450713103828,-46216.74001565873,-46217.76239754578,-46217.88501072785,23.576686407495085,2.827527149693557,7.209706426150364,400,250,4,0.001843161415308714,True,,9.0
142702,L3:Q9UKS7:142702,0,69,9,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cccc(-c5cccnc5)c4)CC3)C2=O)C(=O)N1,-5.98573,5.98573,-15.258627294998137,-46817.98629434436,-46818.700113651095,-46818.78063780655,16.461064265420866,1.856931138398308,3.0593681088210376,632,110,4,0.0017900228267535567,True,,4.0
