mol_id,source_index,layer,uniprot,paff,smiles,formal_charge,smina_affinity_kcal_mol,smina_score,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol
12820,0,L3,Q9UKS7,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc5c(c4)NC(=O)C5)CC3)C2=O)C(=O)N1,0,-5.92337,5.92337,-164936.0648695866,-119214.74011980377,-45720.49114541747,-19.2233733394036
18889,1,L3,Q9UKS7,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc(F)c(F)c4)CC3)C2=O)C(=O)N1,0,-5.66987,5.66987,-164707.79781544313,-119214.74011980377,-45492.53609873102,-12.028310453164762
40995,2,L3,Q9UKS7,6.2596,Cn1cc(-c2cccc(CN3CCC4(CC3)COc3c4ccc4c3CN(C3CCC(=O)NC3=O)C4=O)c2)cn1,0,-5.72609,5.72609,-166501.83123052193,-119214.74011980377,-47286.14286657884,-21.867029329876537
42683,3,L3,Q9UKS7,6.2596,Cn1ccc2ccc(CN3CCC4(CC3)COc3c4ccc4c3CN(C3CCC(=O)NC3=O)C4=O)cc21,0,-5.52254,5.52254,-163956.72609549708,-119214.74011980377,-44741.52297181973,-10.677122972567997
54563,4,L3,Q9UKS7,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc5ccoc5c4)CC3)C2=O)C(=O)N1,0,-5.70331,5.70331,-163427.32824816296,-119214.74011980377,-44211.95303353805,-14.645634499882654
70489,5,L3,Q9UKS7,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cc(Br)cc5[nH]ncc45)CC3)C2=O)C(=O)N1,0,-5.84885,5.84885,-233353.63747671165,-119214.74011980377,-114137.9070103869,-22.837933315925056
77037,6,L3,Q9UKS7,6.0,CN1CC2(CCNCC2)c2ccc3c(c21)CN([C@H]1CCC(=O)NC1=O)C3=O,0,-4.9386,4.9386,-152471.61571097872,-119214.74011980377,-33256.33567832541,-12.45068609103817
89119,7,L3,Q9UKS7,6.2596,Cc1ccc(CN2CCC3(CC2)COc2c3ccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc1,0,-5.69854,5.69854,-160374.23181645168,-119214.74011980377,-41158.926111571316,-13.042701711003012
132016,8,L3,Q9UKS7,7.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cccc(-c5cc[nH]n5)c4)CC3)C2=O)C(=O)N1,0,-5.58264,5.58264,-165431.23099302402,-119214.74011980377,-46215.658520612145,-19.194507131038282
142702,9,L3,Q9UKS7,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cccc(-c5cccnc5)c4)CC3)C2=O)C(=O)N1,0,-5.98573,5.98573,-166032.23980176827,-119214.74011980377,-46816.838005259895,-15.258627294998137
