mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
6175,L3:Q9Y6M4:6175,0,53,0,7.451,Cc1cc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)n(C)n1,-8.51333,8.51333,-12.520785049064347,-37733.30070943042,-37734.3025168578,-37734.38033223321,23.102228096235688,1.7944651865359176,12.375908233707259,484,272,8,0.001978608313947916,True,,9.0
10544,L3:Q9Y6M4:10544,0,53,1,7.4989,Cc1cc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)nn1C,-8.10569,8.10569,-20.975521875129377,-37733.53127170011,-37734.44424513661,-37734.56320390554,21.053667600611064,2.74325438077231,2.8214001062539964,366,77,8,0.0019951818976551294,True,,5.0
19862,L3:Q9Y6M4:19862,0,56,2,7.2027,Cn1cc(C(CC(F)F)C(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)cn1,-8.63333,8.63333,-24.037911037713755,-44207.978459549486,-44209.087393506474,-44209.168225588364,25.572624556120278,1.8640320906855075,3.3987456090920305,206,158,9,0.001975330524146557,True,,6.0
28224,L3:Q9Y6M4:28224,0,46,3,7.5686,O=C(Cc1ccns1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.06831,8.06831,-4.132872011982829,-44922.47528083036,-44923.21704166633,-44923.314001929,17.105411236727083,2.2359567750153757,15.208495999759629,330,155,6,0.0019038403406739235,True,,10.0
72738,L3:Q9Y6M4:72738,0,55,4,8.6198,O=C(Nc1cc(-c2[nH]c3ncc(F)nc3c2-c2ccccn2)ccn1)[C@H](CC(F)F)c1ccc(F)cc1,-9.25155,9.25155,-24.83441336587924,-49143.02599711712,-49143.906541835946,-49144.21339747737,20.305843605529233,7.076259196104121,2.5476894357541147,278,300,8,0.0015075044939294457,True,,4.0
73293,L3:Q9Y6M4:73293,0,46,5,7.2984,O=C(Cc1cnco1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.04093,8.04093,-25.430073514889774,-36133.35549411211,-36134.36307319453,-36134.41172150294,23.235325623263716,1.1218566429585335,-1.0728912486675244,232,216,6,0.0016218776581808925,True,,3.0
87012,L3:Q9Y6M4:87012,0,49,6,7.1911,Cc1nc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)co1,-8.50449,8.50449,-32.25611740217896,-37204.2492230182,-37205.15581610641,-37205.23499848306,20.906533273486204,1.8259889840455665,-9.523595144647189,360,161,7,0.0019235147628933191,True,,1.0
95594,L3:Q9Y6M4:95594,0,49,7,6.9208,Cc1ocnc1CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.27993,8.27993,-13.920793254490324,-37204.328875804465,-37205.060246389214,-37205.17938366178,16.865806351494108,2.747370772421183,5.692383869424967,299,125,7,0.0019832022953778505,True,,8.0
100681,L3:Q9Y6M4:100681,0,53,8,7.8297,O=C(Cc1ccn(CC(F)(F)F)n1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.37015,8.37015,-22.48576865307206,-45840.18579595835,-45841.22081080465,-45841.36230955922,23.868009368425593,3.2630387977861526,4.645279513139685,304,120,8,0.0018678033957257867,True,,7.0
136524,L3:Q9Y6M4:136524,0,52,9,7.2034,Cc1noc(C)c1CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-7.95503,7.95503,-30.25096144380409,-38273.662742394896,-38274.673247632796,-38274.8145370916,23.302804371692307,3.2582123227711413,-3.689944749340642,415,186,8,0.0015211208956316113,True,,2.0
